BV号：BV1gbdgYFE2b
标题：BV1gbdgYFE2b
链接：https://www.bilibili.com/video/BV1gbdgYFE2b
识别语言：zh
语言置信度：1
分段数：232
生成时间：2026-08-30 09:20:50

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 不知道大家对于2023年底
[00:00:04 - 00:00:06] Open Eye的公斗大剧是否还有印象
[00:00:06 - 00:00:09] 没想到这个已经过去了一年多的事情
[00:00:09 - 00:00:11] 最近又有新的内幕爆出来
[00:00:11 - 00:00:13] 让所有人可能都想不到的是
[00:00:13 - 00:00:16] 让Altman被赶走的两份关键Pdf
[00:00:16 - 00:00:18] 竟然出自于Elia和Morty
[00:00:18 - 00:00:19] 更令人惊讶的是
[00:00:19 - 00:00:20] 事变发生之后
[00:00:20 - 00:00:22] Morty当场倒戈
[00:00:22 - 00:00:23] Elia由功臣变罪人
[00:00:23 - 00:00:26] 而Altman则完好无损的笑到最后
[00:00:26 - 00:00:28] 再次执掌Open Eye
[00:00:28 - 00:00:30] 只能说在这次全球主目的企业政变中
[00:00:30 - 00:00:33] 我们再次看到了复杂多变的人性
[00:00:33 - 00:00:36] 最近WSG的记者吉奇哈吉
[00:00:36 - 00:00:37] 在新书乐观主义者
[00:00:37 - 00:00:41] 萨姆·奥特曼Opni与创造未来的竞赛的预售版中
[00:00:41 - 00:00:43] 披露了当初事件的很多细节
[00:00:43 - 00:00:46] 预计等到5月20日正式出版之后
[00:00:46 - 00:00:48] 还会有更多的重磅猛料爆出
[00:00:48 - 00:00:50] 今天就让我们再次回到一年前
[00:00:50 - 00:00:53] Opni内部那场精心动魄的权力博弈中
[00:00:53 - 00:00:55] 揭开事件背后的层层迷雾
[00:00:55 - 00:00:57] 从创立之初
[00:00:57 - 00:00:58] OPEN-I就有着一个独特的定位
[00:00:58 - 00:01:01] 他有一个非盈利性质的董事会进行管理
[00:01:01 - 00:01:03] 这就意味着董事会的职责
[00:01:03 - 00:01:05] 并不是向股东负责
[00:01:05 - 00:01:07] 而是要对所谓的全人类负责
[00:01:07 - 00:01:09] 这种管理模式在科技公司中
[00:01:09 - 00:01:10] 其实非常罕见
[00:01:10 - 00:01:13] 也为后续的一系列事件埋下了伏笔
[00:01:13 - 00:01:15] 散博奥特曼作为OPEN-I的CEO
[00:01:15 - 00:01:16] 在公司的发展过程中
[00:01:16 - 00:01:18] 扮演着极为关键的角色
[00:01:18 - 00:01:19] ChartGB的爆火
[00:01:19 - 00:01:22] 让OPEN-I成为了全球主目的焦点
[00:01:22 - 00:01:24] 奥特曼也因此名声大噪
[00:01:24 - 00:01:25] 頻繁的與各國政要會面
[00:01:26 - 00:01:28] 成為了人工智能革命的標誌性人物
[00:01:28 - 00:01:29] 但是在公司內部
[00:01:29 - 00:01:31] 董事會與Automan之間的關係
[00:01:31 - 00:01:33] 卻逐漸出現了劣恨
[00:01:33 - 00:01:34] 2023年初
[00:01:34 - 00:01:37] 歐派的董事會經歷了一次重大的變動
[00:01:37 - 00:01:39] 親Automan陣營的三名董事會成員
[00:01:39 - 00:01:41] 因為各種利益衝突先後辭職
[00:01:41 - 00:01:44] 讓董事會只剩下了六位成員
[00:01:44 - 00:01:45] 分別是Automan本人
[00:01:45 - 00:01:47] 他的親密盟友Greg Berkman
[00:01:47 - 00:01:49] 聯合創始人Ilya Suskver
[00:01:49 - 00:01:51] 以及三位獨立董事
[00:01:51 - 00:01:52] 分別是問答網站
[00:01:52 - 00:01:53] Choral的CEO
[00:01:53 - 00:01:55] 亚当.德.安杰罗
[00:01:55 - 00:01:57] 乔志成大学安全与新兴技术中心
[00:01:57 - 00:01:59] 战略主管海伦托纳
[00:01:59 - 00:02:01] 英国EA慈善组织的董事
[00:02:01 - 00:02:02] 塔沙迈考栗
[00:02:02 - 00:02:04] 此时奥特曼已经失去了
[00:02:04 - 00:02:05] 部分董事会成员的信任
[00:02:05 - 00:02:07] 一系列问题也逐渐浮出水面
[00:02:08 - 00:02:09] 先来说说奥特曼在产品发布
[00:02:09 - 00:02:11] 风险审查方面的问题
[00:02:11 - 00:02:13] 本来欧帕和威软
[00:02:13 - 00:02:15] 为了评估产品的发布风险
[00:02:15 - 00:02:17] 共同建立了一个联合安全委员会
[00:02:17 - 00:02:18] 2022年冬天
[00:02:18 - 00:02:20] 在董事会讨论GPT4的
[00:02:20 - 00:02:22] 三項有爭議功能的發布事宜時
[00:02:22 - 00:02:24] 奧特曼卻聲稱
[00:02:24 - 00:02:26] 這三項功能都已經獲得了委員會的批准
[00:02:26 - 00:02:27] 但是
[00:02:27 - 00:02:29] 海倫·湯德經過調查發現
[00:02:29 - 00:02:31] 奧特曼簡直是在爭著眼睛撒謊
[00:02:31 - 00:02:33] 實際上只有一項獲得了批准
[00:02:33 - 00:02:35] 幾乎是在同一時期
[00:02:35 - 00:02:37] 另一件讓董事會震驚的事情發生了
[00:02:37 - 00:02:39] 還沒有正式發布的GPD4測試板
[00:02:39 - 00:02:41] 竟然由微軟在印度推出
[00:02:41 - 00:02:45] 而這個行為也沒有經過聯合安全委員會的批准
[00:02:45 - 00:02:47] 而OpenI的董事會對此竟然毫不執行
[00:02:47 - 00:02:51] 直到再一次长达6个小时的董事会会议结束之后
[00:02:51 - 00:02:55] 一名董事在走廊上被OPEN-I的员工私自拦下来才得知此事
[00:02:55 - 00:02:57] 而在之前漫长的会议中
[00:02:57 - 00:02:59] 奥特曼和Brockman对此事竟然知识为题
[00:02:59 - 00:03:02] 最后在公司的基金管理方面
[00:03:02 - 00:03:07] 2021年OPEN-I成立了一个专门投资AI相关创业公司的投资基金
[00:03:07 - 00:03:09] 原本应该是由OPEN-I来管理的
[00:03:09 - 00:03:11] 但是由董事会成员就发现
[00:03:11 - 00:03:14] 基金的利润并没有流向OPEN-I的投资者
