BV号：BV1gvAxedEE5
标题：BV1gvAxedEE5
链接：https://www.bilibili.com/video/BV1gvAxedEE5
识别语言：zh
语言置信度：1
分段数：368
生成时间：2026-08-30 12:50:38

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技飞速发展的今天
[00:00:04 - 00:00:06] 芯片作为各种电子设备的核心
[00:00:06 - 00:00:08] 其重要性不言而喻
[00:00:08 - 00:00:09] 而在芯片领域
[00:00:09 - 00:00:11] 有一位堪称传奇的人物
[00:00:11 - 00:00:12] 他就是吉姆凯勒
[00:00:12 - 00:00:16] 他的职业生涯横跨多家世界顶尖的科技公司
[00:00:16 - 00:00:17] 参与设计的处理器
[00:00:17 - 00:00:20] 深刻影响了现代计算机应件的发展进程
[00:00:20 - 00:00:23] 最近看了一个计算机历史博物馆频道
[00:00:23 - 00:00:24] 对于吉姆凯勒的采访
[00:00:24 - 00:00:26] 里边回顾了他是如何
[00:00:26 - 00:00:28] 从一个普通家庭成长起来
[00:00:28 - 00:00:30] 逐漸加入半導體行業
[00:00:30 - 00:00:32] 輾轉多家知名的半導體芯片公司
[00:00:32 - 00:00:34] 再到工身創辦AI芯片公司
[00:00:34 - 00:00:36] Tens Torrent的完整歷程
[00:00:36 - 00:00:38] 今天就來給大家分享一下
[00:00:38 - 00:00:41] 一同探尋它在芯片之路上的點點滴滴
[00:00:41 - 00:00:43] 吉姆凱勒出生在新澤西州
[00:00:43 - 00:00:45] 他的家庭環境對他的成長
[00:00:45 - 00:00:46] 產生了深遠的影響
[00:00:46 - 00:00:47] 他的父親是
[00:00:47 - 00:00:49] G.E.Aerys Base的積穴工程師
[00:00:49 - 00:00:51] 從事衛星的設計工作
[00:00:51 - 00:00:53] 父親非常擅長描述和繪圖
[00:00:53 - 00:00:55] 經常會在下班之後
[00:00:55 - 00:00:57] 給年幼的吉姆凱勒展示各種事物
[00:00:57 - 00:00:59] 比如说画一座桥
[00:00:59 - 00:01:01] 并且详细地讲解他的工作原理
[00:01:01 - 00:01:02] 这样的家庭氛围
[00:01:02 - 00:01:05] 让吉姆凯乐从小就对事物的构造和原理
[00:01:05 - 00:01:06] 充满了好奇
[00:01:06 - 00:01:08] 他的母亲是大学毕业生代表
[00:01:08 - 00:01:10] 原本接受过教师的培训
[00:01:10 - 00:01:13] 在他小时候主要是在家照顾6个孩子
[00:01:13 - 00:01:15] 后来成为了一名治疗师
[00:01:15 - 00:01:17] 尽管母亲在他小的时候没有外出工作
[00:01:17 - 00:01:19] 但是他的聪明才智
[00:01:19 - 00:01:21] 以及对于家庭学习氛围的营造
[00:01:21 - 00:01:22] 同样功不可没
[00:01:22 - 00:01:24] 吉姆凯乐家中到处都是书
[00:01:24 - 00:01:26] 父母都参加了读书俱乐部
[00:01:26 - 00:01:28] 非常重视智力的对话
[00:01:28 - 00:01:29] 在这样的环境下成长
[00:01:29 - 00:01:32] 吉姆凯勒从小就沉浸在知识的海洋中
[00:01:32 - 00:01:35] 小时候的吉姆凯勒在学习阅读方面遇到了一些困难
[00:01:35 - 00:01:37] 他直到三年级或者是四年级
[00:01:37 - 00:01:39] 才真正学会了阅读
[00:01:39 - 00:01:41] 但是父母从来没有为此担心过
[00:01:41 - 00:01:45] 他们相信吉姆凯勒只是按照自己的节奏在成长
[00:01:45 - 00:01:48] 而吉姆凯勒也确实没有被这件事情所影响
[00:01:48 - 00:01:49] 在学会了阅读之后
[00:01:49 - 00:01:51] 他迅速爱上了读书
[00:01:51 - 00:01:53] 变成了一个热衷于阅读的人
[00:01:53 - 00:01:54] 不过呢
[00:01:54 - 00:01:56] 他在写作方面一直不太擅长
[00:01:56 - 00:01:59] 相比之下 數學對它來說卻有著別樣的吸引力
[00:01:59 - 00:02:01] 在學習數學的過程中
[00:02:01 - 00:02:03] 它常常會有瞬間頓悟的時刻
[00:02:03 - 00:02:06] 比如說學習長處法和代數的時候
[00:02:06 - 00:02:09] 一開始的困惑會在某個瞬間豁然開朗
[00:02:09 - 00:02:10] 在高中階段
[00:02:10 - 00:02:13] 吉姆凱勒遇到了幾位對它影響深遠的老師
[00:02:13 - 00:02:16] 他就讀於費城地區的一所較大的郊區高中
[00:02:16 - 00:02:18] 學校的氛圍比較特殊
[00:02:18 - 00:02:19] 考琴是自願的
[00:02:19 - 00:02:22] 學生們甚至可以通過賣足球比賽的小吃來賺錢
[00:02:22 - 00:02:25] 在這樣看似自由鬆散的環境中
[00:02:25 - 00:02:27] 他遇到了優秀的數學老師和化學老師
[00:02:28 - 00:02:29] 教維基芬的數學老師
[00:02:29 - 00:02:31] 每次做特別演講的時候
[00:02:31 - 00:02:33] 都會穿上好西裝
[00:02:33 - 00:02:34] 戴上五彩斑斕的領帶
[00:02:34 - 00:02:36] 把積分學的基本定理
[00:02:36 - 00:02:38] 講解得如同一場盛大的事件
[00:02:38 - 00:02:40] 化學老師安娜夫爾科夫人
[00:02:40 - 00:02:42] 教他化學計量學
[00:02:42 - 00:02:44] 讓他對化學產生了濃厚的興趣
[00:02:44 - 00:02:46] 這些老師的教導
[00:02:46 - 00:02:47] 激發了他對於知識的渴望
[00:02:47 - 00:02:49] 也為他日後的學習和工作
[00:02:49 - 00:02:50] 奠定了基礎
[00:02:50 - 00:02:51] 高中畢業之後
[00:02:51 - 00:02:54] 吉姆凱勒選擇了賓夕法尼亞周力大學
[00:02:54 - 00:02:56] 他做出这个选择的原因比较有趣
[00:02:56 - 00:02:58] 一方面是他喜欢的一个女孩
[00:02:58 - 00:03:00] 去了宾夕法尼亚周利大学
[00:03:00 - 00:03:02] 另一方面在选择专业的时候
[00:03:02 - 00:03:05] 他在机械工程和电器工程之间犹豫不决
[00:03:05 - 00:03:07] 当时大学毕业生薪水最高的
[00:03:07 - 00:03:09] 是化学工程和石油工程
[00:03:09 - 00:03:12] 但他对这两个专业都不太感兴趣
[00:03:12 - 00:03:13] 由于祖父是电工
[00:03:13 - 00:03:15] 家里边充满了各种电器设备
[00:03:15 - 00:03:17] 这样他对电器工程产生了好奇
[00:03:17 - 00:03:20] 再加上电器工程的薪水也还比较高
[00:03:20 - 00:03:22] 所以他最终选择了这个专业
[00:03:22 - 00:03:23] 在大学期间
[00:03:23 - 00:03:25] 他不仅学习了电器工程的专业课程
[00:03:25 - 00:03:26] 还双修了哲学
[00:03:26 - 00:03:29] 他对哲学也有着浓厚的兴趣
[00:03:29 - 00:03:30] 阅读了大量的相关数据
[00:03:30 - 00:03:31] 不过呢
[00:03:31 - 00:03:33] 他在哲学期的经历有些波折
[00:03:33 - 00:03:34] 大人的时候
[00:03:34 - 00:03:36] 哲学系主任找他谈话
[00:03:36 - 00:03:38] 因为他在考试中的写作表现不佳
[00:03:38 - 00:03:41] 哲学系认为他无法获得哲学学位
[00:03:41 - 00:03:43] 但是允许他继续选修哲学课程
[00:03:43 - 00:03:44] 尽管如此
[00:03:44 - 00:03:46] 他还是从哲学学系中收获了很多
[00:03:46 - 00:03:48] 培养了自己独特的思考方式
[00:03:48 - 00:03:51] 在賓夕法尼亞州立大學的學習過程中
[00:03:51 - 00:03:55] 吉姆凱勒逐漸明確了自己在電器工程領域的興趣方向
[00:03:55 - 00:03:58] 他在電器工程學科中取得了全A的優異成績
[00:03:58 - 00:03:59] 得到了細主人的關注
[00:03:59 - 00:04:02] 他真正喜歡的方向是電磁場理論
[00:04:02 - 00:04:05] 但是在導師喬·斯達克博士的影響下
[00:04:05 - 00:04:08] 他在大四的時候接觸到了半導體課程
[00:04:08 - 00:04:10] 他們在實驗室製作經體館
[00:04:10 - 00:04:13] 讓他對半導體領域產生了濃厚的興趣
[00:04:13 - 00:04:16] 同時他還學習了編程課程和邏輯設計課程
[00:04:16 - 00:04:20] 这些课程让他看到了从简单构建复杂事务的奇妙之处
[00:04:20 - 00:04:23] 毕业之后他面试了多家的半导体公司
[00:04:23 - 00:04:26] 最终选择了佛罗里达州的哈里斯公司
[00:04:26 - 00:04:28] 他之所以选择这家公司
[00:04:28 - 00:04:31] 一方面是因为公司有一个很酷的计算机项目
