BV号：BV1gvb66kES7
标题：BV1gvb66kES7
链接：https://www.bilibili.com/video/BV1gvb66kES7
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-29 11:46:48

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] Cursor刚发布了新产品Origin官方定位一针键写
[00:00:05 - 00:00:08] 叫面向Agent时代的Git平台
[00:00:08 - 00:00:11] 他们特别提到 可以从GitUp同步仓库
[00:00:11 - 00:00:13] 作为一直死科Agent的底层逻辑的开发者
[00:00:13 - 00:00:17] 我觉得这个动作比再发一个编程模型更值得咱们拆解
[00:00:17 - 00:00:19] 模型只能搞定一段代码
[00:00:19 - 00:00:22] 但代码托管平台卡着每次提交
[00:00:22 - 00:00:25] CodeReview测试和合并它是软件交付的总扎
[00:00:25 - 00:00:28] Cursor这次明显不想只做个编辑器了
[00:00:28 - 00:00:30] 他的目标是把Agent写的代码
[00:00:30 - 00:00:32] 直接塞进团队的交付流水线
[00:00:32 - 00:00:34] 对咱们程序员来说
[00:00:34 - 00:00:36] 以后评估的就不只是一款IDE
[00:00:36 - 00:00:38] 而是一套全新的工程控制面
[00:00:38 - 00:00:42] 毕竟仓库才是所有Agent必须拉齐的唯一事实员
[00:00:42 - 00:00:44] 目前透出的公开信息不多
[00:00:44 - 00:00:46] 6月的compile大会上提了一嘴
[00:00:46 - 00:00:47] Origin
[00:00:47 - 00:00:49] 当时还在Values的阶段
[00:00:49 - 00:00:51] 8月17日官方正式宣布退出
[00:00:51 - 00:00:53] 主打速度和深度集成
[00:00:53 - 00:00:55] 但官网看依然需要排队
[00:00:55 - 00:00:56] 这感觉更像灰度测试
[00:00:56 - 00:00:58] 而不是全面开放
[00:00:58 - 00:01:01] 像功能表、机废数据、区域和迁移工具这些
[00:01:01 - 00:01:03] 页面上还没给出完整答案
[00:01:03 - 00:01:06] 这期视频我们不替产品脑补规格
[00:01:06 - 00:01:08] 只聊已经确认的技术方向
[00:01:08 - 00:01:11] 拿成熟代码平台的标配来做个对标
[00:01:11 - 00:01:12] 画清编辑很重要
[00:01:12 - 00:01:15] 工程判断必须从可验证的接口出发
[00:01:15 - 00:01:17] 绝不能被营销词带节奏
[00:01:17 - 00:01:20] 很多人觉得代码托管就是搭个Gate服务器
[00:01:20 - 00:01:21] 这格局笑了
[00:01:21 - 00:01:24] Gate本身只是个分布式版本控制
[00:01:24 - 00:01:26] 拉个Clone 配几个Remote就完事了
[00:01:26 - 00:01:29] 真正把团队跟平台思思绑定的
[00:01:29 - 00:01:31] 是Gate之外的协作链路
[00:01:31 - 00:01:32] 大家想想平时的工作
[00:01:32 - 00:01:34] 流存讨论记录要用PR
[00:01:34 - 00:01:37] 卡合并得靠分支规则跑
[00:01:37 - 00:01:39] CICD需要状态检查
[00:01:39 - 00:01:42] 项外延伸还有Webhook issues和审计日治
[00:01:42 - 00:01:44] 换个Gate远端地址分分钟的事
[00:01:44 - 00:01:47] 但要把整套组织记忆无缝牵走
[00:01:47 - 00:01:49] 那才是让人头疼的系统工程
[00:01:49 - 00:01:51] Origin想进生产环境
[00:01:51 - 00:01:52] 这是绕不开的硬骨头
[00:01:52 - 00:01:54] 远端只是入口治理规则
[00:01:54 - 00:01:56] 才是生产秩序的底座
[00:01:56 - 00:01:59] 看看Cursor的产品轨迹其实早有伏笔
[00:01:59 - 00:02:02] 他们之前就把本地和云端AgentWeb移动端
[00:02:02 - 00:02:05] 甚至GateHopLinear全揉进了一个工作区里
[00:02:05 - 00:02:07] 内部更是爆料说
[00:02:07 - 00:02:10] 超过三成的合并PR是云端Agent的写了
[00:02:10 - 00:02:12] 这个比例一旦继续往上走
[00:02:12 - 00:02:14] 外部代码平台就成了高频瓶颈
[00:02:14 - 00:02:18] 且分支传代码看CI过权限全得跨平台
[00:02:18 - 00:02:21] 只做编辑器Cursor只能管到代码生成阶段
[00:02:21 - 00:02:23] 只有把Gate平台钻在手里
[00:02:23 - 00:02:28] 他才能打通从任务下发到代码合并的端道端链路
[00:02:28 - 00:02:32] 商业版图也就顺理成章地切进了团队的基础设施
[00:02:32 - 00:02:36] 现在的代码托管流程全是顺着人类的节奏设计的
[00:02:36 - 00:02:39] 领需求拉分只码几个小时再铺实一搏
[00:02:39 - 00:02:41] Reviewer也有时间慢慢看上下文
[00:02:41 - 00:02:43] 但Agent的节奏完全不一样
[00:02:43 - 00:02:45] 一个任务它可以并发跑几套方案
[00:02:45 - 00:02:48] 每个方案都在建工作区改代码跑单册
[00:02:48 - 00:02:52] 人没变快但候选变更成倍膨胀
[00:02:52 - 00:02:54] 你的仓库很快就会被一堆短命分支
