BV号：BV1gzkuY4E3v
标题：BV1gzkuY4E3v
链接：https://www.bilibili.com/video/BV1gzkuY4E3v
识别语言：zh
语言置信度：1
分段数：303
生成时间：2026-08-31 01:21:11

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 在全球顶会Newipass2024中
[00:00:06 - 00:00:09] Elia Susquevere在从OpenI离职后
[00:00:09 - 00:00:11] 首次在公开场合登台演讲
[00:00:11 - 00:00:14] 并且用短短16分钟的发言震撼全场
[00:00:14 - 00:00:17] 她向全世界宣告 预讯练结束了
[00:00:17 - 00:00:20] 数据如同化石燃料一般 难以再生
[00:00:20 - 00:00:24] AI未来的发展方向将是具备自我意识的超级智能
[00:00:24 - 00:00:26] 虽然她的演讲时间不长
[00:00:26 - 00:00:28] 我相信很多人也已经看过了
[00:00:28 - 00:00:30] 但是作為我們頻道來說
[00:00:30 - 00:00:32] 大飛我還是覺得有必要做這麼一期節目
[00:00:32 - 00:00:34] 也許過兩年回頭來看
[00:00:34 - 00:00:37] 這場演講又可能具有話時代的重要性
[00:00:37 - 00:00:38] 但是站在現在來看
[00:00:38 - 00:00:40] 我們又將走向何方呢?
[00:00:40 - 00:00:42] 就在11月底的時候
[00:00:42 - 00:00:45] Newer IPIS 2024公布了時間檢驗講
[00:00:45 - 00:00:48] 伊利亞和幹之父伊恩古德菲勒獲獎
[00:00:48 - 00:00:49] 所以在演講一開始
[00:00:49 - 00:00:51] 伊利亞首先感謝了論文
[00:00:51 - 00:00:52] 利用神經網絡
[00:00:52 - 00:00:55] 進行序列到序列學習的兩位合著者
[00:00:55 - 00:00:57] 奧里奧爾維尼亞爾斯和庹特里
[00:00:57 - 00:00:59] 并且放出了三人在10年前
[00:00:59 - 00:01:03] 2014年Montley & Newer IPS会议上的一次演讲合照
[00:01:03 - 00:01:06] Elia说那是一个更加纯粹的时代
[00:01:06 - 00:01:10] 而如今三位青葱少年已经长成了这般模样
[00:01:10 - 00:01:14] 接下来Elia重新了一下10年前演讲的PPT
[00:01:14 - 00:01:17] 他们的工作可以用以下三个要点来概括
[00:01:17 - 00:01:20] 分别是这是一个基于文本训练的自徽规模型
[00:01:20 - 00:01:22] 它是一个大型神经网络
[00:01:22 - 00:01:25] 它使用了一个大规模的数据级
[00:01:25 - 00:01:27] 当时他们提出了一个名为
[00:01:27 - 00:01:29] 深度学习假设的概念
[00:01:29 - 00:01:30] 指的是
[00:01:30 - 00:01:32] 如果你有一个十层的大型神经网络
[00:01:32 - 00:01:34] 你就可以在几分之一秒内
[00:01:34 - 00:01:36] 完成任何人类能做的事情
[00:01:36 - 00:01:39] 为什么要强调在几分之一秒内呢
[00:01:39 - 00:01:41] 如果你相信深度学习的基本假设
[00:01:41 - 00:01:44] 也就是人工神经员和生物神经员
[00:01:44 - 00:01:45] 是相似的
[00:01:45 - 00:01:46] 并且你也相信
[00:01:46 - 00:01:48] 真实神经员的速度
[00:01:48 - 00:01:50] 比人类快速完成任务的速度更慢
