BV号：BV1hDPTzKE9N
标题：BV1hDPTzKE9N
链接：https://www.bilibili.com/video/BV1hDPTzKE9N
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-29 20:58:22

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 2026年2月26日
[00:00:03 - 00:00:05] 一个看似普通的日子
[00:00:05 - 00:00:07] 科技圈却被一条推文引爆
[00:00:07 - 00:00:09] 推特的创始人现在职长
[00:00:09 - 00:00:11] 金融科技公司Block的Jack Dorsey
[00:00:11 - 00:00:13] 向世界宣布了一个惊人的决定
[00:00:13 - 00:00:16] Block将裁掉公司近一半的员工
[00:00:16 - 00:00:17] 超过4000人
[00:00:17 - 00:00:18] 消息一出
[00:00:18 - 00:00:20] 华尔街的反应却出人意料
[00:00:20 - 00:00:22] Block的股价在盘后交易中
[00:00:22 - 00:00:24] 飙升超过22%
[00:00:24 - 00:00:26] 一边是数千人失去工作
[00:00:26 - 00:00:28] 另一边是资本市场的狂欢
[00:00:28 - 00:00:30] 这背后到底发生了什么啊
[00:00:30 - 00:00:33] Dorssey在她的公开信中留下了一最关键
[00:00:33 - 00:00:34] 也最令人胆寒的话
[00:00:34 - 00:00:37] 我们做这个决定不是因为公司陷入了困境
[00:00:37 - 00:00:39] 而是因为一些事情已经改变了
[00:00:39 - 00:00:42] 今天我们就来深度解读Jack Dorssey这次
[00:00:42 - 00:00:44] 惊天豪赌的背后逻辑
[00:00:44 - 00:00:47] 这不仅仅是一家公司的重组故事
[00:00:47 - 00:00:48] 它可能是一个预言
[00:00:48 - 00:00:50] 预示着我们每个人的工作
[00:00:50 - 00:00:52] 我们所处的组织
[00:00:52 - 00:00:55] 乃至整个商业社会即将迎来的颠覆性变革
[00:00:55 - 00:00:57] 这期内容信息密度会很大
[00:00:57 - 00:00:58] 建议大家点赞收藏
[00:00:58 - 00:00:59] 我们马上开始
[00:00:59 - 00:01:02] 首先我们必须了解两个核心背景
[00:01:02 - 00:01:05] 谁是Jack Dorsey Block是一家什么样的公司
[00:01:05 - 00:01:07] Jack Dorsey 硅谷的传奇人物
[00:01:07 - 00:01:09] 一个典型的极客和远见者
[00:01:09 - 00:01:13] 他一手低造了推特这个影响全球舆论的社交媒体平台
[00:01:13 - 00:01:14] 之后又创立了Square
[00:01:14 - 00:01:15] 也就是现在的Block
[00:01:15 - 00:01:17] 用一个小小的白色读卡器
[00:01:17 - 00:01:19] 颠覆了线下支付行业
[00:01:19 - 00:01:22] 他的特点是总能从最基本的问题出发
[00:01:22 - 00:01:24] 思考技术的本质和未来
[00:01:24 - 00:01:26] 所以他的每一个重大决策
[00:01:26 - 00:01:27] 都值得我们深入研究
[00:01:27 - 00:01:30] Block公司旗下拥有为小商户
[00:01:30 - 00:01:32] 提供支付解决方案的square和
[00:01:32 - 00:01:33] 美国年轻人中
[00:01:33 - 00:01:36] 疯迷的移动支付应用Cash APP
[00:01:36 - 00:01:37] 根据最新财报
[00:01:37 - 00:01:39] Block的业务非常健康
[00:01:39 - 00:01:42] Q4 2025毛利润达到28.7亿美元
[00:01:42 - 00:01:44] 同比增长24%
[00:01:44 - 00:01:47] Cash APP单季度贡献18.3亿美元
[00:01:47 - 00:01:49] 同比增长33%
[00:01:49 - 00:01:51] 公司对2026年的毛利润指引
[00:01:51 - 00:01:53] 是122亿美元
[00:01:53 - 00:01:54] 同比增长18%
[00:01:54 - 00:01:58] 多瑟自己也强调,财源不是因为活不下去了。
[00:01:58 - 00:02:00] 那么真正的原因是什么?
[00:02:00 - 00:02:04] 多瑟给出的答案是,我们正在创建和使用的智能工具
[00:02:04 - 00:02:08] 与更小、更扁平的团队相结合,正在催生一种全新的工作方式
[00:02:08 - 00:02:12] 这从根本上改变了构建和运营一家公司的意义。
[00:02:12 - 00:02:14] 这句话就是我们今天所有分析的核心。
[00:02:14 - 00:02:19] 为了真正理解它,我们必须回归本源,用第一性原理来拆解。
[00:02:19 - 00:02:22] 第一性原理的第一层,公司的本质是什么?
[00:02:22 - 00:02:24] 公司的本质不是雇佣员工
[00:02:24 - 00:02:25] 不是996
[00:02:25 - 00:02:26] 而是创造价值
[00:02:26 - 00:02:29] 它是一个通过组织协调人力和工具
[00:02:29 - 00:02:32] 以最高效率解决某个社会问题的系统
[00:02:32 - 00:02:33] 在这个系统中
[00:02:33 - 00:02:35] 员工和工具都是时间目标的手段
[00:02:35 - 00:02:38] 在工业时代最先进的工具是机器
[00:02:38 - 00:02:41] 在信息时代是计算机和软件
[00:02:41 - 00:02:42] 而在今天
[00:02:42 - 00:02:44] Dorsy告诉我们最强大的工具是AI
[00:02:44 - 00:02:46] Dorsy的逻辑是
[00:02:46 - 00:02:49] 如果AI这个新工具能让一个时人的团队
[00:02:49 - 00:02:51] 完成过去100人才能完成的工作
[00:02:51 - 00:02:53] 并且做得更好 更快
[00:02:53 - 00:02:55] 那么维持一个100人的团队
[00:02:55 - 00:02:56] 本身就是一种巨大的
[00:02:56 - 00:02:58] 自原浪费和效率损失
[00:02:58 - 00:03:00] 这引出了他决策的第二个支点
[00:03:00 - 00:03:02] 对组织拥种的清算
[00:03:02 - 00:03:03] 数据显示
[00:03:03 - 00:03:05] Block的员工数从2019年底的
[00:03:05 - 00:03:06] 约3800人
[00:03:06 - 00:03:08] 一度膨胀到2023年的
[00:03:08 - 00:03:09] 近13000人
[00:03:09 - 00:03:11] 4年增长了237%
[00:03:11 - 00:03:12] Dorsy说
[00:03:12 - 00:03:13] 这种扩张带来了
[00:03:13 - 00:03:15] 大量的荣誉和低效
[00:03:15 - 00:03:16] 公司无意中建立了
[00:03:16 - 00:03:18] 两套平行的组织体系
[00:03:18 - 00:03:19] 一套服Square
[00:03:19 - 00:03:20] 一套服Cash APP
[00:03:20 - 00:03:23] 本营是一家公司却运作的像两家
[00:03:23 - 00:03:25] 他设定了一个新的效率目标
[00:03:25 - 00:03:28] 每名员工创造的毛利润要超过200万美元
[00:03:28 - 00:03:31] 这是疫情前极限的整整4倍
[00:03:31 - 00:03:33] 在这个冷酷的数字目标下
[00:03:33 - 00:03:34] 裁员成了必然选择
[00:03:34 - 00:03:36] 而他选择快刀斩乱麻
[00:03:36 - 00:03:38] 一次性完成这个痛苦的过程
[00:03:38 - 00:03:42] 而不是分批次逐步裁员是有深刻考量的
[00:03:42 - 00:03:45] 他说反复多轮的裁员会摧毁士气分散焦点
[00:03:45 - 00:03:49] 并损害客户和股东对公司领导力的信任
[00:03:49 - 00:03:53] 一次清晰的行动比漫长的煎熬更有利于公司重建
[00:03:53 - 00:03:56] 到这里听起来像一个典型的降本增销的故事
[00:03:56 - 00:03:59] 但如果只看到这一层就完全低估了Dorsi的野心
[00:03:59 - 00:04:02] 接下来我们要进入最关键的第三层
[00:04:02 - 00:04:04] 构建一家AI原生公司
[00:04:04 - 00:04:06] 很多人可能没注意到
[00:04:06 - 00:04:08] 就在Dorsi宣布裁员的几乎同一时间
[00:04:08 - 00:04:12] Block的安全负责人James Net Shime正在一个播客节目中
[00:04:12 - 00:04:14] 详细介绍他们公司内部的AI实践
[00:04:14 - 00:04:15] 这绝非巧合
[00:04:15 - 00:04:18] 而是Block向外界传递的一个强烈信号
[00:04:18 - 00:04:20] 我们不是在口头上坦ai
[00:04:20 - 00:04:24] 我们已经在用ai重塑整个公司的运作方式
[00:04:24 - 00:04:27] 他们讨论的核心是一个叫做goose的内部ai代理
[00:04:27 - 00:04:30] 以及一个名为mcp的开放标准
[00:04:30 - 00:04:33] 简单来说goose不是一个像chatgbt一样的聊天机器人
[00:04:33 - 00:04:35] 而是一个aiagent
[00:04:35 - 00:04:40] 一个可以被赋予任务并自主调用各种工具来完成任务的ai员工
[00:04:40 - 00:04:43] 在blog所有员工无论是不是工程师都在使用goose
[00:04:43 - 00:04:47] 工程师用他写代码每周能节省8-10个小时
[00:04:47 - 00:04:49] 分析师用它做深度研究
[00:04:49 - 00:04:53] 安全团队用它来自动生成40%的安全检测规则
[00:04:53 - 00:04:58] 这在过去是需要专业安全工程师花费大量时间手工编写的
[00:04:58 - 00:05:01] 甚至Dorsi本人也用它在两小时内
[00:05:01 - 00:05:03] 完成了过去需要一个团队
[00:05:03 - 00:05:05] 花费数周才能实现的产品功能
[00:05:05 - 00:05:07] 更重要的是Goose是完全开源的
[00:05:07 - 00:05:09] 不绑定任何特定的AM模型
[00:05:09 - 00:05:13] 可以连接到Cloud GPT4, Gemini等任何LLM
[00:05:13 - 00:05:15] Block在2025年10月
[00:05:15 - 00:05:16] 仅用8周时间
[00:05:16 - 00:05:18] 就将Goose部署给了全公司
[00:05:18 - 00:05:20] 12000名员工
[00:05:20 - 00:05:23] 而MCP则是一个更哄大的构想
[00:05:23 - 00:05:24] 它是一个协议
[00:05:24 - 00:05:26] 一个能让不同的AI模型
[00:05:26 - 00:05:29] AI代理以及各种软件工具互相对话
[00:05:29 - 00:05:31] 协同工作的语言
[00:05:31 - 00:05:34] 你可以把它理解为AI世界的HTTP协议
[00:05:34 - 00:05:36] 它定义了AI和工具之间
[00:05:36 - 00:05:37] 通信的标准方式
[00:05:37 - 00:05:40] 让整个AI生态系统能够互联互通
[00:05:40 - 00:05:41] Block不仅自己用
[00:05:41 - 00:05:45] 还联合了OpenAI Google 微软 AWS等巨头
