BV号：BV1hWZCYbEQv
标题：BV1hWZCYbEQv
链接：https://www.bilibili.com/video/BV1hWZCYbEQv
识别语言：zh
语言置信度：1
分段数：297
生成时间：2026-08-30 09:40:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近苹果公司出了一则重磅消息
[00:00:05 - 00:00:07] 居然罕见地调整了高管架构
[00:00:07 - 00:00:09] 而这背后的导核所
[00:00:09 - 00:00:12] 正是苹果备受矚目的AI向深陷困境
[00:00:12 - 00:00:13] 尤其是Siri的跳票
[00:00:13 - 00:00:15] 直接引发了公司内部的震动
[00:00:15 - 00:00:17] 今天我们就来聊一聊
[00:00:17 - 00:00:19] 苹果这头科技巨兽在AI浪潮中
[00:00:19 - 00:00:21] 究竟遇到了什么难题
[00:00:21 - 00:00:24] 以及这次高管调整又释放出了哪些信号
[00:00:24 - 00:00:26] 3月20日 彭博社率先的爆料
[00:00:26 - 00:00:29] 苹果正在进行一场不寻常的高管调整
[00:00:29 - 00:00:34] 目的很明確就是要挽救因為拖延和受挫而陷入你找的AI項目
[00:00:34 - 00:00:38] AI的負責人約翰·詹南德利亞更是受到波及
[00:00:38 - 00:00:39] 根據知行人士透露
[00:00:39 - 00:00:45] 蘋果現任CEO Tim Cook對於詹南德利亞的產品開發執行能力已經失去了信心
[00:00:45 - 00:00:49] 於是原Vigin產品線負責人也是AppleVigin Pro的關鍵推手
[00:00:49 - 00:00:53] 麥克·羅克維爾林威獸命接管了Siri虛擬助手項目
[00:00:53 - 00:00:57] 這意味著雖然詹南德利亞依然擔任著AI部門的領導
[00:00:57 - 00:00:59] 但是Siri这个苹果标志性的AI功能
[00:00:59 - 00:01:00] 却不再由它负责了
[00:01:01 - 00:01:03] 那么库克为什么会有这样的动作
[00:01:03 - 00:01:05] 应该说与3月份Siri的跳票
[00:01:05 - 00:01:06] 有异不可分的关系
[00:01:07 - 00:01:08] 2024年的开发者大会上
[00:01:08 - 00:01:10] 苹果公布了自己的AI方案
[00:01:10 - 00:01:12] 也就是Apple Intelligence
[00:01:12 - 00:01:16] 其中文生图、写作工具、图片消除这些功能
[00:01:16 - 00:01:16] 虽然都有
[00:01:16 - 00:01:18] 但是并不怎么出彩
[00:01:18 - 00:01:21] 重头戏还是放在了AI增强版的Siri上
[00:01:21 - 00:01:23] 在发布会的简视中
[00:01:23 - 00:01:25] 和以前保受诟病的云助手相比
[00:01:25 - 00:01:29] AI增强版的Siri具备了理解上下文和用户情景的能力
[00:01:29 - 00:01:32] 可以读取屏幕 在app内和跨app进行操作
[00:01:32 - 00:01:36] 比如说 用户可以直接问我该什么时候去接妈妈
[00:01:36 - 00:01:39] 我和家人什么时候去吃午餐等这些个人问题
[00:01:39 - 00:01:44] Siri会直接从相关的邮件 短信消息中提取到信息进行回答
[00:01:44 - 00:01:46] 无需用户提前去设定日历安排
[00:01:46 - 00:01:48] 从而成为真正意义上的个人助理
[00:01:48 - 00:01:50] 预计将在2025年初发布
[00:01:50 - 00:01:53] 其实当时就有科技评论人认为
[00:01:53 - 00:01:55] 苹果在发布会上展示的Siri视频
[00:01:55 - 00:01:57] 只能算是一个概念视频
[00:01:57 - 00:01:58] 连演示都算不上
[00:01:58 - 00:02:01] 而且在发布会后的线下演示环节
[00:02:01 - 00:02:03] 也没有出现增强版Siri
[00:02:03 - 00:02:06] 让人不禁怀疑这还只是一个PPT功能
[00:02:06 - 00:02:07] 不过就在本月初
[00:02:07 - 00:02:10] 苹果正式宣布了AI增强版Siri的跳票
[00:02:10 - 00:02:12] 当日股价暴跌4.85%
[00:02:12 - 00:02:15] 创下两年半以来的最大跌幅
[00:02:15 - 00:02:17] 各种负面的评论持续刷评论两周
[00:02:17 - 00:02:19] 按照彭博硕的说法
[00:02:19 - 00:02:22] 新版Siri在目前苹果Siri开发部门的内部测试中
[00:02:22 - 00:02:23] 可用性极敌
[00:02:23 - 00:02:25] 高达三分之一的时间
[00:02:25 - 00:02:26] 无法正常工作
[00:02:26 - 00:02:27] 完全没有做好
[00:02:27 - 00:02:28] 面对用户发布的准备
[00:02:28 - 00:02:29] 3月17日
[00:02:29 - 00:02:31] 苹果Circle部门的高级总监
[00:02:31 - 00:02:33] 罗比沃克也在内部会议中
[00:02:33 - 00:02:34] 用丑陋
[00:02:34 - 00:02:35] 而且令人尴尬
[00:02:35 - 00:02:36] 来形容项目的现状
[00:02:36 - 00:02:37] 更是直言
[00:02:37 - 00:02:38] 延期的主要原因
[00:02:38 - 00:02:39] 就是质量不达标
[00:02:39 - 00:02:41] 他还在会议上指出
[00:02:41 - 00:02:42] 这次进度之后
[00:02:42 - 00:02:43] 带来的负面影响很大
[00:02:43 - 00:02:44] 软件主管
[00:02:44 - 00:02:45] 克雷格·福德里基
[00:02:45 - 00:02:46] 和AI负责人
[00:02:46 - 00:02:48] 约翰·沾德利亚等高管
[00:02:48 - 00:02:51] 正在为这个困境承担强烈的个人责任
[00:02:51 - 00:02:55] 这番话让在场的许多员工都感到难堪和沮丧
[00:02:55 - 00:02:57] 即便现在给出的最新预期
[00:02:57 - 00:02:59] 是将在2026年发布
[00:02:59 - 00:03:00] 但是估计苹果自己也不知道
[00:03:00 - 00:03:02] 究竟什么时候能发布
[00:03:02 - 00:03:03] 按照道理来说
[00:03:03 - 00:03:05] 虽然苹果从2017年开始
[00:03:05 - 00:03:07] 就频繁的会在发布会上画饼
[00:03:07 - 00:03:10] 但是基本上都还是能够暗示兑现的
[00:03:10 - 00:03:12] 即便有延期也很少超过几个月
[00:03:12 - 00:03:15] 像Sara这样一推迟就是一年的情况
[00:03:15 - 00:03:16] 极其的罕见
[00:03:16 - 00:03:17] 比方说
[00:03:17 - 00:03:19] HomePod在2017年6月关宣
[00:03:19 - 00:03:21] 原定12月上线
[00:03:21 - 00:03:23] 最终在2018年2月发布
[00:03:23 - 00:03:25] AirPower无线充电版
[00:03:25 - 00:03:26] 在2017年9月关宣
[00:03:26 - 00:03:28] 原定2018年上线
[00:03:28 - 00:03:31] 最终在2019年3月宣布取消
[00:03:31 - 00:03:34] 而FaceTime群聊在2018年6月关宣
[00:03:34 - 00:03:35] 原定9月上线
[00:03:35 - 00:03:37] 最终在2018年的12月发布
[00:03:37 - 00:03:39] 更大的问题在于
[00:03:39 - 00:03:40] 为了刺激iPhone16的销量
[00:03:40 - 00:03:42] 苹果从去年开始
[00:03:42 - 00:03:45] 就不宜于利的宣传增强的AI功能
[00:03:45 - 00:03:47] 相关的广告连续投放了几个月
[00:03:47 - 00:03:50] 甚至还制作了单独针对于增强Siri功能的电视广告
[00:03:50 - 00:03:54] 而实际上这些功能当时都还完全没有影子
[00:03:54 - 00:03:57] 最近一位苹果的用户就向苹果发起了诉讼
[00:03:57 - 00:04:00] 指控苹果在广告中展示的Siri体验
[00:04:00 - 00:04:02] 实际上并没有提供给用户
[00:04:02 - 00:04:04] 苹果通过宣传不存在的功能
[00:04:04 - 00:04:06] 拉高了消费者对于心机的期待
[00:04:06 - 00:04:09] 误导用户升级设备存在虚假宣传行为
[00:04:09 - 00:04:11] 个人无法理解的是
[00:04:11 - 00:04:14] 这则广告直到苹果官方宣布Siri功能跳票之后
[00:04:14 - 00:04:15] 才被撤下来
[00:04:15 - 00:04:18] 现在这位用户正在寻求集体的诉讼
[00:04:18 - 00:04:20] 要求苹果对于消费者进行赔偿
[00:04:20 - 00:04:21] 目前来看
[00:04:21 - 00:04:24] Apple Intelligence之所以会陷入技术困局
[00:04:24 - 00:04:25] 主要源于两方面的原因
[00:04:25 - 00:04:26] 一方面
[00:04:26 - 00:04:29] 手机端30亿参数的小模型的性能不足
[00:04:29 - 00:04:31] 意图识别和跨应用操作的正确率
[00:04:31 - 00:04:34] 仅仅为66%到70%
[00:04:34 - 00:04:36] 难以满足用户的体验要求
