BV号：BV1hZTN6WE6Y
标题：BV1hZTN6WE6Y
链接：https://www.bilibili.com/video/BV1hZTN6WE6Y
识别语言：zh
语言置信度：1
分段数：340
生成时间：2026-08-29 10:13:23

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你以为大模型推理慢是因为算力不够
[00:00:04 - 00:00:05] 或者显卡太差
[00:00:05 - 00:00:08] 错 其实是因为大模型在摸鱼
[00:00:08 - 00:00:10] 今天Deepseak开源了一个
[00:00:10 - 00:00:12] 叫D-Spark的投机解码模块
[00:00:12 - 00:00:16] 它直接让V4模型在中等交互性SLA下的推理吞吐量
[00:00:16 - 00:00:18] 提升了50%以上
[00:00:18 - 00:00:20] 更关键的是
[00:00:20 - 00:00:22] 它解决了一个困扰整个行业的难题
[00:00:22 - 00:00:24] 怎样在保证用户体验的前提下
[00:00:24 - 00:00:26] 同时提升系统吞吐量
[00:00:26 - 00:00:30] 这简直就是在给大模型装上了一个智能变速箱
[00:00:30 - 00:00:32] 推理吞吐量提升51%
[00:00:32 - 00:00:33] 这是什么概念
[00:00:33 - 00:00:35] 在同样的交互性约束下
[00:00:35 - 00:00:38] 系统能处理更多的输出吞吐
[00:00:38 - 00:00:39] 在匹配吞吐容量时
[00:00:39 - 00:00:41] 单用户速度也能提升
[00:00:41 - 00:00:44] 看到这里你可能会想这是怎么做到的
[00:00:44 - 00:00:46] 难道是Deepseak搞到了什么外星科技
[00:00:46 - 00:00:48] 还是他们偷偷给服务器超频了
[00:00:48 - 00:00:50] 其实都不是
[00:00:50 - 00:00:53] 答案就藏在一个叫做投机解码的技术里
[00:00:53 - 00:00:55] 但我必须告诉你传统的投机解码
[00:00:55 - 00:00:57] 现在正面临一个巨大的瓶颈
[00:00:57 - 00:00:59] 我们先来简单交代下背景
[00:00:59 - 00:01:02] 大模型生成文本默认是自回归的
[00:01:02 - 00:01:04] 说白了就是一个词一个词都往外蹦
[00:01:04 - 00:01:07] 这就好比你写文章写完一个字才能想下一个字
[00:01:07 - 00:01:09] 这种方式有个致命的缺点
[00:01:09 - 00:01:11] GPU利用率极低
[00:01:11 - 00:01:15] 你的高端显卡大部分时间都在等内存搬运数据
[00:01:15 - 00:01:16] 根本没在做计算
[00:01:16 - 00:01:17] 为了解决这个问题
[00:01:17 - 00:01:19] 2022年前后
[00:01:19 - 00:01:21] 多篇工作把投机解码系统化
[00:01:21 - 00:01:26] 其中包括specdac和google research的speculative decoding
[00:01:26 - 00:01:28] 简单来说就是找个小弟
[00:01:28 - 00:01:29] 草稿模型
[00:01:29 - 00:01:30] 先快速蒙出几个词
[00:01:30 - 00:01:33] 然后让大哥目标大模型
[00:01:33 - 00:01:35] 一次性去验证这些词对不对
[00:01:35 - 00:01:36] 如果对就直接用
[00:01:36 - 00:01:38] 如果错就从错的地方重新开始
