BV号：BV1hqknY4EkB
标题：BV1hqknY4EkB
链接：https://www.bilibili.com/video/BV1hqknY4EkB
识别语言：zh
语言置信度：1
分段数：331
生成时间：2026-08-31 01:48:25

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:04] 今天我们继续来解读
[00:00:04 - 00:00:08] 三名analyze6的另一篇万字独家爆料
[00:00:08 - 00:00:10] 首次揭露了O1跑老的架构
[00:00:10 - 00:00:13] 同时还解答了一些大家非常关心的问题
[00:00:13 - 00:00:17] 比如说跑老的3.25opos到底有没有失败
[00:00:17 - 00:00:19] OPEN-I的Orient模型发展如何
[00:00:19 - 00:00:23] 以及Sigling Law究竟能否持续下去等等
[00:00:23 - 00:00:26] 前段时间 关于大模型Sigling Law终结的讨论
[00:00:26 - 00:00:27] 是闹得沸沸扬扬
[00:00:27 - 00:00:30] 但是硅谷巨头们分分用实际行动
[00:00:30 - 00:00:31] 给出了不同的答案
[00:00:31 - 00:00:33] 谷歌推出了最强的下一代新模型
[00:00:33 - 00:00:35] Gemna 2.0 Flash
[00:00:35 - 00:00:36] 以及多个Agent
[00:00:36 - 00:00:40] Open Eye则以满血版的O1和O1 ProMode
[00:00:40 - 00:00:42] 展示了大模型的能力还没有触顶
[00:00:42 - 00:00:44] 而三位作者也在文章中指出
[00:00:44 - 00:00:48] Clawde 3.5 Opus也并非如传言所说的内部失败了
[00:00:48 - 00:00:50] 实际上它反而成了
[00:00:50 - 00:00:53] Anstropic精心打造的一个战略武器
[00:00:53 - 00:00:55] 之所以它一直没有被公开发布
[00:00:55 - 00:00:57] 是因为它被秘密地应用在了
[00:00:57 - 00:00:59] 内部数据合成和强化学习
[00:00:59 - 00:01:01] 奖励建模两个关键的领域
[00:01:01 - 00:01:04] 通过这种创新的训练方法
[00:01:04 - 00:01:06] Anstropic不仅没有增加推理的成本
[00:01:06 - 00:01:08] 反而显著提升了模型的性能
[00:01:08 - 00:01:10] 所以相比于公开发布
[00:01:10 - 00:01:12] Anstropic更加愿意将它用在
[00:01:12 - 00:01:14] 模型的训练优化上
[00:01:14 - 00:01:17] 发布Cloud 3.5 Sonnet就已经足够了
[00:01:17 - 00:01:20] 由于基础模型在判断任务方面越优秀
[00:01:20 - 00:01:22] 训练所需要的数据级就越好
[00:01:22 - 00:01:25] 而Cloud 3.5 Opus在这方面表现出色
[00:01:25 - 00:01:27] 规模也恰到好处
[00:01:27 - 00:01:29] 所以Anthropic利用它来生成合成数据
[00:01:29 - 00:01:31] 并且进行奖励建模
[00:01:31 - 00:01:35] 从而在显著提升Cloud 3.5 Sonnet性能的同时
[00:01:35 - 00:01:37] 推理成本没有大幅的变化
[00:01:37 - 00:01:38] 接下来我们来介绍一下
[00:01:38 - 00:01:40] O1和O1 ProL的推理架构
[00:01:40 - 00:01:42] 众所周知O1在推理阶段
[00:01:42 - 00:01:44] 采用了SVLN-COT的方法
[00:01:44 - 00:01:47] 将推理分解为多个离散的步骤
[00:01:47 - 00:01:48] 规划推理步骤
[00:01:48 - 00:01:49] 评估中间结果
[00:01:49 - 00:01:52] 在出错或者出现僵局的时候进行回溯
[00:01:52 - 00:01:55] 但是與很多研究員之前的推測不同
[00:01:55 - 00:01:59] 歐萬在推理過程中只會沿著單一的COT前進
[00:01:59 - 00:02:00] 直至給出答案
[00:02:00 - 00:02:02] 而且測試階段不依賴於搜索
[00:02:02 - 00:02:05] 放棄了對潛在推理路徑數的搜索
[00:02:05 - 00:02:07] 只使用了Pass1的方法
[00:02:07 - 00:02:10] 而歐萬在單一思維鏈上自我糾正和回溯的能力
[00:02:10 - 00:02:13] 正是推理階段計算量Scale的自然結果
[00:02:13 - 00:02:15] 類似於學生的自我糾錯
[00:02:15 - 00:02:19] 不過這項能力對於不同的問題來說效果不同
[00:02:19 - 00:02:21] 像對於一些簡單的問題來說
[00:02:21 - 00:02:23] 延长思考时间帮助不大
[00:02:23 - 00:02:25] 但是对于复杂的数学或者是编程问题
[00:02:25 - 00:02:27] 则有可能显著的提升结果
[00:02:27 - 00:02:30] 而且验证数学和编程问题
[00:02:30 - 00:02:32] 相对于英语作文来说更加容易
[00:02:32 - 00:02:34] 目前还不清楚
[00:02:34 - 00:02:37] OpenI如何利用额外的测试时计算资源
[00:02:37 - 00:02:39] 只知道后台有相关的设置
[00:02:39 - 00:02:42] 从按主题划分的胜利图表中可以看出
[00:02:42 - 00:02:45] 欧岸和推理模型在相对容易验证
[00:02:45 - 00:02:47] 但是生成答案较难的学科中
[00:02:47 - 00:02:49] 表现优于非推理模型
[00:02:49 - 00:02:52] 在验证和生成答案都比较困难的领域
[00:02:52 - 00:02:53] 则表现较差
[00:02:53 - 00:02:55] 这主要是因为O1的训练
[00:02:55 - 00:02:57] 在很大程度上依赖于功能验证器
[00:02:57 - 00:03:00] 在训练期间给模型提供的反馈
[00:03:00 - 00:03:02] 而O1 Pro则采用了自下性
[00:03:02 - 00:03:04] 或者是多数投票的方法
[00:03:04 - 00:03:05] 从表面看
[00:03:05 - 00:03:07] 这种方法的成本似乎很高
[00:03:07 - 00:03:09] 比方说如果有5个投票流
[00:03:09 - 00:03:11] 就需要生成5倍的投坑
[00:03:11 - 00:03:13] 这也是OpenI为什么将拆的JBT Pro的
[00:03:13 - 00:03:16] 订阅价格大幅提高的原因之一
[00:03:16 - 00:03:18] 但是实际上OpenI成本的增加
[00:03:18 - 00:03:20] 远低于价格上涨的幅度
[00:03:20 - 00:03:23] 因为在运行更长的平均序列长度
[00:03:23 - 00:03:26] 并且增加解码token与预填中token的比例时
[00:03:26 - 00:03:30] 推力系统更多的还是受到带宽和容量的限制
[00:03:30 - 00:03:31] 而非flops的限制
[00:03:31 - 00:03:34] 而且自下性和多数投票
[00:03:34 - 00:03:36] 在大部分序列长度上会使用共享前坠
[00:03:36 - 00:03:40] 无需在KV缓存上花费额外的带宽或者是内存
[00:03:40 - 00:03:42] 为了训练O1
[00:03:42 - 00:03:45] Opni打造了名为草莓训练Battery Training的复杂系统
[00:03:45 - 00:03:48] 這個系統會通過蒙特卡洛樹
[00:03:48 - 00:03:49] 生成海量的合成數據
[00:03:49 - 00:03:51] 伴隨許多的並發回合
[00:03:51 - 00:03:54] 然後模型會基於過程獎勵模型P.R.M
[00:03:54 - 00:03:56] 針對於大約1000萬個問題
[00:03:56 - 00:03:58] 生成眾多的變體
[00:03:58 - 00:03:59] 並且在多個點分之
[00:03:59 - 00:04:02] 每個問題會生成數千條答案的軌跡
[00:04:02 - 00:04:04] 這些軌跡會共享前綴
[00:04:04 - 00:04:07] 實際上是一條通向答案的思維鏈
[00:04:07 - 00:04:09] 每條軌跡會包含數千個token
[00:04:09 - 00:04:11] 而訓練歐萬這樣的模型
[00:04:11 - 00:04:13] 則需要生成數百萬一個token
[00:04:13 - 00:04:18] 之後軌跡會通過功能驗證器和優化獎勵模型OM進行修減
[00:04:18 - 00:04:21] 由於過程獎勵模型的效率較低
[00:04:21 - 00:04:24] 所以多數的數據會選擇通過優化獎勵模型來實現
[00:04:24 - 00:04:27] 這個問題會經過多個併發回合來完成
[00:04:27 - 00:04:29] 並且到最後才會被修減
[00:04:29 - 00:04:32] 如果過程獎勵模型的表現更好
[00:04:32 - 00:04:35] 那麼生成於保留優質軌跡的比例就會更高
[00:04:35 - 00:04:38] 但是優化獎勵模型仍然佔據主導的地位
[00:04:38 - 00:04:40] 所以會篩除掉大部分的數據
[00:04:40 - 00:04:42] 功能验证器在检查数学计算
[00:04:42 - 00:04:45] 或者是运行代码来验证数据的正确性方面
[00:04:45 - 00:04:47] 发挥着重要的作用
[00:04:47 - 00:04:49] 但是运行复杂的功能验证系统
[00:04:49 - 00:04:51] 仍然面临着许多的挑战
[00:04:51 - 00:04:54] 比如说不同的模型需要在不同的GPU上运行
[00:04:54 - 00:04:56] 计算结果能否精确的路由
[00:04:56 - 00:04:58] 多模型权重的更新
[00:04:58 - 00:05:00] 以及工作负载均衡等等问题
[00:05:00 - 00:05:04] 而且由于功能验证器在GPU上的运行效果不佳
[00:05:04 - 00:05:06] 所以经常需要转移到CPU上
[00:05:06 - 00:05:07] 门章还提到
[00:05:07 - 00:05:09] 不同公司的下一代训练系统
[00:05:09 - 00:05:12] 在CPU和GPU资源之间的差异巨大
