BV号：BV1i57X6sEkf
标题：BV1i57X6sEkf
链接：https://www.bilibili.com/video/BV1i57X6sEkf
识别语言：zh
语言置信度：1
分段数：456
生成时间：2026-08-29 09:21:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 真正让Agent变强的可能不是更大的模型
[00:00:05 - 00:00:06] 也不是更多的工具
[00:00:06 - 00:00:10] 而是你能不能把一件事写成它可以执行
[00:00:10 - 00:00:13] 可以检查 可以附用的工作协议
[00:00:13 - 00:00:15] 这句话听起来有点反常识
[00:00:15 - 00:00:16] 因为很多人看到skills
[00:00:16 - 00:00:19] 会觉得它不过是个更高级的快捷提示词
[00:00:19 - 00:00:22] 再复杂一点也就是一个markdown文件
[00:00:22 - 00:00:24] 加几个脚本打成一个文件夹
[00:00:24 - 00:00:26] 看着很朴素 甚至有点寒酸
[00:00:26 - 00:00:27] 可一个Agent都能连网
[00:00:27 - 00:00:30] 能写代码能调用各种工具啦
[00:00:30 - 00:00:32] 为什么还要靠这种像说明书一样的东西
[00:00:32 - 00:00:34] 问题恰好就在这里
[00:00:34 - 00:00:36] Agent最缺的往往不是能力
[00:00:36 - 00:00:38] 而是稳定的做事方式
[00:00:38 - 00:00:39] 它可以写代码
[00:00:39 - 00:00:41] 但不知道你们团队怎么做CodeReview
[00:00:41 - 00:00:42] 它可以调工具
[00:00:42 - 00:00:44] 但不知道该先调哪一个
[00:00:44 - 00:00:45] 它可以读文档
[00:00:45 - 00:00:47] 但分不清哪些规则是应约数
[00:00:47 - 00:00:48] 哪些只是建议
[00:00:48 - 00:00:50] 它可以生成结果
[00:00:50 - 00:00:52] 但不知道什么时候该停下来检查
[00:00:52 - 00:00:54] Squeals真正解决的
[00:00:54 - 00:00:56] 不是让Agent多寄一点东西
[00:00:56 - 00:00:59] 他解决的是当任务开始变复杂时
[00:00:59 - 00:01:01] Agent怎么知道该用什么能力
[00:01:01 - 00:01:04] 按什么顺序做,做到什么标准才算完成
[00:01:04 - 00:01:06] 这就不是快捷提示词了
[00:01:06 - 00:01:08] 更像是在给Agent的写操作规程
[00:01:08 - 00:01:11] 那你可能会想Skills已经出来一段时间了
[00:01:11 - 00:01:12] 为什么现在还值得专门讲
[00:01:12 - 00:01:15] 不就是把工作流写进一个文件家吗
[00:01:15 - 00:01:18] 很多团队自己也会写提示词模板,写内部SOP
[00:01:18 - 00:01:21] 写自动画脚本Skills到底多了什么
[00:01:21 - 00:01:24] 比起先去比较Skills和MCP的区别
[00:01:24 - 00:01:26] 这个问题其实更值得想清楚
[00:01:26 - 00:01:28] MCP解决的是工具连接
[00:01:28 - 00:01:31] 而Skills解决的是Agent的工作方法
[00:01:31 - 00:01:33] 工具只是其中的一环
[00:01:33 - 00:01:36] 真正棘手的是当一个任务跨越多个步骤
[00:01:36 - 00:01:40] 多个判断多个质量标准是Agent怎么才能不乱
[00:01:40 - 00:01:42] 比如你要让Agent做一份投言报告
[00:01:42 - 00:01:45] 他得知道先查哪些数据哪些数据不能信
[00:01:45 - 00:01:46] 引用格式怎么写
[00:01:46 - 00:01:48] 结论里哪些话不能说太满
[00:01:48 - 00:01:50] 报告生成后还要跑一次教验
[00:01:50 - 00:01:53] 再比如你让他帮团队做Sprint planning
[00:01:53 - 00:01:55] 他不能只是创建几个任务
[00:01:55 - 00:01:56] 还得知道团队容量
[00:01:56 - 00:01:59] 任务优先级标签规则估算方式
[00:01:59 - 00:02:01] 以及遇到意外时该怎么处理
[00:02:01 - 00:02:04] 这些东西如果每次都靠用户现场解释
[00:02:04 - 00:02:07] Agent就永远像一个刚入职的新人
[00:02:07 - 00:02:08] 你说一句
[00:02:08 - 00:02:09] 他做一步
[00:02:09 - 00:02:12] 你漏说一句他就漏做一步
[00:02:12 - 00:02:14] Skills想解决的
[00:02:14 - 00:02:15] 正是这个问题
[00:02:15 - 00:02:16] 怎么把一次性的解释
[00:02:16 - 00:02:19] 变成Agent每次都能复用的工作能力
[00:02:19 - 00:02:21] 所以这起我们不把Skills当功能奖
[00:02:21 - 00:02:24] 而是把它当成一种Agent的工程方法来拆
[00:02:24 - 00:02:26] 本期重点拆解的是
[00:02:26 - 00:02:27] Anthropic发表的名叫
[00:02:27 - 00:02:30] The Complete Guide to Building Skills for Cloud 的那份文档
[00:02:30 - 00:02:34] 这份文档不是单纯教你怎么创建一个文件家
[00:02:34 - 00:02:36] 而是从几个层面讲 Skills
[00:02:36 - 00:02:38] 什么是skill 文件结构怎么设计
[00:02:38 - 00:02:40] 为什么要用渐进式披露
[00:02:40 - 00:02:41] 如何定义用力
[00:02:41 - 00:02:43] 如何写出发描述
[00:02:43 - 00:02:44] 如何测试
[00:02:44 - 00:02:44] 如何分发
[00:02:44 - 00:02:46] 如何排查问题
[00:02:46 - 00:02:48] 以及真实工作流理常见的几种模式
[00:02:48 - 00:02:50] 文档想解决的问题很具体
[00:02:50 - 00:02:53] 用户不应该每次都重新解释自己的偏好
[00:02:53 - 00:02:55] 流程和领域知识
[00:02:55 - 00:02:57] 团队也不应该让每个人各写一套提示词
[00:02:57 - 00:03:01] 更好的方式是把重复出现的工作方法封装起来
[00:03:01 - 00:03:03] 让Agent在需要时自动加载
[00:03:03 - 00:03:05] 并按照同一套标准执行
[00:03:05 - 00:03:07] 文档面向三类人
[00:03:07 - 00:03:10] 希望Agent稳定执行特定工作流的开发者
[00:03:10 - 00:03:13] 希望Agent安自己习惯工作的中毒用户
[00:03:13 - 00:03:16] 以及希望统一组织内部使用方式的团队
[00:03:16 - 00:03:18] 你看这已经不是提示词技巧了
[00:03:18 - 00:03:21] 它更接近一种轻量级的组织知识工程
[00:03:21 - 00:03:24] 很多人些skill最容易忽略UAML front matter
[00:03:24 - 00:03:26] 因为它看起来太简单了
[00:03:26 - 00:03:28] 一个name一个description没什么技术含量
[00:03:28 - 00:03:30] 但文档里说的很直接
[00:03:30 - 00:03:31] 这个部分非常重要
[00:03:31 - 00:03:32] 原因也简单
[00:03:32 - 00:03:34] agent是否加在某个skill
[00:03:34 - 00:03:36] 很大程度就靠这段描述
[00:03:36 - 00:03:37] 这其实是自然语言路由
[00:03:37 - 00:03:39] 你写的不是普通简介
[00:03:39 - 00:03:40] 而是在告诉agent
[00:03:40 - 00:03:43] 什么场景下应该使用这项能力
[00:03:43 - 00:03:44] 什么场景下不该用
[00:03:44 - 00:03:47] 一个差的描述可能是帮助处理项目
[00:03:47 - 00:03:48] 这句话没用
[00:03:48 - 00:03:49] 什么项目
[00:03:49 - 00:03:52] 软件项目、设计项目、营销项目还是学销作业
[00:03:52 - 00:03:54] Agent看了也只能猜
[00:03:54 - 00:03:56] 一个好的描述会写清楚三件事
[00:03:56 - 00:03:59] 它做什么什么时候用有哪些关键能力
[00:03:59 - 00:04:02] 比如管理项目、Sprint创建任务追踪状态
[00:04:02 - 00:04:06] 当用户提到Sprint任务规划项目排七十使用
[00:04:06 - 00:04:07] 这个差别很大
