BV号：BV1iDQvBdEZH
标题：BV1iDQvBdEZH
链接：https://www.bilibili.com/video/BV1iDQvBdEZH
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-08-29 16:56:34

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 如果你的孩子问你
[00:00:03 - 00:00:05] 我以后上大学该选什么专业
[00:00:05 - 00:00:07] 作为家长 你的第一反应是不是
[00:00:07 - 00:00:08] 选个好找工作的
[00:00:08 - 00:00:11] 比如拼个高分去学计算机 学金融
[00:00:11 - 00:00:14] 或者干脆随大留拼命考功考编
[00:00:14 - 00:00:15] 拿个铁饭碗
[00:00:15 - 00:00:16] 我们以为这才是保护孩子
[00:00:16 - 00:00:18] 最稳妥的精英路线
[00:00:18 - 00:00:20] 但这里有个极其模幻的反差
[00:00:20 - 00:00:23] 那些真正站在时代金字塔间
[00:00:23 - 00:00:24] 每天在硅谷实验室里
[00:00:24 - 00:00:27] 训练着全世界最强AI的顶级高管们
[00:00:27 - 00:00:29] 面对自己亲生骨肉时
[00:00:29 - 00:00:31] 他们的建议竟然是
[00:00:31 - 00:00:32] 去学历史
[00:00:32 - 00:00:33] 去当护士
[00:00:33 - 00:00:34] 甚至去踢足球
[00:00:34 - 00:00:36] 是不是觉得这事很反常时
[00:00:36 - 00:00:36] 别急
[00:00:36 - 00:00:38] 看透了他们的这么做的原因
[00:00:38 - 00:00:40] 你可以有个更清晰的认知
[00:00:40 - 00:00:43] Anthropic的CEO前阵子刚放过狠话
[00:00:43 - 00:00:44] 快的话
[00:00:44 - 00:00:46] 明年一半的初级白领就要下岗
[00:00:46 - 00:00:48] 但最魔幻的现实是什么
[00:00:48 - 00:00:49] 是外面AI发展速度
[00:00:49 - 00:00:50] 已经远超我们想象
[00:00:50 - 00:00:52] 但我们的教育和大多数家长
[00:00:52 - 00:00:54] 还在苛州求见
[00:00:54 - 00:00:56] 大家压根不知道未来的AI时代
[00:00:56 - 00:00:57] 需要什么样的人才
[00:00:57 - 00:01:00] 只能闭着眼睛疯狂内卷传统的硬式教育
[00:01:00 - 00:01:03] 砸钱拼名校,闭孩子无修纸的刷题
[00:01:03 - 00:01:05] 挤破头去选那些传统的好专业
[00:01:05 - 00:01:09] 我们还在用工业流水线的思维试图把孩子的大脑
[00:01:09 - 00:01:12] 训练成一台精准的不出错的考试机器
[00:01:12 - 00:01:13] 但问题是
[00:01:13 - 00:01:18] 当你费尽心机把孩子培养成一个完美适应作题和执行的工具人时
[00:01:18 - 00:01:19] 你会被挨的发现
[00:01:19 - 00:01:22] 工具人正是AI最先淘汰的目标
[00:01:22 - 00:01:25] 最近有一份非常有意思的内部访谈
[00:01:25 - 00:01:28] 受访者包括微软的首席科学家Anthoropic的总裁
[00:01:28 - 00:01:31] 顶尖智能体商业平台的创始人
[00:01:31 - 00:01:34] 这帮人亲手造出了能替代人类的工作机器
[00:01:34 - 00:01:36] 但当他们脱下西装
[00:01:36 - 00:01:39] 作为一个父亲母亲去思考自己孩子的未来时
[00:01:39 - 00:01:41] 他们给出的建议初期的接地器
[00:01:41 - 00:01:43] 甚至看起来有点反科技
[00:01:43 - 00:01:45] 今天我们不扯算力
[00:01:45 - 00:01:47] 不了模型就用大白话分析一下
[00:01:47 - 00:01:48] 他们的言行
[00:01:48 - 00:01:51] 到底给普通人提供了些什么有价值的信号
[00:01:51 - 00:01:53] 首先普通家庭最容易踩的坑
[00:01:53 - 00:01:55] 就是相信 应激能
[00:01:55 - 00:01:57] 觉得会写一首漂亮的代码
[00:01:57 - 00:01:59] 或者精通 Excel 就是铁饭碗
[00:01:59 - 00:02:00] 微软首席科学家
[00:02:00 - 00:02:02] Jammy Teevin 说了一句大实话
[00:02:02 - 00:02:03] AI给建议很牛
[00:02:03 - 00:02:05] 但他不能承担责任
[00:02:05 - 00:02:06] 你想想是不是这个理
[00:02:06 - 00:02:09] AI可以描写一份完美的避税方案
[00:02:09 - 00:02:11] 或者出一个复杂的手术计划
[00:02:11 - 00:02:12] 如果税务局查出问题
[00:02:12 - 00:02:14] 罚款一千万谁去坐牢
[00:02:14 - 00:02:16] 让机房里的服务器去坐牢吗
[00:02:16 - 00:02:17] 如果因为医疗方案
[00:02:17 - 00:02:19] 导致手术失败 谁来负责
[00:02:19 - 00:02:20] 能让AI来负责吗
[00:02:20 - 00:02:22] 都不行
[00:02:22 - 00:02:25] 社会是靠人和人之间的信任与责任运转的
[00:02:25 - 00:02:28] 必须得有一个大活人在文件上签下名字
[00:02:28 - 00:02:29] 说出了事我负责
[00:02:29 - 00:02:32] 会计律师、医生甚至是项目主管
[00:02:32 - 00:02:36] 所以未来能力组的不是那些在电脑前闷头干活的人
[00:02:36 - 00:02:39] 而是那些敢于拍板、有判断力能承担后果的人
[00:02:39 - 00:02:41] 教孩子怎么做决策
[00:02:41 - 00:02:43] 比教他怎么敲键盘重要一万倍
[00:02:43 - 00:02:45] 看到这里你可能会想
[00:02:45 - 00:02:46] 那我现在的专业安全吗
[00:02:46 - 00:02:48] 把你的专业和工作打在公平上
[00:02:48 - 00:02:50] 大家互相评估一下
[00:02:50 - 00:02:52] 看看你的岗位需不需要单则
