BV号：BV1ibcBehE5N
标题：BV1ibcBehE5N
链接：https://www.bilibili.com/video/BV1ibcBehE5N
识别语言：zh
语言置信度：1
分段数：261
生成时间：2026-08-30 19:59:10

[00:00:00 - 00:00:03] 这四动驾驶他的比较对象不是你的竞争对手
[00:00:03 - 00:00:07] 国内的微小李啊好偶呀或者是升居不是TESPA
[00:00:07 - 00:00:09] 四动驾驶的本质的比较对象是人类本身
[00:00:09 - 00:00:11] 他比不过人的时候
[00:00:11 - 00:00:12] 他就是高科技的玩具
[00:00:12 - 00:00:13] 他可以跟人类的比较
[00:00:13 - 00:00:15] 今天你一定要让我找一个对比较对象的话
[00:00:15 - 00:00:17] 坦率的时候我还是会选择Cuff Festy
[00:00:17 - 00:00:18] 我自己去试过以后
[00:00:18 - 00:00:22] 我能看到他们在技术上面是有很多读道之处的
[00:00:22 - 00:00:24] 升居在某些地方是有断战式的
[00:00:24 - 00:00:26] 坦率的时候我做到现在已经快意愿了
[00:00:26 - 00:00:28] 四动驾驶真的真的真的非常难
[00:00:28 - 00:00:30] 我也想想看干了十多年了
[00:00:30 - 00:00:31] 然后每天看到这么多问题
[00:00:31 - 00:00:32] 全是这些最聪明的人
[00:00:32 - 00:00:34] 花了这么多钱干这件事情
[00:00:34 - 00:00:35] 什么一过这观点
[00:00:35 - 00:00:36] 我也说就会很绝望
[00:00:36 - 00:00:38] 但是这个绝望归绝望
[00:00:38 - 00:00:39] 还是能看到希望
[00:00:39 - 00:00:40] 手放在前面了
[00:00:40 - 00:00:42] 其实自动驾驶不是什么新东西了
[00:00:42 - 00:00:45] 自动驾驶整个的发源应该是
[00:00:45 - 00:00:47] 2004年的大法的project
[00:00:47 - 00:00:48] 其实是从那个时候
[00:00:48 - 00:00:50] 我们看到了自动驾驶的可能性
[00:00:50 - 00:00:52] 然后真正我自己开始做这个东西
[00:00:52 - 00:00:55] 是从一二年一三年吧
[00:00:55 - 00:00:55] 为什么做呢
[00:00:55 - 00:00:57] 就当时看到
[00:00:57 - 00:00:59] 那时候还是Google X
[00:00:59 - 00:01:02] 他们两个创始人坐在一样风田的那个
[00:01:02 - 00:01:04] 就头上的那个Brave City面
[00:01:04 - 00:01:06] 我们当时觉得这个玩意儿太酷了
[00:01:06 - 00:01:07] 这东西是为了
[00:01:07 - 00:01:08] 然后就不想赢做了这么多年
[00:01:08 - 00:01:10] 凯瑟是神乐馆的
[00:01:10 - 00:01:10] 凯瑟的说
[00:01:10 - 00:01:12] 我知道现在赢快意愿了
[00:01:12 - 00:01:13] 实话实说
[00:01:13 - 00:01:16] 因为自动战士真的真的真的非常难
[00:01:16 - 00:01:18] 其实我有很多朋友已经感含了
[00:01:18 - 00:01:19] 其实都是很优秀的同学
[00:01:19 - 00:01:19] 都感含了
[00:01:19 - 00:01:20] 居住了
[00:01:20 - 00:01:21] 居身之门
[00:01:21 - 00:01:21] 做自己人去了
[00:01:21 - 00:01:22] 自动战士不做了
[00:01:22 - 00:01:23] 受不了的
[00:01:23 - 00:01:25] 也有不少人问我要的做这些东西
[00:01:25 - 00:01:28] 我还想 咱们来一个思动架式的搞定
[00:01:28 - 00:01:30] 有什么色的就做机器人呢
[00:01:30 - 00:01:31] 思动架式应该是
[00:01:31 - 00:01:33] 第一个工作的物理世界
[00:01:33 - 00:01:36] 跟人交互的一个机器人
[00:01:36 - 00:01:40] 它是在一个办规则和办非规则的场景里面的一个东西
[00:01:40 - 00:01:42] 如果连这种东西都搞不定的话
[00:01:42 - 00:01:46] 我们去做一个完全是非结架化的机器人
[00:01:46 - 00:01:46] 这个是不可能的
[00:01:46 - 00:01:51] 这思动架式它的比较对象不是你的竞争对手
[00:01:51 - 00:01:52] 绝对不是国内的维小利啊
[00:01:52 - 00:01:55] 好啊 或者甚至于不是TESLA
[00:01:55 - 00:01:58] 自动价值的本质的比较对象是人类本质
[00:01:59 - 00:02:01] 所以它的价值是一个拐点式的价值
[00:02:01 - 00:02:03] 就是它比不过人的时候
[00:02:03 - 00:02:04] 那就是高高级的玩具
[00:02:05 - 00:02:07] 它有一天比人好的时候
[00:02:07 - 00:02:08] 它的价值就立刻就会跳上去
[00:02:08 - 00:02:10] 它是一个两段式的价值
[00:02:10 - 00:02:12] 我觉得很不幸的是
[00:02:12 - 00:02:14] 到目前为止还没有一个系统
[00:02:15 - 00:02:17] 真正达到我们刚刚说的这个拐点
[00:02:17 - 00:02:18] 很没道
[00:02:18 - 00:02:21] 我们只是看到了这个希望
[00:02:21 - 00:02:24] 所以我也想想看干了十多年了
[00:02:24 - 00:02:25] 然后每天看到这么多问题
[00:02:25 - 00:02:27] 但全是这些最聪明的人
[00:02:27 - 00:02:29] 花了这么多钱干这件事情
[00:02:29 - 00:02:30] 他没过这个观点
[00:02:30 - 00:02:31] 我也说就会很绝望
[00:02:31 - 00:02:34] 但是这个绝望不会绝望
[00:02:34 - 00:02:35] 干了这么多年
[00:02:35 - 00:02:36] 还是能看到希望
[00:02:36 - 00:02:38] 因为整个技术
[00:02:38 - 00:02:41] 眼睛的五到六代的内核技术以后
[00:02:41 - 00:02:42] 你会发现整个的系统
[00:02:42 - 00:02:43] 确实你能看到曙光
[00:02:43 - 00:02:44] 曙光在前面了
[00:02:44 - 00:02:45] 确实能看到
[00:02:45 - 00:02:48] 就整个的这套数据区用的方式
[00:02:48 - 00:02:49] 起来以后能看到这些
[00:02:49 - 00:02:54] 然后你要说我们的这个优势和理念是什么的话
[00:02:54 - 00:02:55] 其实也很简单
[00:02:55 - 00:02:58] 我们都不打算去跟任何人比较
[00:02:58 - 00:03:01] 我也坦率地说我已经干了这么多年了
[00:03:01 - 00:03:04] 我对每年出现的这种新的概念的时髦的词
[00:03:04 - 00:03:07] 已经完全没有感觉了 说实话
[00:03:07 - 00:03:10] 因为我看到像这种复杂系统
[00:03:10 - 00:03:13] 它不是一个就这里面没有影子弹
[00:03:13 - 00:03:15] 它也没有什么依照之敌的方法
[00:03:15 - 00:03:17] 说明天一个聪明人搞的东西
[00:03:17 - 00:03:18] 一个是搞定的
[00:03:18 - 00:03:19] 就没有这种事情
[00:03:20 - 00:03:22] 复杂系统的方法就是你要有一个很
[00:03:22 - 00:03:23] 很strong的一个工程团队
[00:03:24 - 00:03:25] 非常非常solid的吧
[00:03:25 - 00:03:27] 系统底座做的非常非常solid
[00:03:27 - 00:03:28] 然后
[00:03:28 - 00:03:30] 坦率地说你要比别人有更多的经验
[00:03:30 - 00:03:32] 你要比别人愿意吃更多的苦
[00:03:32 - 00:03:36] 你要有直至以恒的每天面对这么多问题
[00:03:36 - 00:03:39] 你还不崩溃的一年又一年的这种
[00:03:39 - 00:03:39] 这种运作
[00:03:40 - 00:03:42] 然后同时你还要保证新的技术出现的时候
[00:03:42 - 00:03:44] 你要能快速地把它吸收进来
[00:03:44 - 00:03:46] 而且你要知道它的编辑是什么
[00:03:46 - 00:03:49] 因为大家都知道一个新的方法起来以后
[00:03:49 - 00:03:51] 第一天也会觉得它很美好
[00:03:51 - 00:03:52] 它能解决所有的问题
[00:03:52 - 00:03:54] 第二天你会对它有些怀疑
[00:03:54 - 00:03:56] 第三天你会发现它的边界其实就在那边
[00:03:56 - 00:03:58] 每一个情况都有这么一个过程
[00:03:58 - 00:04:00] 所以正确的一个复杂系统
[00:04:00 - 00:04:03] 就是不断的在一个比较solid的一个底子上面
[00:04:03 - 00:04:04] 不断的把新的方法
[00:04:04 - 00:04:05] 自己重新去
[00:04:05 - 00:04:06] 然后使用起来
[00:04:06 - 00:04:08] 然后不断的往前去滚动
[00:04:08 - 00:04:11] 我觉得这是一个做大的工程的一个经验之谈吧
[00:04:11 - 00:04:13] 我们现在也是做了上面的实验
[00:04:13 - 00:04:15] 今天你一定要找一个对比较度假的话
[00:04:15 - 00:04:17] 坦说的话,我还是不会选择KFSD
[00:04:18 - 00:04:20] 因为我确确实觉得
[00:04:20 - 00:04:27] 老美的整个团队的素质和他们的重新精神是值得让人敬佩的
[00:04:27 - 00:04:29] 我自己去试过以后
[00:04:29 - 00:04:33] 我能看到他们在技术上是有很多独到之处的
[00:04:33 - 00:04:35] 甚至在某些地方是有断断式的
[00:04:35 - 00:04:37] 这点我觉得不妨承认,没有什么关系
[00:04:37 - 00:04:41] 我们自己从中间也能学到很多新的一些思想和思路
[00:04:41 - 00:04:43] 至少他们已经证明了一些东西是有趣味的
[00:04:43 - 00:04:45] 那么我们就要去做
[00:04:45 - 00:04:47] 但是反过来说
[00:04:47 - 00:04:49] 中国的自动价值跟美国有些地方是不一样的
[00:04:49 - 00:04:51] 第一个坦白讲
[00:04:51 - 00:04:53] 中国在目前的这个光暂下
[00:04:53 - 00:04:55] 你不可能获得Tesla Land的算力
[00:04:55 - 00:04:56] 这是不可能的
[00:04:56 - 00:04:58] 不论是经济还是政治
[00:04:58 - 00:04:59] 没有人能做到这个
[00:04:59 - 00:05:01] 第二个就是中国的这个
[00:05:01 - 00:05:02] 坦率的时候
[00:05:02 - 00:05:04] 这个基建随意性比美国大太多了
[00:05:04 - 00:05:06] 它有很多那种
[00:05:06 - 00:05:07] 通用的东西
[00:05:07 - 00:05:09] 通用common sense搞定的那些东西
[00:05:09 - 00:05:11] 这个是美国没有的
[00:05:11 - 00:05:16] 还有中国的外卖和大家手工具的开车的状态
[00:05:16 - 00:05:17] 在美国也没有
[00:05:17 - 00:05:20] 这可以保持大量的博弈的问题
[00:05:20 - 00:05:21] 你现在就出
[00:05:21 - 00:05:23] 这个我们看到是中国特有的问题
[00:05:23 - 00:05:25] 而这叉价是现在的数据屏动
[00:05:25 - 00:05:26] 其实不太可能有效解决的
[00:05:27 - 00:05:29] 所以我们自己选择的数据
[00:05:29 - 00:05:30] 主要比较陆石的道路
[00:05:30 - 00:05:32] 就是系统的内核
[00:05:32 - 00:05:33] 是完全是一段时间的
[00:05:33 - 00:05:34] 当代官的数据屏动
[00:05:35 - 00:05:38] 但是我们在一些比较
[00:05:38 - 00:05:39] 数据比较吸出
[00:05:39 - 00:05:42] 反其类用功大的数据也很难输了
[00:05:42 - 00:05:46] 我们其实也不用一些有经验的工程区
[00:05:46 - 00:05:47] 去做一些规则的东西
[00:05:47 - 00:05:50] 这是规则有双臂形的情况
[00:05:50 - 00:05:52] 我们目前实现下来就是最有效的
[00:05:52 - 00:05:53] 当然这做Marketing圈上的主要
