BV号：BV1j59KB1E4s
标题：BV1j59KB1E4s
链接：https://www.bilibili.com/video/BV1j59KB1E4s
识别语言：zh
语言置信度：1
分段数：557
生成时间：2026-08-29 07:29:08

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 原码里藏着一套完整的操作系统设计
[00:00:04 - 00:00:09] 它有后台守护进程 有跨绘画通信 有多AZE的调度
[00:00:09 - 00:00:11] 甚至有一只只属于你的虚拟宠物
[00:00:11 - 00:00:13] 这还是编程工具吗
[00:00:13 - 00:00:15] 这是Anthropic的Cloud Code原码里
[00:00:15 - 00:00:18] 真实存在的8个从未公开的功能
[00:00:18 - 00:00:20] 今天 我们把他们一个一个扒出来
[00:00:20 - 00:00:22] 我想先问你一个问题
[00:00:22 - 00:00:24] 你觉得AI软件的中态是什么
[00:00:24 - 00:00:25] 是一个更聪明的搜索框
[00:00:25 - 00:00:28] 还是一个更快的代码补权工具
[00:00:28 - 00:00:30] 大多数人的答案都停留在工具这个层面
[00:00:30 - 00:00:32] 但Cloud Code的原码告诉我们
[00:00:32 - 00:00:34] Anthropic的工程师们
[00:00:34 - 00:00:36] 早就在设计一个完全不同的东西
[00:00:36 - 00:00:39] 一个有记忆有自主性能协作
[00:00:39 - 00:00:42] 能在后台悄悄运行的AI操作系统
[00:00:42 - 00:00:45] 上期视频我们聊了Cloud Code的原码泄漏事件本身
[00:00:45 - 00:00:49] 3月31日Anthropic发布2.188版本时
[00:00:49 - 00:00:50] 因为遗漏了TypeScript
[00:00:50 - 00:00:52] Sourcemap文件的排除规则
[00:00:52 - 00:00:55] 51万行的原代码就这样全暴露了
[00:00:55 - 00:00:59] 通过原码发现Cloud Code 根本不是一个编程助手
[00:00:59 - 00:01:00] 而更像一个操作系统
[00:01:00 - 00:01:03] 它把提示词当成编译器输出
[00:01:03 - 00:01:05] 用四层全线流水线做安全审查
[00:01:05 - 00:01:08] 甚至能开多个AZEN的病情干活
[00:01:08 - 00:01:10] 每看昨天那期的建议先去补一下
[00:01:10 - 00:01:12] 链接在简介里
[00:01:12 - 00:01:16] 今天我们接着往深挖那8个官方从没公开过的功能
[00:01:16 - 00:01:19] 每一个都指向AI软件的下一个形态
[00:01:19 - 00:01:21] 好 进入今天的核心部分
[00:01:21 - 00:01:23] 我们来逐一拆解这8个功能
[00:01:23 - 00:01:25] 每一个我都会从三个维度讲清楚
[00:01:25 - 00:01:27] 它是什么技术上怎么实现的
[00:01:27 - 00:01:28] 以及它为什么重要
[00:01:28 - 00:01:30] 先从最理谱的开始
[00:01:30 - 00:01:31] Kiros
[00:01:31 - 00:01:33] Kiros这个名字来自古希腊语
[00:01:33 - 00:01:36] 意思是关键时刻恰当的时机
[00:01:36 - 00:01:38] Anthropic 用这个词来命名这个功能
[00:01:38 - 00:01:40] 本身就很有意思
[00:01:40 - 00:01:40] 简单说
[00:01:40 - 00:01:43] Kiros是一个持久化助理模式
[00:01:43 - 00:01:46] 它让Claw的从被动响应变成主动执行
[00:01:46 - 00:01:48] 你不说话他也在工作
[00:01:48 - 00:01:51] 但最让我震惊的是他的梦想机制
[00:01:51 - 00:01:53] Carros有一个叫做Dream的后台进程
[00:01:53 - 00:01:57] 会在系统空闲时自动触发分四个阶段整理记忆
[00:01:57 - 00:01:58] Orient
[00:01:58 - 00:01:59] 定位
[00:01:59 - 00:02:01] 扫描当前所有上下文
[00:02:01 - 00:02:04] 确定哪些信息是活跃的 哪些已经过期
[00:02:04 - 00:02:07] Gather 收集 把分三在不同绘画
[00:02:07 - 00:02:10] 不同时间节点的相关信息聚合在一起
[00:02:10 - 00:02:11] Cosolidate
[00:02:11 - 00:02:12] 整合
[00:02:12 - 00:02:14] 对收集到的信息进行语义压缩
[00:02:14 - 00:02:16] 去掉荣于保留核心
[00:02:16 - 00:02:17] Proon
[00:02:17 - 00:02:18] 修减
[00:02:18 - 00:02:21] 删除低价值低相关性的记忆碎片
[00:02:21 - 00:02:23] 释放存储空间
[00:02:23 - 00:02:24] 这四个步骤
[00:02:24 - 00:02:27] 和人类大脑在睡眠期间的记忆巩固机制
[00:02:27 - 00:02:28] 惊人的相似
[00:02:28 - 00:02:30] 神经科学告诉我们
[00:02:30 - 00:02:33] 人类睡觉时大脑会把短期记忆转化为长期记忆
[00:02:33 - 00:02:35] 同时清理无用信息
[00:02:35 - 00:02:37] Carol's在做的是同样的事情
[00:02:37 - 00:02:41] 代码层面Carol's是一个独立的后台服务模块
[00:02:41 - 00:02:44] 通过定时任务触发调用内部的项量数据库API
[00:02:44 - 00:02:47] 对上下文进行嵌入和检索
[00:02:47 - 00:02:49] 它维护一个记忆权重系统
[00:02:49 - 00:02:53] 根据信息的访问频率、时间衰减和语意相关性
[00:02:53 - 00:02:55] 动态调整每条记忆的优先级
[00:02:55 - 00:02:58] 产品逻辑上意味着Cloud可以跨越绘画边界
[00:02:58 - 00:03:00] 记住你上周说过的事儿
[00:03:00 - 00:03:02] 记住你的工作习惯
[00:03:02 - 00:03:03] 记住你正在推进的项目
[00:03:03 - 00:03:06] 它不再是每次对话都失忆的工具
[00:03:06 - 00:03:08] 而是一个真正意义上的长期助理
[00:03:08 - 00:03:09] 想象一下
[00:03:09 - 00:03:11] 你每天和Cloud开工作立会
[00:03:11 - 00:03:14] 它会自动整理每次会议的重点追踪待办事项
[00:03:14 - 00:03:17] 甚至在你忘记某件事的时候主动提醒你
[00:03:17 - 00:03:19] 这不是聊天机器人
[00:03:19 - 00:03:21] 这是一个有记忆的工作伙伴
[00:03:21 - 00:03:22] Carol's的出现
[00:03:22 - 00:03:24] 意味着AI软件的设计范氏
[00:03:24 - 00:03:26] 正在发生根本性的转变
[00:03:26 - 00:03:27] 从无状态服务
[00:03:27 - 00:03:29] 转向有状态生命体
