BV号：BV1jNkhYFEpa
标题：BV1jNkhYFEpa
链接：https://www.bilibili.com/video/BV1jNkhYFEpa
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-31 00:09:14

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 一晃真快
[00:00:04 - 00:00:06] 2024年 马上就要过去了
[00:00:06 - 00:00:09] 今年 AI 行业又发生了很多翻天覆地的变化
[00:00:09 - 00:00:11] 在去年的差不多这个时候
[00:00:11 - 00:00:15] 红山资本曾经将ChatGPT比做 AI 的大爆炸
[00:00:15 - 00:00:16] 并且预言
[00:00:16 - 00:00:18] 2024年将是 AI 的元年
[00:00:18 - 00:00:21] 当时的感觉是 AI 拥有无穷的潜力
[00:00:21 - 00:00:23] 但是这些潜力好像是无形的
[00:00:23 - 00:00:25] 大家都看不到
[00:00:25 - 00:00:26] 不过到了今天
[00:00:26 - 00:00:28] AI 的生态似乎已经趋于稳固
[00:00:28 - 00:00:31] 市場格局也漸漸展露頭角
[00:00:31 - 00:00:34] 如果說2024年是充滿了新的思想
[00:00:34 - 00:00:37] 那麼2025年將著重於篩選這些想法
[00:00:37 - 00:00:39] 看看哪些是真正可行的
[00:00:40 - 00:00:41] 基於如今的發展態勢
[00:00:41 - 00:00:44] 紅山資本又對2025年的AI發展
[00:00:44 - 00:00:45] 做出了自己的預測
[00:00:45 - 00:00:46] 有三大重點
[00:00:46 - 00:00:49] 今天大飛就來給大家分享一下
[00:00:49 - 00:00:51] 首先就是大語言模型
[00:00:51 - 00:00:53] 五大公司的易軍突起
[00:00:53 - 00:00:55] 在2024年的大模型競賽中
[00:00:55 - 00:00:57] 眾多的公司參與其中
[00:00:57 - 00:00:58] 競爭激烈
[00:00:58 - 00:01:05] 最终呢,微软与OpenI、亚马逊与Anthropic、谷歌、Meta以及XAI这5家公司拖影而出
[00:01:05 - 00:01:07] 成为了最终的入围者
[00:01:07 - 00:01:13] 而其他一些公司,比如说Inflection、Adaptor和Character,则退出了这场激烈的决筑
[00:01:13 - 00:01:16] 为了达到与GPT4相当的水平
[00:01:16 - 00:01:20] 这些入围公司在2024年基本上都采用了相似的策略
[00:01:20 - 00:01:22] 他们竭尽全力的收集海量数据
[00:01:22 - 00:01:25] 投入大量的GPU资源进行训练
[00:01:25 - 00:01:28] 并且不断优化预训链和后训链架构
[00:01:28 - 00:01:29] 从而追求性能的最大化
[00:01:29 - 00:01:31] 在这个过程中
[00:01:31 - 00:01:33] 人才在各个组织之间自由的流动
[00:01:33 - 00:01:35] 使得商业秘密变得难以存在
[00:01:35 - 00:01:39] 也导致各个公司的技术和策略逐渐驱同
[00:01:39 - 00:01:41] 不过 随着现在竞赛进入到了下一轮
[00:01:41 - 00:01:45] 这些公司开始发展出了各自独特的差异化优势
[00:01:45 - 00:01:47] 红山对此进行了一意的分析
[00:01:47 - 00:01:51] 谷歌在2025年的一大优势就是垂直整合
[00:01:51 - 00:01:55] 它是目前唯一拥有自言一流芯片TPU的公司
[00:01:55 - 00:01:56] 而且在2025年
[00:01:56 - 00:01:59] TPU還有望與英偉大的GPU一較高下
[00:01:59 - 00:02:00] 此外
[00:02:00 - 00:02:03] 谷歌不僅在建設自己的數據中心
