BV号：BV1kc8M6zE2G
标题：BV1kc8M6zE2G
链接：https://www.bilibili.com/video/BV1kc8M6zE2G
识别语言：zh
语言置信度：1
分段数：218
生成时间：2026-08-29 11:57:53

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] AI给你写了四场解释
[00:00:04 - 00:00:05] 每句话都像是对的
[00:00:05 - 00:00:07] 可你看完以后还是不知道bug在哪
[00:00:07 - 00:00:08] 入口在哪
[00:00:08 - 00:00:09] 数据从哪来
[00:00:09 - 00:00:11] 哪一步会写数据库
[00:00:11 - 00:00:14] 哪一次刷新会把新配置又覆盖成旧配置
[00:00:14 - 00:00:17] 做过AI编程的人多半见过这个场景
[00:00:17 - 00:00:18] A真的很勤奋
[00:00:18 - 00:00:20] 他解释背景列风险还给建议
[00:00:20 - 00:00:24] 你却得把这些线性文字重新拼成一张系统地图
[00:00:24 - 00:00:26] 今天聊一个很小的技能叫shownme
[00:00:26 - 00:00:28] 它来自humalayr
[00:00:28 - 00:00:29] 他想解决的事很直接
[00:00:29 - 00:00:30] 少解释一点
[00:00:30 - 00:00:32] 把系统画出来
[00:00:32 - 00:00:33] 这期视频讲三个收获
[00:00:33 - 00:00:36] 图为什么能让人更早看见问题
[00:00:36 - 00:00:37] 哪些图值得让代理化
[00:00:37 - 00:00:39] 还有图为什么也会骗人
[00:00:39 - 00:00:42] 说明更像一张给代码代理的沟通约定
[00:00:42 - 00:00:44] 他要求代理少写前沿少铺背景
[00:00:44 - 00:00:46] 眼前要判断什么
[00:00:46 - 00:00:48] 就展示和这件事有关的结构
[00:00:48 - 00:00:50] 讨论算法可以用为代码
[00:00:50 - 00:00:52] 讨论后端编排可以用调用数
[00:00:52 - 00:00:54] 讨论页面状态可以用组建数
[00:00:54 - 00:00:57] 讨论重构范围可以用浅层文件数
[00:00:57 - 00:00:58] 讨论一次代码改动
[00:00:58 - 00:01:01] 也就是PR可以用差异试图
[00:01:01 - 00:01:03] 它不要求固定指画一张图
[00:01:03 - 00:01:05] 复杂问题可以组合集中表示
[00:01:05 - 00:01:07] 它反对的是把所有图形
[00:01:07 - 00:01:08] 一口气塞给用户
[00:01:08 - 00:01:11] 最后又造出一座新的信息垃圾山
[00:01:11 - 00:01:12] 所谓最小试图
[00:01:12 - 00:01:14] 翻成大白话就是指画眼前
[00:01:14 - 00:01:16] 这个问题需要的部分
[00:01:16 - 00:01:17] 你想判断保存顺序
[00:01:17 - 00:01:19] 就别先给一张全系统架构图
[00:01:19 - 00:01:21] 你想找状态归属
[00:01:21 - 00:01:23] 也不必把整个页面数都摊开
[00:01:23 - 00:01:24] 你有没有遇到过这种情况
[00:01:24 - 00:01:26] AI解释的越长
[00:01:26 - 00:01:27] 你反而越看不懂
[00:01:27 - 00:01:29] 遇到过的话弹幕留个一
[00:01:29 - 00:01:31] 在不少AI辅助开发场景里
[00:01:31 - 00:01:33] 真正费时间的地方不在第一版代码
[00:01:33 - 00:01:35] 费时间的是确认
[00:01:35 - 00:01:36] 状态会不会串
[00:01:36 - 00:01:38] 副作用有没有越界
[00:01:38 - 00:01:40] 这次改动会不会三周后才出事过
[00:01:40 - 00:01:43] 这里说的副作用只写数据库发消息
[00:01:43 - 00:01:45] 或者调用外部服务
[00:01:45 - 00:01:48] 这些动作一旦重复漏掉或者顺序不对
[00:01:48 - 00:01:50] 线上问题很难只靠一段说明找出来
[00:01:50 - 00:01:53] 图的价值不是显得专业
[00:01:53 - 00:01:55] 它会逼代里把银行判断写出来
[00:01:55 - 00:01:57] 能确认的标出证据
[00:01:57 - 00:01:58] 不能确认的留下问号
[00:01:58 - 00:02:01] 最危险的情况是把猜测划成结论
[00:02:01 - 00:02:03] 好的图会告诉你它从哪个文件
[00:02:03 - 00:02:06] 哪个函数哪端运行记录得出这个判断
[00:02:06 - 00:02:09] 没有来源的箭头看着再顺也只能算假设
[00:02:09 - 00:02:11] AI可能已经想明白了
[00:02:11 - 00:02:12] 但没让你看明白
[00:02:12 - 00:02:14] 人需要的是一个可以质疑
[00:02:14 - 00:02:15] 可以修改
[00:02:15 - 00:02:17] 也可以回到原码验证的结构
[00:02:17 - 00:02:18] 假设用户保存配置后
[00:02:18 - 00:02:20] 页面偶尔又恢复成就职
[00:02:20 - 00:02:21] 先看这段过程
[00:02:21 - 00:02:24] 用户点击保存页面更新本地草稿
[00:02:24 - 00:02:28] 请求发给服务端 服务端写入存储 发布更新事件
[00:02:28 - 00:02:31] 页面收到事件 又去拉取最新配置
[00:02:31 - 00:02:34] 最后返回 直覆盖回本地草稿
[00:02:34 - 00:02:37] 当代理把这段过程整理成实序图
[00:02:37 - 00:02:39] 四个检查点会自然浮出来
[00:02:39 - 00:02:42] 提交事件发布 重新拉取就职覆盖
[00:02:42 - 00:02:44] 问题没有被解决 排查范围却缩小了
[00:02:44 - 00:02:46] 数据库提交完成了吗
[00:02:46 - 00:02:49] 拿到的是 主库缓存 还是副本里的就职
[00:02:49 - 00:02:52] 发布事件发生在提交前还是提交后
[00:02:52 - 00:02:56] 页面收到结果时有没有比较配置版本号
[00:02:56 - 00:02:58] 这个案例真正关心的是顺序
[00:02:58 - 00:03:00] 所以时序图比雕用数更合适
[00:03:00 - 00:03:02] 雕用数负责定位函数
[00:03:02 - 00:03:04] 时序图负责核对先后
[00:03:04 - 00:03:06] 最终顺序还要回到代码核
[00:03:06 - 00:03:08] 系统实际运行记录里确认
[00:03:08 - 00:03:11] 这个范例想说明的是一种使用过程
[00:03:11 - 00:03:14] 原本一段关于缓存异部写入和刷新实际的说明
[00:03:14 - 00:03:17] 会变成四个可以马上检查的问题
[00:03:17 - 00:03:20] 代理从帮我解释转向帮我缩小排查范围
[00:03:20 - 00:03:23] 调用数适合看一个请求经过哪些函数
[00:03:23 - 00:03:26] 它能帮你找到入口外部调用和副作用
[00:03:26 - 00:03:28] 组建书适合看页面状态归谁
[00:03:28 - 00:03:31] 比如页面订阅按钮和结果卡片
[00:03:31 - 00:03:34] 谁应该拥有状态 谁只负责展示
[00:03:34 - 00:03:35] 这里有个安全边界要讲清
[00:03:35 - 00:03:39] 服务端需要对每次敏感操作做最终授权
[00:03:39 - 00:03:41] 前端可以根据全线结果控制按钮展示
[00:03:41 - 00:03:43] 不能充当安全边界
[00:03:43 - 00:03:47] 潜层文件数适合重构每个目录只写一句职责
[00:03:47 - 00:03:49] 绘画逻辑网络传书和命令
[00:03:49 - 00:03:52] 解析如果挤在同一个文件里问题会很快显出来
[00:03:52 - 00:03:56] 审查一次PR用差异试图加一条风险路径
[00:03:56 - 00:03:58] 先看新增入口再看权限判断
[00:03:58 - 00:04:02] 写库消息发布缓存失效和失败分支
[00:04:02 - 00:04:04] 小任务只要一条调用路径
[00:04:04 - 00:04:07] 复杂任务再补状态边界和风险图
[00:04:07 - 00:04:10] 图跟着问题走才不会变成另一份没人看的文档
[00:04:10 - 00:04:13] 要是你只想让代理先交一份东西
[00:04:13 - 00:04:15] 我建议优先要风险路径
[00:04:15 - 00:04:18] 它既能帮你定位也方便别人复查
[00:04:18 - 00:04:21] 到这里很多人会想既然文字这么累
[00:04:21 - 00:04:22] 那就让AI多画图
[00:04:22 - 00:04:24] 我反而想提醒一句
[00:04:24 - 00:04:26] 漂亮的图也会撒谎
[00:04:26 - 00:04:28] 静态调用树可能漏掉反射
[00:04:28 - 00:04:31] 依赖注入事件总线和动态夹在
[00:04:31 - 00:04:33] 实序图可能没有超时重视
[00:04:33 - 00:04:36] 组建图可能没画出一个藏在全局状态里的写入
[00:04:36 - 00:04:37] 还有一个常见坑
[00:04:37 - 00:04:40] 图里把数据库提交和消息发布
[00:04:40 - 00:04:41] 画成一个原子动作
[00:04:41 - 00:04:44] 现实里如果他们写入两个独立系统
[00:04:44 - 00:04:46] 又没有事无发现相一类机制
[00:04:46 - 00:04:49] 中间的进程崩溃或通信失败
[00:04:49 - 00:04:51] 就可能留下不一致的数据
[00:04:51 - 00:04:52] 所以图适合当导航
[00:04:52 - 00:04:54] 它带你去看风险点
[00:04:54 - 00:04:57] 它不能替原码测试日制和运行追踪盖章
[00:04:57 - 00:04:59] 让代理做审查地图时
[00:04:59 - 00:05:02] 每个高风险节点都该带上文件路径
[00:05:02 - 00:05:05] 韩束明、测试明或运行记录标识
[00:05:05 - 00:05:07] 它无法确认的关系要写
[00:05:07 - 00:05:08] 带确认
[00:05:08 - 00:05:11] 这四个字比一张自信但错误的图可靠得多
[00:05:11 - 00:05:13] 关于图能不能帮助理解研究
[00:05:13 - 00:05:15] 给出的答案很谨慎
[00:05:15 - 00:05:18] 早期一项控制结构图研究做了两组学生实验
[00:05:18 - 00:05:21] 结果显示在一个公共图形库的
[00:05:21 - 00:05:22] 单模块圆码理解任务里
[00:05:22 - 00:05:25] 控制结构图能改善答题表现
[00:05:25 - 00:05:27] 它证明的是一个具体任务上的帮助
[00:05:27 - 00:05:30] 不能推出所有图形表示都有效
[00:05:30 - 00:05:32] 近期codevider更接近今天的话题
[00:05:32 - 00:05:35] 研究者先做了11人探索性研究
[00:05:35 - 00:05:38] 改进工具后又做了16人的受试者内比较
[00:05:39 - 00:05:42] 论文报告结合调用图和控制流图的工具
[00:05:42 - 00:05:44] 在代码理解与用户信任上表现更好
[00:05:44 - 00:05:47] 样本人人不大,工具形态也很具体
[00:05:47 - 00:05:50] 把它理解成一个值得继续验证的方向会更稳妥
[00:05:50 - 00:05:52] 研究给了我们一个许可,可以试
[00:05:52 - 00:05:55] 它没有替任何团队做结论
[00:05:55 - 00:05:57] 团队自己的代码库协作方式和工具链
[00:05:57 - 00:05:59] 还得自己验证
[00:05:59 - 00:06:01] 到这里可以把整套方法压成一句话
[00:06:01 - 00:06:04] 先表示再实现再验证
[00:06:04 - 00:06:06] 第一个检查点动工前的变更契约
[00:06:06 - 00:06:09] 让代理先说清这次会动哪些文件
[00:06:09 - 00:06:10] 公工接口怎么变
[00:06:10 - 00:06:12] 调用或状态会经过哪些节点
[00:06:12 - 00:06:15] 失败时怎么处理验证命令怎么跑
[00:06:15 - 00:06:18] 信息不够就列带确认象别自己补设定
[00:06:18 - 00:06:21] 第二个检查点编码中的决策结构
[00:06:21 - 00:06:26] 缓存问题 画状态与失效路径并发问题 画时序
[00:06:26 - 00:06:28] 模块归属问题 画文件边界
[00:06:28 - 00:06:29] 一次讨论超过5分钟
[00:06:29 - 00:06:32] 就让代理把争论变成一个能改的结构
