BV号：BV1kuyTBvE4a
标题：BV1kuyTBvE4a
链接：https://www.bilibili.com/video/BV1kuyTBvE4a
识别语言：zh
语言置信度：1
分段数：94
生成时间：2026-08-29 22:08:24

[00:00:00 - 00:00:02] 大家好 我是為什麼叫QQ
[00:00:02 - 00:00:08] 今天要和大家聊了一場可能會再入AI發展史的神仙對話
[00:00:08 - 00:00:10] 2025年11月6日
[00:00:10 - 00:00:13] 六位AI領域的巨頭聚集在一起
[00:00:13 - 00:00:18] 展開了一個關於AI泡沫與AGI時間線的深度對話
[00:00:18 - 00:00:20] 這六個人分別是
[00:00:20 - 00:00:22] 深度學習三巨頭
[00:00:22 - 00:00:24] 傑弗里心頓
[00:00:24 - 00:00:25] 楊麗昆
[00:00:25 - 00:00:26] 約書亞
[00:00:26 - 00:00:27] 本集奧
[00:00:27 - 00:00:32] 英偉达的黄仁勋与比尔达利以及李菲菲
[00:00:32 - 00:00:33] 在这场对谈中
[00:00:33 - 00:00:35] 他们不仅回过了40年来
[00:00:35 - 00:00:38] AI从冷门到爆发的历史
[00:00:38 - 00:00:41] 还对一个核心问题展开了激烈辩论
[00:00:41 - 00:00:43] 我们现在经历的
[00:00:43 - 00:00:45] 是AI的产业革命
[00:00:45 - 00:00:47] 还是即将破裂的泡沫
[00:00:47 - 00:00:48] 更重要的是
[00:00:48 - 00:00:50] 关于AGI核实到来
[00:00:50 - 00:00:54] 他们给出了从5年到20年不等的不同预测
[00:00:54 - 00:00:57] 甚至有人認為這個問題本身就有誤
[00:00:57 - 00:01:02] 今天我就帶大家回顧一下這場精彩的對話
[00:01:02 - 00:01:05] 看看他們是如何討論AI的未來的
[00:01:05 - 00:01:09] 首先我們要聊聊這些先驅們的頓悟時刻
[00:01:09 - 00:01:11] 正是這些閃現的靈光
[00:01:11 - 00:01:14] 讓我們今天看到了AI的非素發展
[00:01:14 - 00:01:17] 耶穌亞本集奧的第一個頓悟
[00:01:17 - 00:01:20] 時刻是在他讀心頓的論文時
[00:01:20 - 00:01:22] 他突然意識到
[00:01:22 - 00:01:25] 智能並不是通過複雜的編程來實現
[00:01:25 - 00:01:27] 而是通過簡單的原則
[00:01:27 - 00:01:31] 這一發現讓他投身深度學習
[00:01:31 - 00:01:33] 並最終成為三巨頭之一
[00:01:33 - 00:01:36] 而比爾達利的第一個頓悟
[00:01:36 - 00:01:39] 時刻發生在1990年代末
[00:01:39 - 00:01:43] 當時他提出流處理架構突破了內存牆
[00:01:43 - 00:01:47] 奠定了GPU在AI計算中的核心地位
[00:01:47 - 00:01:50] 新頓的頓悟則是在1984年
[00:01:50 - 00:01:52] 他通过反向传播训练的小模型
[00:01:52 - 00:01:54] 模型居然能理解单词的含义
[00:01:54 - 00:01:57] 虽然内实的计算能力远远不够
[00:01:57 - 00:01:59] 直到GPU和大数据时代
[00:01:59 - 00:02:01] 才让这个想法得以实现
[00:02:01 - 00:02:04] 黄仁勋的顿悟发生在2010年
[00:02:04 - 00:02:08] 当时他意识到英伟达不仅要做GPU硬件
[00:02:08 - 00:02:10] 还要做AI软件生态
[00:02:10 - 00:02:14] 这一决策让英伟达成为了AI算力的全球巨头
[00:02:14 - 00:02:18] 李菲菲的顿悟时刻是在2006年
[00:02:18 - 00:02:22] 他意识到,数据才是AI发展的瓶颈
[00:02:22 - 00:02:25] 而他创建的ImageNet成为了深度学习的燃料
[00:02:25 - 00:02:28] 这些动物时刻看似平凡
[00:02:28 - 00:02:32] 但正是他们推动了AI从理论走向实践
[00:02:32 - 00:02:37] 谈到今天六位先驱对于AI的未来有着不同的看法
[00:02:37 - 00:02:40] 黄仁勋和比尔达利坚定的认为
[00:02:40 - 00:02:43] 当前的AI热潮并非泡沫
[00:02:43 - 00:02:48] 他们指出,今天每一块GPU几乎都在高强度使用
[00:02:48 - 00:02:53] 正與2000年互聯網泡沫時期的暗光線線向完全不同
[00:02:53 - 00:02:56] 而楊麗昆和李菲菲則更為冷靜
[00:02:56 - 00:02:59] 他們不否認AI的價值
