BV号：BV1mQR3BUEPE
标题：BV1mQR3BUEPE
链接：https://www.bilibili.com/video/BV1mQR3BUEPE
识别语言：zh
语言置信度：1
分段数：214
生成时间：2026-08-29 17:09:25

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 各位写代码的搞技术的
[00:00:04 - 00:00:07] 还有正在被AI震撼或者折磨的朋友们
[00:00:07 - 00:00:09] 今天咱们聊点能让你后背发凉
[00:00:09 - 00:00:12] 但也绝对能让你顿悟的硬核猛料
[00:00:12 - 00:00:14] 你还在坑只坑只写代码吗
[00:00:14 - 00:00:17] 或者觉得用co-pilot补权下代码就已经很潮了
[00:00:17 - 00:00:19] 前特斯拉AI总监
[00:00:19 - 00:00:21] OpenAI的创始成员Andrey Carpathy
[00:00:21 - 00:00:25] 这位可谓是亲手搭建了现代AI基建的大神
[00:00:25 - 00:00:28] 最近在一个访谈里说了一句极其扎心的话
[00:00:28 - 00:00:30] 从来没有感觉自己作为一个程序员
[00:00:30 - 00:00:32] 像现在这么落后过 你感兴吗
[00:00:32 - 00:00:34] 连AI教父都觉得自己掉队了
[00:00:34 - 00:00:36] 不是因为他打字不够快
[00:00:36 - 00:00:37] 而是因为他发现
[00:00:37 - 00:00:39] 大部分人 包括他自己
[00:00:39 - 00:00:42] 其实都被死死困在了软件1.0的惯性里
[00:00:42 - 00:00:44] 今天这期视频 我们不贩卖焦虑
[00:00:44 - 00:00:47] 我们只做最硬核的技术拆解
[00:00:47 - 00:00:50] 我们将深度复盘carpet眼中的软件3.0革命
[00:00:50 - 00:00:52] 聊聊什么是巨齿装置能
[00:00:52 - 00:00:55] 以及为什么未来连CPU都只能给神经网络打下手
[00:00:55 - 00:00:56] 准备好了吗
[00:00:56 - 00:01:00] 作文符号弹幕先刷一波见证历史我们发车
[00:01:00 - 00:01:03] Carpety的顿物发生在去年12月的一个临界点
[00:01:03 - 00:01:06] 在那之前,他和我们大多数人一样
[00:01:06 - 00:01:09] 把AI当成一个极其聪明的打字元或者实习生
[00:01:09 - 00:01:12] AI吐出一块代码他去改改bug修修补补
[00:01:12 - 00:01:14] 但到了12月,他突然发现
[00:01:14 - 00:01:16] 最新的模型吐出的代码
[00:01:16 - 00:01:18] 几乎不需要改了
[00:01:18 - 00:01:19] 他开始越来越新任系统
[00:01:19 - 00:01:21] 甚至连键盘都懒得碰
[00:01:21 - 00:01:25] 完全进入了一种只动嘴不动手的webcoding状态
[00:01:25 - 00:01:26] 这时候他冷汗下来了
[00:01:26 - 00:01:29] 如果AI不仅能写出无bug的代码
[00:01:29 - 00:01:31] 还能自己达环境自己做部署
[00:01:31 - 00:01:33] 那我们以前津津乐道的设计模式
[00:01:33 - 00:01:36] 架构思维甚至手写的那些APP还有意义吗
[00:01:36 - 00:01:39] 很多人以为AI带来的只是工具的升级
[00:01:39 - 00:01:41] 就像从铁锹换成了挖掘机
[00:01:41 - 00:01:43] 但carpsey看透了真相
[00:01:43 - 00:01:45] 这不是工具的升级
[00:01:45 - 00:01:47] 这是整个计算范式的重置
[00:01:47 - 00:01:48] 为了讲透这件事
[00:01:48 - 00:01:51] carpsey把软件发展分成了三个时代
[00:01:51 - 00:01:54] 软件一点零时代就是我们正在干的事
[00:01:54 - 00:01:56] 人类写下明确的规则和逻辑
[00:01:56 - 00:01:57] 让CPU去傻傻执行
[00:01:58 - 00:02:00] 软件2.0时代是机器学习的崛起
[00:02:00 - 00:02:02] 程序员不再写死规则
[00:02:02 - 00:02:05] 而是构建数据级和神经网络架构
