BV号：BV1miBGYnEZ5
标题：BV1miBGYnEZ5
链接：https://www.bilibili.com/video/BV1miBGYnEZ5
识别语言：zh
语言置信度：1
分段数：244
生成时间：2026-08-31 02:28:37

[00:00:00 - 00:00:03] 大家好 這裡是最佳拍檔 我是大飛
[00:00:03 - 00:00:06] 今天咱們要聊一聊科技圈最新的一則重磅新聞
[00:00:06 - 00:00:09] 那就是英偉達被中國立案調查
[00:00:09 - 00:00:13] 相信很多關注科技領域的朋友都已經有所耳聞
[00:00:13 - 00:00:16] 這個事件也在行業內引起了不小的震動
[00:00:16 - 00:00:19] 所以今天我們就來回顧一下這個事情的來龍去脈
[00:00:19 - 00:00:22] 2024年12月9日晚間
[00:00:22 - 00:00:24] 國家市場監督管理總局發布公告
[00:00:24 - 00:00:27] 稱英偉達公司涉嫌違反
[00:00:27 - 00:00:29] 中華人民共和國反壟斷法
[00:00:29 - 00:00:33] 以及市場監督總局關於附加限制性條件
[00:00:33 - 00:00:36] 批准英偉達公司收購麥洛斯科技有限公司
[00:00:36 - 00:00:39] 股權案反壟斷審查決定的公告
[00:00:39 - 00:00:42] 市場監管總局公告2020第16號
[00:00:42 - 00:00:45] 依法對英偉達公司開展戀愛調查
[00:00:45 - 00:00:46] 消息一出
[00:00:46 - 00:00:49] 英偉達當日的股價就小幅下跌了2.55%
[00:00:49 - 00:00:51] 折合大約1000億美元
[00:00:51 - 00:00:53] 可見市場對事件的關注
[00:00:53 - 00:00:55] 為了履清這件事的來龍去脈
[00:00:55 - 00:00:58] 我們還得簡單回顧一下事件的主角英偉達
[00:00:58 - 00:01:05] 英伟达于1993年有黄仁勋、克里斯、马拉科夫斯基和克里斯、普利姆共同创办
[00:01:05 - 00:01:09] 最初主要从事图形处理器GPU芯片的开发、生产和销售
[00:01:09 - 00:01:13] 在早期英伟达在图形芯片领域不断的升耕
[00:01:13 - 00:01:15] 逐渐积累了技术和市场经验
[00:01:15 - 00:01:18] 1990年英伟达在纳斯达克成功上市
[00:01:18 - 00:01:21] 为公司的进一步发展提供了资金支持
[00:01:21 - 00:01:23] 随着科技时代的发展
[00:01:23 - 00:01:26] 英伟达敏锐的觉察到了人工智能领域的巨大潜力
[00:01:26 - 00:01:28] 2006年 英伟达推出了
[00:01:28 - 00:01:30] 病情计算平台和编程模型枯打
[00:01:30 - 00:01:32] 将英伟达GPU的强大功能
[00:01:32 - 00:01:34] 释放到了更为通用的计算流程中
[00:01:34 - 00:01:36] 为人工智能技术的发展
[00:01:36 - 00:01:38] 提供了强大的计算支持
[00:01:38 - 00:01:40] 此后 英伟达的芯片在人工智能领域
[00:01:40 - 00:01:42] 得到了广泛的应用
[00:01:42 - 00:01:44] 凭借着在GPU和枯打上的技术优势
[00:01:44 - 00:01:46] 英伟达在人工智能时代迅速崛起
[00:01:46 - 00:01:48] 市场价值也水涨船高
[00:01:48 - 00:01:50] 根据复国银行
[00:01:50 - 00:01:52] 2024年2月的数据显示
[00:01:52 - 00:01:57] 英伟达2023年在全球数据中心GPU的市场份额高达98%
[00:01:57 - 00:02:00] 第二名的AMD市场份额仅为1.2%
[00:02:00 - 00:02:02] 第三名的英特尔不足1%
[00:02:02 - 00:02:05] 英伟达的财务业绩也十分亮眼
[00:02:05 - 00:02:09] 截至2024年10月27日的第三季度财务业绩显示
[00:02:09 - 00:02:12] 季度总营收达到了350亿美元
[00:02:12 - 00:02:14] 同比大增94%
[00:02:14 - 00:02:17] 超出分益时预期的330亿美元
[00:02:17 - 00:02:19] 叫上一季度增长17%
[00:02:19 - 00:02:22] 叫去年的同期增长94%
[00:02:22 - 00:02:24] 在美国通用会议准则GAP下
[00:02:24 - 00:02:27] 净利润为193.09亿美元
[00:02:27 - 00:02:29] 同比增长109%
[00:02:29 - 00:02:33] 经调整后的美股收益EPS为0.81美元
[00:02:33 - 00:02:34] 均超出了市场的预期
[00:02:34 - 00:02:36] 所谓数大招风
[00:02:36 - 00:02:39] 正是由于英伟达在AI芯片领域的独占姿态
[00:02:39 - 00:02:41] 以及收入和利润的大幅增加
[00:02:41 - 00:02:44] 才引出了如今的反垄断调查案
[00:02:44 - 00:02:47] 事情的起因还得说起5年前的一起并购案
[00:02:47 - 00:02:51] 2018年英伟达为了绕开传统的PC总签架构PCIE
[00:02:51 - 00:02:53] 解决英特尔主导的PCIE接口
[00:02:53 - 00:02:56] 对于GPU性能发挥的限制问题
[00:02:56 - 00:02:58] 推出了NVLink专有网络协议
[00:02:58 - 00:03:01] NVLink通过提供更高的带宽和速率
[00:03:01 - 00:03:03] 实现了GPU之间的高速直联通道
[00:03:03 - 00:03:06] 大大提升了GPU之间的数据交换速度
[00:03:06 - 00:03:08] 充分发挥了GPU的性能
[00:03:08 - 00:03:11] 为了将NVLink技术更好地应用在数据中心
[00:03:11 - 00:03:12] 2019年3月
[00:03:12 - 00:03:14] 英伟达宣布以69亿美元的价格
[00:03:14 - 00:03:17] 收购以色列的麦洛斯科技有限公司
[00:03:17 - 00:03:18] 英文名Malinox
[00:03:18 - 00:03:21] 麦洛斯1995年在以色列设立
[00:03:21 - 00:03:23] 在美国纳斯达克证券交易所上市
[00:03:23 - 00:03:25] 是一家知名的网络设备供应商
[00:03:25 - 00:03:28] 主要业务包括为数据中心提供网络控制芯片
[00:03:28 - 00:03:31] 网卡 线缆 交换机 软件等等
[00:03:31 - 00:03:35] 由于英伟达和麦洛斯在全球范围内均具有一定的垄断地位
[00:03:35 - 00:03:38] 这起并购案对全球市场产生了潜在的影响
[00:03:38 - 00:03:43] 因此受到了美国 欧盟 中国 墨西哥等等多个国家和地区
[00:03:43 - 00:03:44] 市场监管部门的关注
[00:03:44 - 00:03:46] 并且需要获得相关的批准
[00:03:46 - 00:03:49] 我们重点来看一下中国监管部门的审批过程
[00:03:49 - 00:03:51] 2019年4月24日
[00:03:51 - 00:03:53] 中国国家市场监督管理总局
[00:03:53 - 00:03:55] 收到英伟达收购麦洛斯的
[00:03:55 - 00:03:57] 经营者集中反垄断申报
[00:03:57 - 00:03:58] 根据国务院关于
[00:03:58 - 00:04:01] 经营者集中申报标准的规定
[00:04:01 - 00:04:03] 虽然两家公司均为外国公司
[00:04:03 - 00:04:05] 但是只要一家公司的全球营业额
