BV号：BV1nXXUYjEE3
标题：BV1nXXUYjEE3
链接：https://www.bilibili.com/video/BV1nXXUYjEE3
识别语言：zh
语言置信度：1
分段数：517
生成时间：2026-08-30 12:12:21

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近 知名播客20vc的主播
[00:00:05 - 00:00:08] 访谈了Snowflake的CEO 斯里达尔 拉马斯瓦米
[00:00:08 - 00:00:12] 讨论了AI竞争格局 发展趋势和企业管理等方面的很多话题
[00:00:12 - 00:00:15] Snowflake应该不用我过都介绍了
[00:00:15 - 00:00:17] 这家美国云数据存储公司
[00:00:17 - 00:00:21] 主要是在AWS等云平台上提供数据存储和处理服务
[00:00:21 - 00:00:23] 目前的市值大约是619亿美元
[00:00:23 - 00:00:25] 年收入达到35亿美元
[00:00:25 - 00:00:28] 并且以每年30%的速度再增长
[00:00:28 - 00:00:29] CEO 拉马斯瓦米
[00:00:29 - 00:00:31] 他在谷歌深耕了15年
[00:00:31 - 00:00:34] 推动了谷歌廣告业务的关键增长
[00:00:34 - 00:00:35] 使得Edwards业务
[00:00:35 - 00:00:37] 从15亿美元的收入
[00:00:37 - 00:00:39] 一路飙升到超过1000亿美元
[00:00:39 - 00:00:40] 在加入Snowflake之前
[00:00:40 - 00:00:41] 他创立的Nia公司
[00:00:41 - 00:00:44] 被Snowflake以1.5亿美元收购
[00:00:44 - 00:00:45] 从这次访谈中
[00:00:45 - 00:00:47] 我们不仅能够了解到行业巨头
[00:00:47 - 00:00:49] 对于当下AI浪潮的看法
[00:00:49 - 00:00:51] 也能够获得很多关于职业发展
[00:00:51 - 00:00:52] 商业决策的启示
[00:00:52 - 00:00:53] 话不多说
[00:00:53 - 00:00:55] 今天大飞就来给大家分享一下
[00:00:55 - 00:00:56] 访谈的核心内容
[00:00:56 - 00:00:57] 我们先来说一说
[00:00:57 - 00:00:59] 职场发展和管理方面的话题
[00:00:59 - 00:01:02] 斯特宾斯在访谈一开始就问拉马斯瓦米
[00:01:02 - 00:01:04] 是否曾经想过自己会成为CEO
[00:01:04 - 00:01:06] 拉马斯瓦米的回答很坦诚
[00:01:06 - 00:01:09] 他说自己在本科和工读博士学院的时候
[00:01:09 - 00:01:10] 完全没有这样的想法
[00:01:10 - 00:01:12] 那时候成为一名教授
[00:01:12 - 00:01:14] 对他来说才是理想的职业道路
[00:01:14 - 00:01:17] 但是后来他对于研究的兴趣逐渐的减弱
[00:01:17 - 00:01:19] 于是就转向了软件工程礼遇
[00:01:19 - 00:01:21] 不过即便在软件工程礼遇
[00:01:21 - 00:01:23] 他也没有一开始就想着成为CEO
[00:01:23 - 00:01:25] 而是一步一个脚印的发展
[00:01:25 - 00:01:26] 因為它升值
[00:01:26 - 00:01:30] 偉大的事情往往在正確的時間和地點才會發生
[00:01:30 - 00:01:32] 如今很多即將畢業的年輕人進入職場
[00:01:32 - 00:01:34] 面對快速發展的AI技術
[00:01:34 - 00:01:35] 心中充滿了擔憂
[00:01:35 - 00:01:38] 擔心未來的工作是否會受到影響
[00:01:38 - 00:01:40] 自己的職業道路又該如何規劃
[00:01:40 - 00:01:42] 拉馬斯瓦米給出了一些自己的建議
[00:01:42 - 00:01:44] 他說要找到自己熱愛的事情
[00:01:44 - 00:01:47] 而且這件事情還要對社會有價值
[00:01:47 - 00:01:49] 不要去選擇那些看似高尚
[00:01:49 - 00:01:51] 但是實際上自己並不真正重視的職業
[00:01:51 - 00:01:53] 就像當老師一樣
[00:01:53 - 00:01:54] 這是一份非常辛苦
[00:01:54 - 00:01:56] 而且需要奉獻精神的職業
[00:01:56 - 00:01:57] 雖然值得尊敬
