BV号：BV1npE26UEQx
标题：BV1npE26UEQx
链接：https://www.bilibili.com/video/BV1npE26UEQx
识别语言：zh
语言置信度：1
分段数：176
生成时间：2026-08-29 09:37:59

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 你以为现在程序员最大的危机是裁员
[00:00:05 - 00:00:06] 还是找不到工作
[00:00:06 - 00:00:07] 都不是
[00:00:07 - 00:00:10] 真正的危机是你还在按航写代码的时候
[00:00:10 - 00:00:12] 有人已经按模块在提交代码了
[00:00:12 - 00:00:14] Cursor刚刚发布了
[00:00:14 - 00:00:17] 2026年春季的开发者习惯报告
[00:00:17 - 00:00:18] 这份报告里的数据
[00:00:18 - 00:00:21] 让我这个写了十几年代码的老兵后背发粮
[00:00:21 - 00:00:24] 你猜猜最顶尖的1%开发者
[00:00:24 - 00:00:26] 他们每天产生的AI代码航数
[00:00:26 - 00:00:28] 是普通活跃用户的多少倍
[00:00:28 - 00:00:29] 二倍
[00:00:30 - 00:00:33] 5倍,答案是46倍,他们每周合并的PR数量
[00:00:33 - 00:00:36] 是普通回月PR作者的15倍
[00:00:36 - 00:00:39] 这不是在拉开差距,这是在进行降维打击
[00:00:39 - 00:00:41] 今天我们就来硬核拆解这份报告
[00:00:41 - 00:00:44] 看看那些掌握了AI工作流的开发者
[00:00:44 - 00:00:46] 到底掌握了什么我们不知道的秘密
[00:00:46 - 00:00:50] 很多人还在争论AI写代码到底靠不靠谱
[00:00:50 - 00:00:52] 生成的代码会不会全是bug
[00:00:52 - 00:00:54] 但这份报告直接掀了桌子
[00:00:54 - 00:00:57] 他告诉我们争论这些已经没有意义了
[00:00:57 - 00:00:58] 真正的问题是
[00:00:58 - 00:01:01] 为什么同样的工具在有的人手里只是玩具
[00:01:01 - 00:01:03] 在有的人手里却成了生产力杠杆
[00:01:03 - 00:01:06] 为什么用了AI有的效率翻了倍
[00:01:06 - 00:01:07] 有的团队反而因为
[00:01:07 - 00:01:09] SUI的Bug导致效率下降
[00:01:09 - 00:01:11] 今天我们就从工程视角
[00:01:11 - 00:01:13] 扒一扒着背后的底层逻辑
[00:01:13 - 00:01:14] 这份报告基于
[00:01:14 - 00:01:16] Cursor聚合后的产品与工程数据
[00:01:16 - 00:01:18] 涵盖了多个研发统计为渡
[00:01:18 - 00:01:21] 它不是什么预测未来的玄学
[00:01:21 - 00:01:23] 而是十打十的体检报告
[00:01:23 - 00:01:24] 多项指标覆盖了
[00:01:24 - 00:01:27] 2025年初到2026年5月的变化
[00:01:27 - 00:01:29] 部分自动化和上下文指标
[00:01:29 - 00:01:30] 则重点呈现
[00:01:30 - 00:01:32] 2026年内的眼镜
[00:01:32 - 00:01:33] 咱们先看第一组数据
[00:01:33 - 00:01:35] 开发者每周增加的代码航数
[00:01:35 - 00:01:37] 在过去一年翻了一倍多
[00:01:37 - 00:01:40] 尤其是到了2026年2月之后
[00:01:40 - 00:01:42] 那条曲线简直是直接起飞
[00:01:42 - 00:01:43] 更有意思的是
[00:01:43 - 00:01:46] 第75%分位PR的新增代码航数
[00:01:46 - 00:01:48] 同比增长了2.5倍
[00:01:48 - 00:01:49] 以前我们常说
[00:01:49 - 00:01:51] 一个好的PR代码改动
[00:01:51 - 00:01:52] 不要超过400行
[00:01:52 - 00:01:54] 不然Reviewer会骂娘
[00:01:54 - 00:01:55] 但现在呢
[00:01:55 - 00:01:58] 变更行数超过1000行的merge的pr
[00:01:58 - 00:02:02] 占比从约8%升到了13.8%
[00:02:02 - 00:02:05] 说明开发者不再是一行一行的抠细节了
[00:02:05 - 00:02:08] 他们是在用AI进行快极甚至系统极的构建
[00:02:09 - 00:02:11] 你还在纠结一个辩量怎么命名
[00:02:11 - 00:02:13] 别人已经让AI把整个登录模块
[00:02:13 - 00:02:17] 连前端带后端加数据库全写完了
[00:02:17 - 00:02:20] 这部分数据是我看这份报告是觉得最扎心的
[00:02:20 - 00:02:22] AI并没有让所有人平等的变强
[00:02:22 - 00:02:26] 相反它正在制造前所未有的不平等
[00:02:26 - 00:02:28] 报告里的基尼系数达到了0.77
[00:02:28 - 00:02:30] 这是什么概念
[00:02:30 - 00:02:33] 这意味着AI使用高度集中少数高频用户
[00:02:33 - 00:02:35] 贡献了很大一部分AI代码
[00:02:35 - 00:02:36] 花费和token消耗
[00:02:36 - 00:02:37] 顶级开发者
[00:02:37 - 00:02:39] 也就是那最顶尖的1%
[00:02:39 - 00:02:41] 他们每天产生的AI代码
[00:02:41 - 00:02:44] 航数是普通活跃用户的46倍
[00:02:44 - 00:02:46] 这已经不是能力差距了
[00:02:46 - 00:02:47] 这是工作方式的代差
[00:02:47 - 00:02:51] 普通人把AI当成一个高级的自动补权工具
[00:02:51 - 00:02:52] 遇到不会的API问一下
[00:02:52 - 00:02:54] 但超级用户呢
[00:02:54 - 00:02:57] 他们不再把主要经历放在主航桥代码上
[00:02:57 - 00:02:59] 而是更多投入到任务拆解
[00:02:59 - 00:03:02] 上下文组织架构判断和结果审查
[00:03:02 - 00:03:04] 这其实给我们提了个醒
[00:03:04 - 00:03:06] 在AI时代程序员的核心竞争力
[00:03:06 - 00:03:08] 已经从熟练掌握语法
[00:03:08 - 00:03:10] 变成了系统架构能力
[00:03:10 - 00:03:11] 和需求拆解能力
[00:03:11 - 00:03:13] 以前我们总觉得
[00:03:13 - 00:03:15] AI生成代码关键看它的输出能力
[00:03:15 - 00:03:18] 但报告里的这组数据打脸了
[00:03:18 - 00:03:19] 模型美输出一个token
[00:03:19 - 00:03:23] 背后平均要消耗约11-13个输入token
[00:03:23 - 00:03:27] 这个比例从年初的4.52倍飙升到了峰值13倍
[00:03:27 - 00:03:33] 而且Cashree的长期战总token活动的大约89%-90%
[00:03:33 - 00:03:34] 这背后的逻辑很深
[00:03:34 - 00:03:37] 就说明AI不再是无脑输出了
[00:03:37 - 00:03:39] 它在消耗大量相关代码库
[00:03:39 - 00:03:42] 用户意图和周边工作流上下文再生成代码
[00:03:42 - 00:03:45] 为什么很多人觉得AI写的代码不能用
[00:03:45 - 00:03:46] 因为你给的上下文不够
[00:03:46 - 00:03:49] 你只丢给它一个空荡荡的函数签名
[00:03:49 - 00:03:50] 它当然只能给你下边
[00:03:50 - 00:03:53] 成熟的用法通常是主动补足接口文档
[00:03:53 - 00:03:56] 数据库结构 历史 医术等上下文
[00:03:56 - 00:03:58] 而不是只丢一个函数签名
[00:03:58 - 00:04:02] 充分的上下文正在成为决定AI代码可用性的关键因素
[00:04:02 - 00:04:04] 看到这里你可能会想
[00:04:04 - 00:04:07] 就算AI写的再快 最后还不是得人来review
[00:04:07 - 00:04:09] 代码质量肯定没法保证
[00:04:09 - 00:04:10] 但这里有个值得关注的地方
[00:04:10 - 00:04:13] 报告显示无需单独手动接受DIF
[00:04:13 - 00:04:16] 就进入Commit流程的Agent Generated Changes
[00:04:16 - 00:04:20] 占比从年初的7%一度升至38%左右
[00:04:20 - 00:04:21] 这说明什么
[00:04:21 - 00:04:25] 说明开发者在提交流程中对Agent的信任在上升
[00:04:25 - 00:04:27] 工作流程正在优化
[00:04:27 - 00:04:29] 开发者不再需要单独的接受Dev步骤
[00:04:29 - 00:04:32] 但这并不代表完全跳过审查
[00:04:32 - 00:04:34] 而是流程在变得更加流畅
[00:04:34 - 00:04:35] 我们正在从人写代码
[00:04:35 - 00:04:38] 机器辅助过渡到机器写代码
[00:04:38 - 00:04:41] 人来确认工作流程本身在被重新设计
[00:04:41 - 00:04:44] 所以这份报告到底告诉了我们什么
[00:04:44 - 00:04:47] 我总结了一个AI时代的开发者生存框架
[00:04:47 - 00:04:50] 第一 不要和AI比手速 你永远敲不过它
[00:04:50 - 00:04:52] 你要比的是方向感和架构能力
[00:04:52 - 00:04:55] 你需要知道做什么而不是怎么做
[00:04:55 - 00:04:57] 第二 建立你的上下文资产
[00:04:57 - 00:05:01] 把你的项目规范业务 逻辑 甚至是采购的坑
[00:05:01 - 00:05:02] 都写成清晰的文档
[00:05:02 - 00:05:06] 充分的上下文直接决定了AI代码的可用性
[00:05:06 - 00:05:09] 第三 从小项目开始培养系统级的构建能力
[00:05:09 - 00:05:12] 现在是一个人就是一支军队的时代
[00:05:12 - 00:05:16] 以前你需要找个前端找个UI才能做个产品
[00:05:16 - 00:05:19] 现在你只需要一个Cursor加上几个大模型
[00:05:19 - 00:05:21] 对于很多担心失业的程序源来说
