BV号：BV1o3cteAE3T
标题：BV1o3cteAE3T
链接：https://www.bilibili.com/video/BV1o3cteAE3T
识别语言：zh
语言置信度：1
分段数：312
生成时间：2026-08-30 20:02:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:06] 如果你遇到一个对自己的道德观完全确信的人
[00:00:06 - 00:00:08] 无论他们持有什么样的道德观
[00:00:08 - 00:00:09] 你会感到恐惧吗
[00:00:09 - 00:00:11] 如何把这个人换成是AI呢
[00:00:11 - 00:00:13] 之所以会问这个问题
[00:00:13 - 00:00:16] 是因为这牵扯到了AI如何与人类对齐的问题
[00:00:16 - 00:00:18] 如今人工智能的发展可谓是日新月异
[00:00:19 - 00:00:20] 其中的AI的对齐问题
[00:00:20 - 00:00:22] 更是行业内背受矚目的一个焦点
[00:00:22 - 00:00:24] 今天我们就来深入探讨一下
[00:00:24 - 00:00:26] Anstralpik实验室的四位核心科学家
[00:00:26 - 00:00:30] 在一場名為AI對齊到底有多難的主題殺龍中
[00:00:30 - 00:00:32] 所分享的關於AI對齊的深刻見解
[00:00:32 - 00:00:35] 首先讓我們來認識一下這四位專家
[00:00:35 - 00:00:37] 他們分別是負責社會影響研究的
[00:00:37 - 00:00:38] 亞里克斯.塔姆金
[00:00:38 - 00:00:41] 專研大模型可解釋性的喬什.巴特森
[00:00:41 - 00:00:44] 研究方向是對齊微調的阿曼達.阿斯凱爾
[00:00:44 - 00:00:47] 還有去年因為Open Eye的離職公鬥而備受關注
[00:00:47 - 00:00:50] 如今擔任安索拉帕克對齊科學負責人的楊萊克
[00:00:50 - 00:00:52] 我們先來說阿曼達.阿斯凱爾
[00:00:52 - 00:00:54] 他對於對齊有著獨特的理解
[00:00:54 - 00:00:58] 他提到在學界有很多人會受到社會選擇理論的影響
[00:00:58 - 00:01:01] 傾向於嚴格定義對齊的概念
[00:01:01 - 00:01:03] 但是他更加主張採取務實的做法
[00:01:03 - 00:01:05] 就像在實際操作中
[00:01:05 - 00:01:07] 我們應該先確保系統能夠良好的運行
[00:01:07 - 00:01:09] 為後續的迭代優化電競基礎
[00:01:09 - 00:01:12] 而不是一開始就追求一個完美的對齊概念
[00:01:12 - 00:01:13] 他還舉例說
[00:01:13 - 00:01:15] 在考慮模型行為的時候
[00:01:15 - 00:01:18] 應該讓模型表現得像一個有良好道德素養
[00:01:18 - 00:01:19] 而且善意的人類
[00:01:19 - 00:01:22] 再來看他在類似的情景中會如何行動
[00:01:22 - 00:01:25] 當然了 模型也面臨著許多特殊的挑戰
[00:01:25 - 00:01:28] 因為它需要理解自己在與數百萬的用戶對話
[00:01:28 - 00:01:30] 這就要求它在發表言論的時候
[00:01:30 - 00:01:31] 比如說政治話題
[00:01:31 - 00:01:33] 就需要更加謹慎的去權衡
[00:01:33 - 00:01:35] 自己的言論會對眾多用戶造成的影響
[00:01:35 - 00:01:37] 在價值觀植入方面
[00:01:37 - 00:01:39] 阿曼達認為不能簡單的將它類比為
[00:01:39 - 00:01:41] 給人類注射一針價值觀血清
[00:01:41 - 00:01:44] 就讓人類對某個信念深信不疑
[00:01:44 - 00:01:46] 因為人類擁有多元的價值體系
[00:01:46 - 00:01:48] 會在不同的價值間進行權衡
[00:01:48 - 00:01:50] 即使對於道德框架也存在著不確定性
[00:01:50 - 00:01:53] 倫理學更是和物理學一樣具有經驗性
[00:01:53 - 00:01:55] 需要在不確定性中探索
[00:01:55 - 00:01:59] 他強調如果遇到一個對自身道德觀完全確信的人
[00:01:59 - 00:02:00] 或者是AI
[00:02:00 - 00:02:01] 無論他的道德觀是怎樣的
[00:02:01 - 00:02:03] 都會令人感到恐懼
[00:02:03 - 00:02:05] 相反那些能夠承認不確定性
[00:02:05 - 00:02:07] 並且願意調整自己觀點的人
[00:02:07 - 00:02:09] 會讓他人感覺更加踏實
[00:02:09 - 00:02:13] 所以模型應該保持對於各種價值觀的開放態度
[00:02:13 - 00:02:15] 同時具備思考和調適的能力
[00:02:15 - 00:02:19] 而不是被強加或者通過投票來決定植入某種價值觀
[00:02:19 - 00:02:23] 杨来克在回应阿曼达观点的时候提出了一个关键的问题
[00:02:23 - 00:02:28] 他认为 虽然阿曼达的方法在当前模型的性格塑造工作中确实比较实用
[00:02:28 - 00:02:31] 比如说他通过研究大量的对话记录
[00:02:31 - 00:02:33] 来判断模型的道德行为是否满意
[00:02:33 - 00:02:35] 但是当模型执行复杂的任务
[00:02:35 - 00:02:37] 比如说在现实世界独立活动
[00:02:37 - 00:02:38] 进行长期决策
[00:02:38 - 00:02:41] 或者从事生物研究等难以理解的工作时
[00:02:41 - 00:02:44] 如何确保模型的安全性就成了未知数
[00:02:44 - 00:02:47] 而这个正是他所关注的超级对其问题
[00:02:47 - 00:02:49] 例如 當模型在生物研究領域
[00:02:49 - 00:02:51] 進行複雜的基因編輯決策時
[00:02:51 - 00:02:52] 我們很難直接的判斷出
[00:02:52 - 00:02:56] 模型的決策是否符合人類的長期利益和道德標準
[00:02:56 - 00:02:57] 阿曼達對此表示認同
[00:02:57 - 00:03:00] 並且進一步闡述了他在對齊研究中的工作
[00:03:00 - 00:03:02] 他強調對齊的迭代優化
[00:03:02 - 00:03:04] 需要在實踐中讓模型參與自我監督
[00:03:04 - 00:03:08] 因為只靠人力是無法審查龐大的對話記錄的
[00:03:08 - 00:03:10] 只有借助模型的協助才能夠改變這個局面
[00:03:10 - 00:03:12] 但是他也擔憂
[00:03:12 - 00:03:14] 如果用對齊程度差的模型來做這些工作
[00:03:14 - 00:03:16] 是否會引發其他的一些問題
[00:03:17 - 00:03:20] 所以他傾向於先確保有一個高對齊程度的模型
[00:03:20 - 00:03:22] 來輔助後續的迭代
[00:03:22 - 00:03:24] 不過楊賴克緊接著問到
[00:03:24 - 00:03:26] 當我們無法直接審查對話記錄
[00:03:26 - 00:03:28] 而需要依賴以對齊的模型的時候
[00:03:28 - 00:03:30] 如何保證他真的是在幫助我們呢
[00:03:30 - 00:03:31] 阿曼達承認
[00:03:31 - 00:03:34] 這確實需要開發更強大的驗證機制
[00:03:34 - 00:03:35] 目前的驗證方法
[00:03:35 - 00:03:37] 在模型能力有限的時候還可以用
[00:03:37 - 00:03:39] 但是對於更強的模型還需要改進
[00:03:39 - 00:03:41] 在可解釋性研究方面
[00:03:41 - 00:03:43] 喬什巴特森分享了他的見解
[00:03:43 - 00:03:45] 他指出可解釋性研究
[00:03:45 - 00:03:48] 是防範模型破壞對齊過程的一個重要決策
[00:03:48 - 00:03:50] 它用中情曲線的表情包來類比
[00:03:50 - 00:03:52] 認為對齊的終極解決方案
[00:03:52 - 00:03:55] 可能是找到並且調節善意特徵
[00:03:55 - 00:03:56] 但是這是一個高位的概念
[00:03:56 - 00:03:58] 目前的研究關鍵在於
[00:03:58 - 00:04:01] 理解模型為什麼能夠在多個合理選項中
[00:04:01 - 00:04:02] 做出特定的選擇
[00:04:02 - 00:04:04] 雖然我們可以直接去問模型
[00:04:04 - 00:04:05] 但是模型會像人類一樣
[00:04:05 - 00:04:07] 總是能給出一個看似合理的解釋
[00:04:07 - 00:04:10] 所以驗證這些解釋的可靠性至關重要
[00:04:10 - 00:04:13] 例如在使用可解釋性分析工具SE
[00:04:13 - 00:04:16] 來觀察模型內部特徵激活情況的時候
[00:04:16 - 00:04:17] 研究人員發現
[00:04:17 - 00:04:19] 某些特徵在人們說善意謊言的場景中
[00:04:19 - 00:04:20] 也會被激活
[00:04:20 - 00:04:22] 這就為我們理解模型的行為
[00:04:22 - 00:04:24] 提供了更加深層次的線索
[00:04:24 - 00:04:24] 因此
[00:04:24 - 00:04:26] 安斯拉比的核心基本思路是
[00:04:26 - 00:04:28] 深入觀察模型內部
[00:04:28 - 00:04:29] 識別各個組成部分
[00:04:29 - 00:04:30] 然後評估這些部分
[00:04:30 - 00:04:32] 在其他場景中的應用
[00:04:32 - 00:04:33] 是否符合我們的預期
[00:04:33 - 00:04:35] 楊來克接著提出了一個
[00:04:35 - 00:04:36] 關鍵的區分問題
[00:04:36 - 00:04:39] 那就是如何區分模型的真正善意特徵
[00:04:39 - 00:04:42] 和在人類觀察時表現出善意的偽裝特徵呢
[00:04:42 - 00:04:43] 喬什巴特森表示
[00:04:43 - 00:04:45] 这确实极具挑战性
[00:04:45 - 00:04:47] 因为很多特征具有欺骗性
[00:04:47 - 00:04:50] 埃斯拉帕克社会影响团队的研究就显示
[00:04:50 - 00:04:52] 有些看似是反对年龄歧视的特征
[00:04:52 - 00:04:55] 深入分析之后却是支持年龄歧视的
[00:04:55 - 00:04:56] 反之易燃
[00:04:56 - 00:04:57] 也就是说
[00:04:57 - 00:04:59] 当你试图抑制某个特征的时候
[00:04:59 - 00:05:01] 有时候会得到意想不到的相反行为
[00:05:01 - 00:05:04] 他认为虽然一些分析工作能够提供线索
[00:05:04 - 00:05:07] 同时也需要一个相对公众的监督模型
[00:05:07 - 00:05:10] 而这个监督模型不应该在预训练阶段
[00:05:10 - 00:05:12] 就被植入了逃避检测的形象
[00:05:12 - 00:05:13] 而是需要观察大量的样力
[00:05:14 - 00:05:16] Cloud在这个方面就表现得比较积极
[00:05:16 - 00:05:18] 当谈到在无法直接审查模型行为
[00:05:18 - 00:05:21] 以及提供明确对其信号时的对应方法
[00:05:21 - 00:05:24] 杨莱克认为可以利用模型来协助工作
[00:05:24 - 00:05:27] 但是核心是要建立对这些模型的信任
[00:05:27 - 00:05:28] 并且去引导这个过程
[00:05:29 - 00:05:31] 他提到在可扩展监督的研究方向上
[00:05:31 - 00:05:34] 他正在探索多智能体动态系统
[00:05:34 - 00:05:36] 但是正面临着两种极端的情况
[00:05:36 - 00:05:37] 要么很容易的解决
[00:05:37 - 00:05:40] 要么就需要全新的理念和方法
[00:05:40 - 00:05:41] 中期来看
[00:05:41 - 00:05:42] 对其研究的自动化
[00:05:42 - 00:05:43] 是一个有希望的方向
[00:05:43 - 00:05:45] 但是这又会引出新的问题
[00:05:45 - 00:05:47] 比如说如何确保模型
[00:05:47 - 00:05:49] 可靠的完成机器学习研究任务
[00:05:49 - 00:05:50] 如何去评估模型的表现
[00:05:50 - 00:05:52] 以及提供反馈等等
[00:05:52 - 00:05:54] 喬什巴特森补充道
[00:05:54 - 00:05:56] 当前模型在前向传递的过程中
[00:05:56 - 00:05:57] 很大程度上
[00:05:57 - 00:05:58] 是通过token来传递信息的
[00:05:59 - 00:06:01] 同时以人类可以理解的自然语言形式
[00:06:01 - 00:06:02] 来呈现思维链
[00:06:02 - 00:06:03] 这季带来了机会
[00:06:03 - 00:06:04] 也带来了挑战
[00:06:05 - 00:06:07] 我们需要确保思维链是合理安全的
[00:06:07 - 00:06:10] 而且忠實地反映了前向傳遞中的計算過程
[00:06:10 - 00:06:13] 我們可以用可解釋性研究來驗證這一點
[00:06:13 - 00:06:15] 再由人類或者是其他模型來檢查結果
[00:06:15 - 00:06:17] 但是另有人擔憂的是
[00:06:17 - 00:06:19] 當中間過程不再使用自然語言表達
[00:06:19 - 00:06:22] 而變成由深度強化學習獲得的
[00:06:22 - 00:06:23] 難以理解的形式時
[00:06:23 - 00:06:25] 如何確保整個過程的安全性
[00:06:25 - 00:06:26] 就成了一個重大的難題
[00:06:26 - 00:06:28] 再判斷我們所處的世界
[00:06:28 - 00:06:29] 是對其相對容易
[00:06:29 - 00:06:31] 還是對其極其困難方面
[00:06:31 - 00:06:32] 楊賴克認為
[00:06:32 - 00:06:35] 對模式生物的研究很有借鑒意義
[00:06:35 - 00:06:37] 生物學家通過研究指定的模式生物
[00:06:37 - 00:06:39] 来揭示普通的生命规律
[00:06:39 - 00:06:40] 在AI领域
[00:06:40 - 00:06:42] 我们也可以创造出具有欺骗性
[00:06:42 - 00:06:44] 或者未对其特征的模型
[00:06:44 - 00:06:45] 通过观察模型的行为
[00:06:45 - 00:06:48] 来了解创造这样的模型的难度和能力边界
[00:06:48 - 00:06:50] 以及能否修正它们
[00:06:50 - 00:06:51] 比方说
[00:06:51 - 00:06:53] 如果我们创造出一个在医疗诊断中
[00:06:53 - 00:06:54] 故意给出错误建议的模型
[00:06:55 - 00:06:56] 通过研究它的行为模式
[00:06:56 - 00:06:59] 我们可以更好地理解AI可能出现的风险
[00:06:59 - 00:07:00] 乔诗巴特森提到
[00:07:00 - 00:07:02] 在可解释性研究中发现
[00:07:02 - 00:07:05] 模型存在着数以百万计的特征
[00:07:05 - 00:07:07] 其中很多与人格特征有关
[00:07:07 - 00:07:08] 因此從理論上來講
[00:07:08 - 00:07:11] 模型可能會表現出各種欺騙性的行為
[00:07:11 - 00:07:13] 關鍵在於如何去判斷模型
[00:07:13 - 00:07:17] 是在使用有害的特徵還是一種良性的行為
[00:07:17 - 00:07:19] 尤其是在阿曼達塑造基礎模型的時候
[00:07:19 - 00:07:23] 我們如何確定模型從有限的訓練數據中學到了什麼
[00:07:23 - 00:07:26] 雖然有可解釋性研究和影響力含數分析等等工具
[00:07:26 - 00:07:29] 但是這個塑造過程本身的重要性不可忽視
[00:07:29 - 00:07:31] 阿曼達·阿斯凱爾則認為
[00:07:31 - 00:07:34] 模型的穩健性是一個重要的判斷標準
[00:07:34 - 00:07:35] 在模式生物研究中
[00:07:35 - 00:07:37] 如果通過性格訓練
[00:07:37 - 00:07:39] 能夠讓有問題的模型重新表現良好
[00:07:39 - 00:07:42] 可能就預視著相對樂觀的情況
[00:07:42 - 00:07:44] 反之如果只是表面改變
[00:07:44 - 00:07:45] 則挑戰更為的嚴峻
[00:07:45 - 00:07:48] 他還提到可以通過可解釋性研究
[00:07:48 - 00:07:51] 建立紅隊 藍隊 對抗性驗證機制等方法
[00:07:51 - 00:07:54] 來區分模型是表面對齊還是深度對齊的
[00:07:54 - 00:07:55] 在訓練模型的時候
[00:07:55 - 00:07:58] 他甚至希望自己對驗證的內容是不知情的
[00:07:58 - 00:08:00] 以便更好地去測試干預的有效性
[00:08:00 - 00:08:03] 從而避免不自覺的針對測試進行優化
[00:08:03 - 00:08:04] 在提問環節
