BV号：BV1oawAevEqx
标题：BV1oawAevEqx
链接：https://www.bilibili.com/video/BV1oawAevEqx
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-08-30 19:20:47

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 在科技飞速发展的今天
[00:00:04 - 00:00:07] 我们常常惊叹于人类智慧的伟大
[00:00:07 - 00:00:10] 同时也对大脑的奥秘充满了好奇
[00:00:10 - 00:00:13] 今天我想和大家探讨一个有趣的话题
[00:00:13 - 00:00:15] 那就是人类一生所能够获得的知识
[00:00:15 - 00:00:17] 是否存在上限呢?
[00:00:17 - 00:00:19] 答案可能会让你大吃一惊
[00:00:19 - 00:00:21] 科学家经过深入的研究和计算
[00:00:21 - 00:00:24] 发现这个上限竟然是存在的
[00:00:24 - 00:00:26] 而且可能远比我们想象的要小
[00:00:26 - 00:00:28] 大部分人可能都知道的是
[00:00:28 - 00:00:29] 我们的大脑是一个极其复杂
[00:00:29 - 00:00:31] 而且神奇的器官
[00:00:31 - 00:00:34] 其中包含着超过850亿个神经元
[00:00:34 - 00:00:37] 其中大约三分之一集中在了大脑皮层
[00:00:37 - 00:00:39] 这些神经元相互交織
[00:00:39 - 00:00:40] 组成了复杂的神经网络
[00:00:40 - 00:00:42] 负责我们的高级思维活动
[00:00:42 - 00:00:43] 在过去
[00:00:43 - 00:00:45] 科学家们一直对这个庞大的神经网络
[00:00:45 - 00:00:46] 抱有着极大的期待
[00:00:46 - 00:00:49] 认为我们仅仅利用了其中极小的一部分
[00:00:49 - 00:00:50] 还有广阔的空间
[00:00:50 - 00:00:52] 等待我们去开发和挖掘
[00:00:52 - 00:00:54] 然而事实真的如此吗
[00:00:54 - 00:00:57] 最近美国加州理工学院的研究人员
[00:00:57 - 00:00:59] 在神经元学术期刊上发表了一篇论文
[00:00:59 - 00:01:01] 他们通过严谨的计算发现
[00:01:01 - 00:01:04] 即使我们从咕咕坠地的那一刻开始
[00:01:04 - 00:01:05] 一直到生命的尽头
[00:01:05 - 00:01:07] 都在不停的学习
[00:01:07 - 00:01:09] 我们最终能够激烈的知识存储
[00:01:09 - 00:01:11] 可能也就仅仅只有4Gbre
[00:01:11 - 00:01:14] 这个数字听起来是不是特别令人吃惊呢
[00:01:14 - 00:01:16] 要知道如今一个小小的U盘
[00:01:16 - 00:01:18] 都能够轻松装下这么多数据
[00:01:18 - 00:01:21] 这不仅让我们对于人类大脑的学习能力
[00:01:21 - 00:01:22] 产生了深深的疑惑
[00:01:22 - 00:01:25] 那么这背后究竟有着怎样的原因呢
[00:01:25 - 00:01:28] 这还要从大脑处理信息的速度说起
[00:01:28 - 00:01:30] 为了让大家更好地理解这个概念
[00:01:30 - 00:01:34] 严惊人员以我们日常生活中常见的打字和说话这两种行为
[00:01:34 - 00:01:36] 作为例子进行了详细的说明
[00:01:36 - 00:01:40] 在英语中每个字符所包含的信息量或者叫做商
[00:01:40 - 00:01:41] 大约是一比特
[00:01:41 - 00:01:44] 想象一下如果有一个打字员
[00:01:44 - 00:01:45] 他的打字速度还算不错
[00:01:45 - 00:01:48] 每分钟能够打出120个单词
[00:01:48 - 00:01:51] 换算一下平均每秒就能打出两个单词
[00:01:51 - 00:01:55] 而通常情况下平均每个单词大约是有5个字母组成的
[00:01:55 - 00:01:56] 那么通过简单的计算
[00:01:56 - 00:01:57] 我们就可以得出
[00:01:57 - 00:01:59] 这个打资源的信息
[00:01:59 - 00:02:01] 处理速度大约是每秒10比特
[00:02:01 - 00:02:03] 再来看看口头表达
[00:02:03 - 00:02:05] 就算是那些口才非常流利的人
[00:02:05 - 00:02:06] 按照每分钟说
[00:02:06 - 00:02:08] 160个单词来计算
[00:02:08 - 00:02:11] 信息处理的速度也不过就是每秒13比特
[00:02:11 - 00:02:12] 当然了
[00:02:12 - 00:02:14] 研究人员并没有仅仅局限于这两个例子
[00:02:14 - 00:02:16] 他们进一步扩展了研究范围
[00:02:16 - 00:02:18] 对人类在不同场景下的信息
[00:02:18 - 00:02:20] 处理速度进行了全面的估算
[00:02:20 - 00:02:22] 研究范围从传统的经典实验
[00:02:22 - 00:02:25] 实验到现代的电子竞技等领域
[00:02:25 - 00:02:27] 通过大量的数据分析和实验观察
[00:02:27 - 00:02:28] 他们发现
