BV号：BV1pHjo6VE2J
标题：BV1pHjo6VE2J
链接：https://www.bilibili.com/video/BV1pHjo6VE2J
识别语言：zh
语言置信度：1
分段数：329
生成时间：2026-08-29 18:11:55

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] AI正在疯狂进化
[00:00:03 - 00:00:05] 大家都在喊完了 工作要没了
[00:00:05 - 00:00:07] 你是不是也开始焦虑了
[00:00:07 - 00:00:10] 看着chatgpt cloud这些模型越来越强
[00:00:10 - 00:00:12] 感觉自己的饭碗遥遥欲坠
[00:00:12 - 00:00:14] 但这里有个很离谱的地方
[00:00:14 - 00:00:16] AI根本不是你真正的威胁
[00:00:16 - 00:00:18] 你真正该害怕的是另外一个东西
[00:00:18 - 00:00:21] 一个更深层 更隐蔽的东西
[00:00:21 - 00:00:23] 今天我们来聊聊Denco最近刷屏的一篇文章
[00:00:23 - 00:00:25] 这篇文章的标题是
[00:00:25 - 00:00:29] How to survive AI mass replacement and escape wage slavery
[00:00:29 - 00:00:33] 如何在AI大规模替代中生存并逃离工资奴役
[00:00:33 - 00:00:35] 发布于2026年6月22日
[00:00:35 - 00:00:38] 他在文章里提出了一个非常刺痛人的概念
[00:00:38 - 00:00:40] 工资奴役
[00:00:40 - 00:00:42] 你可能会问我拿着高薪
[00:00:42 - 00:00:44] 每天在高级写字楼里敲代码
[00:00:44 - 00:00:45] 怎么就成奴隶了
[00:00:45 - 00:00:46] 我很理解这个反应
[00:00:46 - 00:00:49] 我一开始看到这个说法的时候也有点反感
[00:00:49 - 00:00:51] 但Denco对工资奴役的定义很具体
[00:00:51 - 00:00:54] 为了生存给别人做自己
[00:00:54 - 00:00:56] 并未真正选择的无意义苦工
[00:00:56 - 00:00:59] 更严重的是如果你不能停止上班
[00:00:59 - 00:01:02] 也没有创造替代收入的技能就会陷入财务依赖
[00:01:02 - 00:01:05] 这不是损人听闻这是一个现实的困境
[00:01:05 - 00:01:07] 你看很多人以为自己很自由
[00:01:07 - 00:01:10] 月薪三万在一线城市有房有车
[00:01:10 - 00:01:13] 但问题是这一切都建立在一个前提上
[00:01:13 - 00:01:14] 你必须继续工作
[00:01:14 - 00:01:15] 你不能生病太久
[00:01:15 - 00:01:17] 你不能有太多想法
[00:01:17 - 00:01:19] 你不能拒绝你不喜欢的项目
[00:01:19 - 00:01:21] 因为一旦你停下来整个系统就会崩溃
[00:01:21 - 00:01:23] 这就是工资奴役Denco是谁
[00:01:23 - 00:01:26] 它是一位内容创作者和个人品牌建设的实践者
[00:01:26 - 00:01:32] 解释目前,他的Substack通訊FutureProof顯示約31.9萬多訂閱者
[00:01:32 - 00:01:36] 他通過構建系統分享方法論,積累了大量的受眾
[00:01:36 - 00:01:38] 他這篇文章的核心觀點很明確
[00:01:38 - 00:01:41] 現代社會的依賴關係其實源於很久以前
[00:01:41 - 00:01:44] Dan用一個很激烈的說法來解釋這個結構
[00:01:44 - 00:01:47] 他認為文明早期就伴隨部落間奴役
[00:01:47 - 00:01:51] 而這種依賴關係後來抽象成僱傭法律和文化
[00:01:51 - 00:01:53] 社會就是一個金字塔
[00:01:53 - 00:01:55] 底部人多,頂部人少
[00:01:55 - 00:01:57] 数学上不可能人人都在顶部
[00:01:57 - 00:01:59] 我们在工业时代的教育体系里
[00:01:59 - 00:02:01] 被训练成一个专门的罗斯丁
[00:02:01 - 00:02:03] 你懂某个领域的技能
[00:02:03 - 00:02:05] 但你不懂付钱给你的那个系统
[00:02:05 - 00:02:07] 你不知道怎么建立自己的东西
[00:02:07 - 00:02:09] 你只知道怎么填一个角色
[00:02:09 - 00:02:10] 时间长了
[00:02:10 - 00:02:12] 你的独立思考能力就被碾碎了
[00:02:12 - 00:02:13] 你有资本吗
[00:02:13 - 00:02:14] 没有
[00:02:14 - 00:02:15] 你有时间吗
[00:02:15 - 00:02:16] 没有
[00:02:16 - 00:02:18] 你有精力去重新学习吗
[00:02:18 - 00:02:18] 没有
[00:02:18 - 00:02:20] 因为你的大部分生命
[00:02:20 - 00:02:21] 都在为别人的愿景工作
[00:02:21 - 00:02:23] 这就是为什么Denco说
[00:02:23 - 00:02:24] 逃离这种状态的第一步
[00:02:24 - 00:02:26] 就是意识到你在这种状态中
[00:02:26 - 00:02:28] 我们先来理解一个心理学概念
[00:02:28 - 00:02:30] 心流状态
[00:02:30 - 00:02:31] 什么是心流状态
[00:02:31 - 00:02:34] 就是你完全沉浸在一个任务中
[00:02:34 - 00:02:36] 忘记了时间忘记了自己
[00:02:36 - 00:02:37] 这种状态下
[00:02:37 - 00:02:39] 你的能力和挑战的难度完美匹配
[00:02:39 - 00:02:41] 不太简单也不太难
[00:02:41 - 00:02:43] 心流状态通常是人最沉浸
[00:02:43 - 00:02:45] 最有满足感的状态之一
[00:02:45 - 00:02:47] 但这也是工作最大的问题所在
[00:02:47 - 00:02:50] 你刚入职的前几个月一切都是新的
[00:02:50 - 00:02:53] 你在学习 在适应 在解决新问题
[00:02:53 - 00:02:54] 你处于心流状态
[00:02:54 - 00:02:55] 但几个月后呢
[00:02:55 - 00:02:57] 你掌握了所有的流程
[00:02:57 - 00:02:58] 你知道怎么做
[00:02:58 - 00:03:00] 你只需要重复
[00:03:00 - 00:03:01] 你开始感到无聊
[00:03:01 - 00:03:02] 这不是你的错
[00:03:02 - 00:03:04] 这是你的大脑在告诉你
[00:03:04 - 00:03:06] 这个任务已经不再是挑战了
[00:03:06 - 00:03:07] 但在文章里提到
[00:03:07 - 00:03:09] 心流状态需要几个关键条件
[00:03:09 - 00:03:12] 好奇心热情目的自主权掌握感
[00:03:12 - 00:03:14] 但严格说心理学理的心流
[00:03:14 - 00:03:16] 状态条件还包括明确目标
[00:03:16 - 00:03:19] 及时反馈和挑战与能力的匹配
[00:03:19 - 00:03:20] 在工作中你有多少
[00:03:20 - 00:03:22] 你没有自主权
[00:03:22 - 00:03:23] 你的目标是别人定的
[00:03:23 - 00:03:25] 你的项目是别人分配的
[00:03:25 - 00:03:27] 你的时间表是别人制定的
[00:03:27 - 00:03:29] 你唯一有的是一个月底的工资条
[00:03:29 - 00:03:31] 这就是为什么很多人
[00:03:31 - 00:03:33] 工作几年后就开始感到空虚
[00:03:33 - 00:03:35] 不是因为他们不够聪明
[00:03:35 - 00:03:37] 而是因为系统本身就不支持心流状态
[00:03:37 - 00:03:41] DANCO提出了逃离这种状态的五个核心要素
[00:03:41 - 00:03:42] 我用实际视角来拆解一下
[00:03:42 - 00:03:43] 第一个
[00:03:43 - 00:03:44] 主动性
[00:03:44 - 00:03:45] 什么是主动性
[00:03:45 - 00:03:47] 就是没人给你提需求
[00:03:47 - 00:03:48] 没人给你提任务
[00:03:48 - 00:03:49] 你能自己发现问题
[00:03:49 - 00:03:50] 自己去解决
[00:03:50 - 00:03:53] 这是被动思维和主动思维最大的区别
[00:03:53 - 00:03:59] 被动思维,等待上级分配任务,等待市场反馈,等待机会降临
[00:03:59 - 00:04:04] 主动思维,看到问题就解决,看到机会就抓住,看到缝隙就填补
[00:04:04 - 00:04:09] 在任何领域都是这样,一个被动的人等待别人告诉他该做什么
[00:04:09 - 00:04:11] 一个主动的人自己决定要做什么
[00:04:11 - 00:04:15] 主动性是一种习惯,你必须一夜之间改变你的环境
[00:04:15 - 00:04:18] 改变你接触的信息,改变你每天的习惯
[00:04:18 - 00:04:21] 因为行为改变才是思维改变的开始
[00:04:21 - 00:04:22] 第二个,品位
[00:04:22 - 00:04:24] 品位不是知道什么是好的
[00:04:24 - 00:04:27] 品位是你能一眼看出什么是破的
[00:04:27 - 00:04:29] 什么是坏的,而且你无法忍受
[00:04:29 - 00:04:31] 你看到了一个产品的缺陷
[00:04:31 - 00:04:33] 你看到了一个流程的低效
[00:04:33 - 00:04:34] 你看到了一个市场的空白
[00:04:34 - 00:04:36] 而且你无法视而不见
[00:04:36 - 00:04:37] 这就是品位
[00:04:37 - 00:04:38] 品位来自于什么?
[00:04:38 - 00:04:40] 来自于你的经历
[00:04:40 - 00:04:41] 你做过多少项目
[00:04:41 - 00:04:43] 你见过多少失败的案例
[00:04:43 - 00:04:44] 你踩过多少坑
[00:04:44 - 00:04:46] 这些经历积累起来就变成了品位
[00:04:46 - 00:04:48] 第三个,税服力
