BV号：BV1pMvwzEErj
标题：BV1pMvwzEErj
链接：https://www.bilibili.com/video/BV1pMvwzEErj
识别语言：zh
语言置信度：1
分段数：440
生成时间：2026-08-30 00:01:45

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ
[00:00:03 - 00:00:08] 8月16日,Anthropic发布了最新一期官方油管视频
[00:00:08 - 00:00:12] 三位来自科解事性团队的研究员进行了一场深入的探讨
[00:00:12 - 00:00:16] 试图揭开大模型思考方式的神秘面纱
[00:00:16 - 00:00:19] 今天,我就来给大家总结一下这场访谈里的干货
[00:00:19 - 00:00:23] 一起看看被我们一直称为黑盒的大模型
[00:00:23 - 00:00:25] 内部到底藏着怎样的秘密
[00:00:25 - 00:00:28] 首先,我们得搞清楚一个核心问题
[00:00:28 - 00:00:30] 当你和一个大语言模型交谈的时候
[00:00:30 - 00:00:32] 你到底在和什么交谈?
[00:00:32 - 00:00:35] 是在和一个被美化的自动模式交谈吗?
[00:00:35 - 00:00:38] 还是像和互联网的搜索引擎对话一样?
[00:00:38 - 00:00:41] 又或者是在和某个真正在思考
[00:00:41 - 00:00:44] 甚至像人一样思考的东西对话呢?
[00:00:44 - 00:00:46] 遗憾的是,到目前为止
[00:00:46 - 00:00:48] 没有人能给出确切的答案
[00:00:48 - 00:00:50] 而Anthropic的团队
[00:00:50 - 00:00:52] 正在试图通过科解释性研究
[00:00:52 - 00:00:54] 找到这个答案
[00:00:54 - 00:00:55] 所谓可解释性
[00:00:55 - 00:00:57] 就是研究大语言模型的科学原理
[00:00:57 - 00:01:00] 科学原理,审视他的内部思考过程。
[00:01:00 - 00:01:02] 明确在回答用户问题的时候,
[00:01:02 - 00:01:04] 模型内部正在发生什么?
[00:01:04 - 00:01:08] 参与这次访谈的三位研究员,分别是捷克林塞,
[00:01:08 - 00:01:11] E-Man,牛尔·阿梅森,乔石·巴特森,
[00:01:11 - 00:01:14] 他们都来自Anthropic的科解式性团队。
[00:01:14 - 00:01:17] 其中,捷克林塞口误之前是神经科学家,
[00:01:17 - 00:01:20] 现在转而研究大模型的神经科学。
[00:01:20 - 00:01:22] E-Man,牛尔·阿梅森的职业生涯,
[00:01:22 - 00:01:25] 大部分时间都在构建机器学习模型,
[00:01:25 - 00:01:26] 这利于理解他们
[00:01:26 - 00:01:29] 乔什·巴特森曾经研究过病毒进化
[00:01:29 - 00:01:30] 还是一位数学家
[00:01:30 - 00:01:33] 如今研究的是大模型的生物学特性
[00:01:33 - 00:01:34] 说到这里
[00:01:34 - 00:01:36] 可能有人会好奇
[00:01:36 - 00:01:38] 大模型明明是一个软件
[00:01:38 - 00:01:39] 怎么会和生物学
[00:01:39 - 00:01:41] 神经科学扯上关系呢
[00:01:41 - 00:01:42] 巴特森解释说
[00:01:42 - 00:01:44] 这更多是一种感觉上的类比
[00:01:44 - 00:01:46] 大模型的学习过程
[00:01:46 - 00:01:48] 就像是生物进化一样
[00:01:48 - 00:01:50] 它不是一开始就擅长对话的
[00:01:50 - 00:01:52] 而是在大量数据输入后
[00:01:52 - 00:01:53] 内部的部分
[00:01:53 - 00:01:55] 部分会在每个例子上进行细微的调整
[00:01:55 - 00:01:58] 以便更好的应对接下来的对话
[00:01:58 - 00:02:00] 最后才变得非常擅长对话
[00:02:00 - 00:02:04] 这个过程中没有人为介入去设定所有的控制旋钮
[00:02:04 - 00:02:07] 就像生物形态随着时间的推移进化一样
