BV号：BV1pR6bYcEG6
标题：BV1pR6bYcEG6
链接：https://www.bilibili.com/video/BV1pR6bYcEG6
识别语言：zh
语言置信度：1
分段数：318
生成时间：2026-08-30 22:00:34

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 我们之前做过一期节目
[00:00:04 - 00:00:06] 介绍过英伟达在推出第一代
[00:00:06 - 00:00:09] Blackwell B200系列处理器的时候
[00:00:09 - 00:00:10] 遇到了一些产能问题
[00:00:10 - 00:00:13] 并且还出现了一次服气过热的报告
[00:00:13 - 00:00:16] 不过根据SAMI ANALYSIS的最新报道
[00:00:16 - 00:00:19] 英伟达的第二代Blackwell B300系列处理器
[00:00:19 - 00:00:21] 似乎即将问世了
[00:00:21 - 00:00:23] 它们不仅具有更大的内存容量
[00:00:23 - 00:00:25] 性能提高了50%
[00:00:25 - 00:00:27] 而TTP仅仅增加了200瓦
[00:00:27 - 00:00:30] 今天我们就来给大家简单介绍一下
[00:00:30 - 00:00:31] 不知道大家是否还记得
[00:00:31 - 00:00:34] Gb200和B200是什么时候发布的
[00:00:34 - 00:00:36] 其实才刚刚过去了6个月
[00:00:36 - 00:00:39] 因为大家就推出了全新一代的AI GPU
[00:00:39 - 00:00:40] Gb300和B300
[00:00:41 - 00:00:42] 新的Gb300和B300
[00:00:42 - 00:00:44] 虽然表面上听起来
[00:00:44 - 00:00:46] 好像只是渐进式的提升
[00:00:46 - 00:00:48] 但是实际的效果却远超预期
[00:00:48 - 00:00:51] 这两款芯片对于推理模型的推理
[00:00:51 - 00:00:52] 和训练性能来说
[00:00:52 - 00:00:54] 能够带来巨大的提升
[00:00:54 - 00:00:56] 重要是随着B300的推出
[00:00:56 - 00:00:59] 整个供应链正在进行重组和转型
[00:00:59 - 00:01:01] 既得利益者可能会被重新的分配
[00:01:01 - 00:01:06] B300GPU是基于台积电4NP工艺节点的全新流片
[00:01:06 - 00:01:10] 这个节点是专门针对于英伟达进行优化过的4nm节点
[00:01:10 - 00:01:11] 性能有所增强
[00:01:11 - 00:01:13] 因此在产品层面上
[00:01:13 - 00:01:17] B300能够提供比B200高50%的FLOPS
[00:01:17 - 00:01:20] 除了有200瓦的额外功率增加以外
[00:01:20 - 00:01:23] GB300和B300HGX的TTP
[00:01:23 - 00:01:26] 分别可以达到1.4千瓦和1.2千瓦
[00:01:26 - 00:01:27] 而相比之下
[00:01:27 - 00:01:29] Gb200和B200的TDP
[00:01:29 - 00:01:32] 分別為1.2千瓦和1000瓦
[00:01:32 - 00:01:35] 其餘的性能提升將來自於架構的增強
[00:01:35 - 00:01:36] 和系統方面的增強
[00:01:36 - 00:01:38] 比如說CPU和GPU之間的功率浮動
[00:01:38 - 00:01:40] 這個功率浮動
[00:01:40 - 00:01:43] 指的是CPU和GPU之間的動態功率分配
[00:01:43 - 00:01:44] 除了Flops的增加以外
[00:01:44 - 00:01:48] 內存還從8層的HBM3e升級到了12層
[00:01:48 - 00:01:52] 每個GPU的HBM容量增加到了288GB
[00:01:52 - 00:01:54] 不過引角的速度沒有變化
[00:01:54 - 00:01:58] 因此內存貸寬仍然為每GPU 8TPS
[00:01:58 - 00:02:01] 需要注意的是三星至少在未來9個月內
[00:02:01 - 00:02:04] 是無法進入到Gb300或者是B300的供應鏈的
[00:02:04 - 00:02:07] 而這次新發布的Gb300和B300
[00:02:07 - 00:02:10] 可以說是專門為推理模型進行推理而構建的
[00:02:10 - 00:02:12] 由於長序列長度的增加
[00:02:12 - 00:02:14] 導致KVcatch也隨之擴大
[00:02:14 - 00:02:17] 從而限制了關鍵的P處理大小和延遲
[00:02:17 - 00:02:19] 因此顯存的改進
[00:02:19 - 00:02:23] 對於OpenI的O3這類大模型的訓練和推理至關重要
[00:02:23 - 00:02:26] 这张图展示了英伟达H100和H200
[00:02:26 - 00:02:30] 在处理1000个输入token和19000个输出token时的效能提升
[00:02:30 - 00:02:35] 这与OPI的O1和O3模型中的Syria-CUT模式非常相似
[00:02:35 - 00:02:41] 而H100和H200的Rufline模拟是通过IP8精度的拉马405并模型完成的
[00:02:41 - 00:02:44] 从H100到H200的升级
[00:02:44 - 00:02:46] 主要在于使用了更大更快的显存
[00:02:46 - 00:02:48] 这样带来了两个效果
[00:02:48 - 00:02:53] 首先更高的带宽使得交互性能普遍提升了43%左右
[00:02:53 - 00:02:56] 比如说从H100的3.35TBS
[00:02:56 - 00:02:59] 提升到了H200的4.8TBS
[00:02:59 - 00:03:03] 而更大的P处理规模也让每秒的Token生成量提升了3倍
[00:03:03 - 00:03:06] 竟然让成本也降低了大约3倍
[00:03:06 - 00:03:10] 这期间的差异主要还是因为KVcatch限制了总的P处理大小
[00:03:10 - 00:03:12] 但是对于运营商而言
[00:03:12 - 00:03:15] H100和H200之间的性能与经济差异
[00:03:15 - 00:03:19] 远远超过技术参数的数字所表现出来的这么简单
[00:03:19 - 00:03:20] 首先以前的推理模型
[00:03:20 - 00:03:23] 时常会因为请求响应的时间过长
[00:03:23 - 00:03:24] 而影响使用的体验
[00:03:24 - 00:03:27] 但是现在有了更快的推理速度之后
[00:03:27 - 00:03:31] 用户的使用意愿和付费的倾向都会显出的提高
[00:03:31 - 00:03:32] 其次
[00:03:32 - 00:03:34] 成本降低三倍所带来的效应
[00:03:34 - 00:03:35] 可以说是极为的可观
[00:03:35 - 00:03:37] 仅仅通过显存的升级
[00:03:37 - 00:03:40] 硬件上就能实现三倍的性能提升
[00:03:40 - 00:03:41] 这种突破性的进展
[00:03:41 - 00:03:43] 远远超过了模而定律
[00:03:43 - 00:03:44] 皇室定律
[00:03:44 - 00:03:46] 或者任何已知的硬件进步速度
[00:03:46 - 00:03:48] 最后对性能最顶件
[00:03:48 - 00:03:50] 就有显著差异化优势的模型来说
[00:03:50 - 00:03:52] 能够因此获得更高的一价
[00:03:52 - 00:03:55] 像目前的一些SATA模型的毛利率
[00:03:55 - 00:03:57] 已经超过了70%
[00:03:57 - 00:03:59] 而面临开源竞争下的普通模型
[00:03:59 - 00:04:01] 利润率仅有不到20%
[00:04:01 - 00:04:03] 目前来看只有推理模型
[00:04:03 - 00:04:05] 可以突破单一的思维链限制
[00:04:05 - 00:04:08] 以及通过扩展搜索功能来提升性能
[00:04:08 - 00:04:11] 比如说O1的PRO模式和O3
[00:04:11 - 00:04:13] 从而让模型能够更加智能的解决问题
[00:04:13 - 00:04:15] 提高每个GPU所带来的收益
[00:04:16 - 00:04:16] 当然了
[00:04:16 - 00:04:18] 银尾达也并不是唯一一家
[00:04:18 - 00:04:20] 能够提供大容量显存的厂商
[00:04:20 - 00:04:23] 像ASIC和AMD都具备这样的能力
[00:04:23 - 00:04:26] 而AMD更是凭借着更大的显存容量
[00:04:26 - 00:04:29] 比如说mx 300x的192GB
[00:04:29 - 00:04:31] mx 325x的256GB
[00:04:32 - 00:04:34] 以及mx 350x的288GB
[00:04:34 - 00:04:36] 占据了优势地位
[00:04:36 - 00:04:36] 不过
[00:04:36 - 00:04:39] 老黄手里还有一张绝对的王牌
[00:04:39 - 00:04:40] 那就是NV Link
[00:04:40 - 00:04:43] NVL 72在推理领域的核心优势
[00:04:43 - 00:04:47] 它能够让72个GPU以超低的延迟协同工作
[00:04:47 - 00:04:48] 同时共享显存
[00:04:48 - 00:04:52] 而这也是全球唯一一个具备全连接交换
[00:04:52 - 00:04:54] 和全规约运算能力的加速器系统
[00:04:54 - 00:04:59] 因此因为达的Gb200 NvL72和Gb300 NvL72
[00:04:59 - 00:05:02] 对以下这些关键的能力的实现极为重要
[00:05:02 - 00:05:04] 包括实现更高的交互性
[00:05:04 - 00:05:06] 以及更低的思维链延迟时间
[00:05:06 - 00:05:09] 支持72个GPU的分散KVcatch
[00:05:09 - 00:05:12] 支持更长的思维链来提升智能水平
[00:05:12 - 00:05:14] 相比于传统的8GPU服务器
[00:05:14 - 00:05:17] NVL72具备更好的批处理扩展性
[00:05:17 - 00:05:19] 以及支持更多的样本并行搜索
[00:05:19 - 00:05:21] 从而提升模型的准确性和性能
[00:05:22 - 00:05:25] 总体而言NVL72可以在经济效益上
[00:05:25 - 00:05:26] 实现10倍以上的提升
[00:05:26 - 00:05:29] 尤其是在长推理思维链场景中
[00:05:29 - 00:05:32] 而且NVL72还是目前唯一一个
[00:05:32 - 00:05:33] 能够在高批处理下
[00:05:33 - 00:05:35] 将推理长度扩展到10万个
[00:05:35 - 00:05:36] Token以上的解决方案
[00:05:37 - 00:05:39] 针对新发布的GB300和B300
[00:05:39 - 00:05:41] 英伟达这次还重构了整个的供应链
[00:05:41 - 00:05:43] 在之前Gb200的时候
[00:05:43 - 00:05:46] 英伟达会提供完整的Bianca主板
[00:05:46 - 00:05:48] 这个主板包含了Blackwell GPU
[00:05:48 - 00:05:52] Grace CPU 512GB LPDDR5X内存
[00:05:52 - 00:05:56] 以及集成在同一PCB上的电压调节模块VRM
[00:05:56 - 00:05:59] 同时还提供交换机托盘和同志背板
[00:05:59 - 00:06:02] 但是随着Gb300的推出
[00:06:02 - 00:06:05] 规定的结构和产品内容将发生重大的调整
[00:06:05 - 00:06:07] 在新的Gb300方案中
[00:06:07 - 00:06:09] 英伟达只会提供三个核心组件的供应
[00:06:09 - 00:06:13] 分别是搭载在SXM punk模块上的B300芯片
[00:06:13 - 00:06:15] 用BGA封装的Grace CPU
[00:06:15 - 00:06:17] 以及由美国初创企业Excelo
[00:06:17 - 00:06:20] 提供的基板管理控制器HMC
[00:06:20 - 00:06:22] 用来取代原有的Asp的方案
[00:06:22 - 00:06:24] 所以对于中端客户来说
[00:06:24 - 00:06:27] 将需要直接采购计算板上的其他组件
[00:06:27 - 00:06:29] 同时二级内存的方案
[00:06:29 - 00:06:32] 将从汉街式的LPDDR5X
[00:06:32 - 00:06:35] 改为可更换的LPCMM模块
[00:06:35 - 00:06:37] 主要是由美光公司来供应
[00:06:37 - 00:06:39] 交换机托盘和同志背板
[00:06:39 - 00:06:41] 仍然有英伟大全权负责
[00:06:41 - 00:06:42] 这样一来
[00:06:42 - 00:06:45] 相比以前只有伟创和富士康工业互联网FI
[00:06:45 - 00:06:47] 能够制造贬卡板卡的局面
[00:06:47 - 00:06:50] SXMpunk的方案打破了原有的市场格局
[00:06:50 - 00:06:53] 它的采用为更多的OEM和ODM厂商
[00:06:53 - 00:06:55] 参与计算托盘的制造
[00:06:55 - 00:06:56] 创造了机会
[00:06:56 - 00:06:59] 显然伟创在ODM领域受到的影响最大
[00:06:59 - 00:07:02] 贬卡主板的份额会显出的下降
[00:07:02 - 00:07:06] 而富士康工业互联网通过独家生产SXMpunk机器插座
