BV号：BV1pZX8YcEHX
标题：BV1pZX8YcEHX
链接：https://www.bilibili.com/video/BV1pZX8YcEHX
识别语言：zh
语言置信度：1
分段数：257
生成时间：2026-08-30 10:08:50

[00:00:00 - 00:00:03] 大家好 这里是嘴家拍档 我是大飞
[00:00:03 - 00:00:06] 今天我们再次做一期与英特尔有关的节目
[00:00:06 - 00:00:10] 来聊聊这个半导体领域昔日王者的最新进展
[00:00:10 - 00:00:14] 曾经英特尔凭借着先进的技术和广泛的市场份额
[00:00:14 - 00:00:16] 在半导体行业的呼风幻雨
[00:00:16 - 00:00:18] 是PC时代当之无愧的巨头
[00:00:18 - 00:00:20] 但是近些年来
[00:00:20 - 00:00:22] 英特尔的发展之路却充满了坎坷
[00:00:22 - 00:00:24] 陷入了前所未有的困境
[00:00:24 - 00:00:27] 2024年对于英特尔来说是艰难的一年
[00:00:27 - 00:00:30] 全年的净亏损高达188亿美元
[00:00:30 - 00:00:33] 与此同时,英特尔的市值也大幅的缩水
[00:00:33 - 00:00:35] 超过一半的市值蒸发不见
[00:00:35 - 00:00:37] 一系列负面消息更是接种而至
[00:00:37 - 00:00:40] 财源、卖场、业绩下滑
[00:00:40 - 00:00:42] 甚至被踢出盗穷斯指数
[00:00:42 - 00:00:44] 这些都让英特尔的形象一落千丈
[00:00:44 - 00:00:47] 在半导体行业竞争日益激烈的今天
[00:00:47 - 00:00:50] 英伟达、AMD等后期之秀迅速的崛起
[00:00:50 - 00:00:53] 他们在技术创新和市场拓展方面不断的发力
[00:00:53 - 00:00:55] 给英特尔带来了巨大的压力
[00:00:55 - 00:00:56] 在这样的情况下
[00:00:56 - 00:00:59] 英特尔董事会最近做出了一项决定
[00:00:59 - 00:01:01] 那就是任命陈立五为新任的CEO
[00:01:01 - 00:01:04] 3月18日已经正式走马上任
[00:01:04 - 00:01:07] 消息一出 资本市场迅速做出反应
[00:01:07 - 00:01:09] 英特尔的股价盘后标涨12%
[00:01:09 - 00:01:12] 仿佛让市场看到了一次希望的曙光
[00:01:12 - 00:01:14] 那么 陈立五究竟是何许人也
[00:01:14 - 00:01:18] 他为什么能够让市场对于英特尔的未来充满期待呢
[00:01:18 - 00:01:20] 今天我们就来深入了解一下陈立五
[00:01:20 - 00:01:22] 以及他即将面临的挑战与机遇
[00:01:22 - 00:01:26] 陈立五现年65岁 足及中国福建复清
[00:01:26 - 00:01:28] 出生于马来西亚 成长于新加坡
[00:01:28 - 00:01:31] 他的人生轨迹堪称一步跨界传奇
[00:01:31 - 00:01:34] 16岁的时候 陈立武就展现出了非凡的天赋
[00:01:34 - 00:01:37] 考入了新加坡南洋理工大学物理系
[00:01:37 - 00:01:39] 在大学期间 他勤奋刻苦
[00:01:39 - 00:01:41] 仅用三年的时间就完成了学业
[00:01:41 - 00:01:43] 之后他远赴美国
[00:01:43 - 00:01:46] 进入了世界顶尖学府麻省理工学院
[00:01:46 - 00:01:48] 攻读和工程硕士学位
[00:01:48 - 00:01:52] 22岁的时候 陈立武凭借着扎实的专业知识和出色的能力
[00:01:52 - 00:01:53] 成为了核能企业
[00:01:53 - 00:01:56] EDS New Player的首席工程师
[00:01:56 - 00:01:57] 前途一片光明
[00:01:57 - 00:02:00] 然而命運的轉折總是突如其來
[00:02:00 - 00:02:04] 1979年美國三里島核電站發生了堆心融毀事故
[00:02:04 - 00:02:08] 這個事件對於全球的核能產業造成了巨大的衝擊
[00:02:08 - 00:02:11] 核能產業的前景瞬間變得暗淡無光
[00:02:11 - 00:02:12] 在這樣的大環境下
[00:02:12 - 00:02:16] 陳立五所在的核能企業也受到了嚴重的影響
[00:02:16 - 00:02:18] 面對困境陳立五沒有選擇做以待避
[00:02:18 - 00:02:21] 而是依然決定轉戰商業領域
[00:02:21 - 00:02:25] 他前往舊金山大學工讀NBA開啟了人生的新篇章
[00:02:25 - 00:02:28] 毕业之后陈立武在多家公司积累了丰富的商业经验
[00:02:28 - 00:02:33] 在这个过程中他逐渐发现科技创投才是自己真正感兴趣的领域
[00:02:33 - 00:02:39] 1987年年仅28岁的陈立武怀揣着梦想和300万美元的初始资金
[00:02:39 - 00:02:41] 在旧金山成立了华登国际
[00:02:41 - 00:02:44] 他以文学著作《瓦尔登湖》来秘密公司
[00:02:44 - 00:02:46] 寓意着逆势而行的信念
[00:02:46 - 00:02:49] 华登国际专注于投资出创科技公司
[00:02:49 - 00:02:51] 尤其是青睐半道地产业
[00:02:51 - 00:02:52] 在之后的30年里
[00:02:52 - 00:02:56] 陈立五凭借着独到的眼光和精准的投资策略
[00:02:56 - 00:02:58] 将华登国际发展壮大
[00:02:58 - 00:02:58] 如今呢
[00:02:58 - 00:03:01] 华登国际管理的资本超过30亿美元
[00:03:01 - 00:03:03] 投资便宜全球500多家企业
[00:03:03 - 00:03:06] 其中120亿家都聚焦半导体领域
[00:03:06 - 00:03:07] 从新浪到美团
[00:03:07 - 00:03:09] 从中芯国际到赵毅创新
[00:03:09 - 00:03:12] 这些知名企业的背后都有华登国际的身影
[00:03:12 - 00:03:16] 陈立五締造了一个横跨互联网与芯片的投资帝国
[00:03:16 - 00:03:18] 在创投圈声明远扬
[00:03:18 - 00:03:21] 一位创投圈的资深人士曾经表示过
[00:03:21 - 00:03:23] 陈利武在芯片投资领域的成功
[00:03:23 - 00:03:25] 既得益于时代的机遇
[00:03:25 - 00:03:26] 也源于他的个人背景
[00:03:26 - 00:03:30] 20年前中国正处于科技投资的快速发展阶段
[00:03:30 - 00:03:31] 是一片价值挖地
[00:03:31 - 00:03:35] 美国资本迫切需要一位了解中国市场的投资代理人
[00:03:35 - 00:03:37] 而美籍华人身份的陈利武
[00:03:37 - 00:03:39] 凭借着对于中美两国市场的深入了解
[00:03:39 - 00:03:41] 成为了最佳的人选
[00:03:41 - 00:03:44] 他敏锐地捕捉到了中国市场的巨大潜力
[00:03:44 - 00:03:47] 带领华东国际在中国市场进行了一系列成功的投资
[00:03:47 - 00:03:50] 不仅为华东国际带来了丰厚的回报
[00:03:50 - 00:03:53] 也为中国科技企业的发展提供了重要的资金支持
[00:03:53 - 00:03:56] 1993年 正值中国改革开放热潮
[00:03:56 - 00:03:59] 华东国际在财政部和国家科威的引荐下进入了中国
[00:04:00 - 00:04:02] 成为最早的一批国际风头机构
[00:04:02 - 00:04:06] 早期的华东国际投资了小天鹅、科隆等等制造业企业
[00:04:06 - 00:04:08] 1997年 华东国际投资了新浪
[00:04:09 - 00:04:10] 更是让陈立武一战成名
[00:04:10 - 00:04:12] 但是陈立武很快就意识到
[00:04:12 - 00:04:13] 芯片产业的巨大潜力
[00:04:14 - 00:04:15] 迅速调整投资的方向
[00:04:15 - 00:04:18] 之后呢他将投资的重心转向了芯片产业
[00:04:18 - 00:04:20] 尤其是中国芯片产业的发展
[00:04:20 - 00:04:23] 陈令伍不仅是一位成功的投资人
[00:04:23 - 00:04:25] 还是一位出色的救火队长
[00:04:25 - 00:04:26] 2009年
[00:04:26 - 00:04:28] 美国电子设计企业凯登电子
[00:04:28 - 00:04:30] 因为遭遇金融危机的重创
[00:04:30 - 00:04:31] 股价暴跌60%
[00:04:31 - 00:04:34] 在公司生死存亡的关键时刻
[00:04:34 - 00:04:36] 陈令伍临为寿命出任CEO
[00:04:36 - 00:04:39] 上任之后他大刀扩腐地进行了改革
[00:04:39 - 00:04:40] 财彻、荣誉部门
[00:04:40 - 00:04:41] 净减高管团队
[00:04:41 - 00:04:43] 提高公司的运营效率
[00:04:43 - 00:04:45] 同时他让所有的高管签署军令状
[00:04:45 - 00:04:47] 明确责任和目标
[00:04:47 - 00:04:50] 此外他还立刻发展可预设计的IP文化
[00:04:50 - 00:04:52] 成功扭转了公司的图示
[00:04:52 - 00:04:53] 在陈立五的带领下
[00:04:53 - 00:04:55] 凯登电子逐渐走出了困境
[00:04:55 - 00:04:57] 股价大幅上涨
[00:04:57 - 00:05:00] 2022年陈立五凭借着在凯登电子的出色表现
[00:05:00 - 00:05:02] 获得了国际半导体工业协会
[00:05:02 - 00:05:04] 颁发的罗伯特·诺伊斯奖
[00:05:04 - 00:05:06] 这是半导体界的最高荣誉
[00:05:06 - 00:05:09] 也是对他在半导体领域贡献的高度认可
[00:05:09 - 00:05:11] 回顾陈立五与英特尔的渊员
[00:05:11 - 00:05:12] 还要从2022年说起
[00:05:12 - 00:05:17] 这一年陈立武加入了英特尔董事会协助推动IDM2.0战略
[00:05:17 - 00:05:21] 这个宏大的计划的目的是为了重振英特尔的代工业务
[00:05:21 - 00:05:23] 英特尔希望通过建设大规模芯片工厂
[00:05:23 - 00:05:26] 来提升自己在代工领域的竞争力
[00:05:26 - 00:05:28] 赶超台移电三星等等竞争对手
[00:05:28 - 00:05:30] 然而在战略实施的过程中
[00:05:30 - 00:05:35] 陈立武与英特尔的实任CEO帕特基辛格产生了严重的理念分歧
[00:05:35 - 00:05:37] 基辛格力推IDM2.0模式
[00:05:37 - 00:05:41] 计划在美国以及海外建设大规模的芯片工厂
[00:05:41 - 00:05:44] 但是陈立五認為這個戰略過於激進了
[00:05:44 - 00:05:45] 脫離了英特爾的現實情況
[00:05:45 - 00:05:48] 芯片產業的發展需要巨額的投資
[00:05:48 - 00:05:50] 而當時的英特爾已經不負當年之勇
[00:05:50 - 00:05:54] 激進的擴張可能會給公司帶來巨大的財務壓力
[00:05:54 - 00:05:56] 事實證明 陈立五的擔憂並非多餘
[00:05:56 - 00:05:58] 在帕特基辛格任內
[00:05:58 - 00:06:00] 英特爾不僅措施了AI熱潮
[00:06:00 - 00:06:02] 還因為激進的擴張導致現金流枯竭
[00:06:02 - 00:06:05] 2024年 英特爾財源1.5萬人
[00:06:05 - 00:06:07] 公司的股價跌去60%
[00:06:07 - 00:06:09] 事實蒸發超過1500億美元
[00:06:09 - 00:06:12] 最终被提出了盗雄斯指数
[00:06:12 - 00:06:13] 还面临着股东的诉讼
[00:06:13 - 00:06:14] 而于此同时
[00:06:14 - 00:06:17] 英伟达却抓住了AI发展的机遇
[00:06:17 - 00:06:18] 市值飙升了180%
[00:06:18 - 00:06:20] 在半导体市场大放异彩
[00:06:20 - 00:06:22] 到了2024年底
[00:06:22 - 00:06:23] 帕特基辛格被开除
[00:06:23 - 00:06:24] 英特尔群龙武手
[00:06:24 - 00:06:27] 公司的发展陷入了前所未有的困境
[00:06:27 - 00:06:28] 在制成工艺方面
[00:06:28 - 00:06:30] 台积电已经量产了三大米芯片
[00:06:30 - 00:06:33] 而英特尔仍然困于七大米制成
[00:06:33 - 00:06:34] 在市场份额方面
[00:06:34 - 00:06:36] AMD在X86处理器市场的占比
[00:06:36 - 00:06:38] 升至40.6%
[00:06:38 - 00:06:42] 英伟达更是凭借着GPU在数据中心市场称霸天下
[00:06:42 - 00:06:44] 严重挤压了英特尔市场份额
[00:06:44 - 00:06:45] 在这样的背景下
[00:06:45 - 00:06:47] 英特尔董事会选择陈立五
[00:06:47 - 00:06:50] 看重的正是他身后的行业基地和资本手腕
[00:06:50 - 00:06:53] 陈立五既不是单纯的技术出身的工程师
[00:06:53 - 00:06:55] 也不是执动财务的专家
[00:06:55 - 00:06:57] 而是一位兼具善烈眼光
[00:06:57 - 00:06:59] 与执行力的符合性万家
[00:06:59 - 00:07:01] 他在半逃地行业多年的投资经验
[00:07:01 - 00:07:04] 让他对行业的发展趋势有着深刻的理解
[00:07:04 - 00:07:07] 更关键的是他对中国市场有着深入的了解
[00:07:07 - 00:07:09] 中国是全球最大的半导体消费市场
[00:07:09 - 00:07:12] 占全球半导体消费的40%
[00:07:12 - 00:07:14] 这个庞大的市场对于英特尔来说至关的重要
[00:07:14 - 00:07:16] 陈利武的人脉和资源
[00:07:16 - 00:07:19] 有望帮助英特尔在中国市场取得突破
[00:07:19 - 00:07:20] 缓解公司的经营压力
[00:07:20 - 00:07:23] 陈利武的上任让美国四大半导体
[00:07:23 - 00:07:26] 巨头的CEO席位首次全部由华人占据
[00:07:26 - 00:07:28] 分别是英特尔的陈利武
[00:07:28 - 00:07:30] 英伟达的黄云勋、AMD的苏芝丰
[00:07:30 - 00:07:31] 以及博通的陈富扬
[00:07:31 - 00:07:34] 不过呢 陈立武在接受英特尔之后
[00:07:34 - 00:07:36] 面临的挑战依然十分巨大
[00:07:36 - 00:07:39] 首先要面临的就是资金方面的巨大压力
[00:07:39 - 00:07:40] 因为经援厂的高投入
[00:07:40 - 00:07:42] 已经让英特尔的现金流捉金见证
[00:07:42 - 00:07:45] 不过呢 转机也在逐渐浮现
[00:07:45 - 00:07:47] 2025年3月12日路透社报道
[00:07:47 - 00:07:49] 台积电正在提议
[00:07:49 - 00:07:52] 联合英伟达AMD等企业投资英特尔的经援厂
[00:07:52 - 00:07:53] 如果这个计划成真
[00:07:53 - 00:07:55] 一方面能够缓解英特尔的资金压力
[00:07:55 - 00:07:57] 让公司有更多的资金
[00:07:57 - 00:07:59] 用于技术研发和业务拓展
[00:07:59 - 00:08:02] 另一方面 还可能为英特尔带来代工的订单
[00:08:02 - 00:08:04] 提升公司在代工领域的市场份额
[00:08:04 - 00:08:07] 此外 如今的AI已经在向着推理阶段发展
[00:08:07 - 00:08:09] 而英特尔的Zero和高低产品线
[00:08:09 - 00:08:11] 或许能够在这方面搬回一局
[00:08:11 - 00:08:14] 上任再极 陈立五发布了全员信
[00:08:14 - 00:08:17] 在信中 他表达了对于出任英特尔CEO的荣幸之情
[00:08:17 - 00:08:20] 同时也展现出了坚定的信心和决心
[00:08:20 - 00:08:23] 他提到 英特尔始终是他敬仰的企业
[00:08:23 - 00:08:26] 自幼他便被科技与工程的力量所吸引
[00:08:26 - 00:08:29] 而英特尔的创新推动了无数改变世界的突破
[00:08:29 - 00:08:32] 他深知英特尔过去几年面临的诸多挑战
[00:08:32 - 00:08:33] 团队经历了不少困难
[00:08:33 - 00:08:35] 但是他从来不会因为挑战而退缩
[00:08:35 - 00:08:38] 他相信英特尔具备赢得胜利的能力
[00:08:38 - 00:08:41] 将恢复英特尔作为世界一流产品公司的地位
[00:08:41 - 00:08:42] 打造成一流的代工厂
[00:08:42 - 00:08:45] 并且让客户前所未有的满意
[00:08:45 - 00:08:48] 陈利伍在全员信中还强调了他的领导原则
[00:08:48 - 00:08:51] 那就是谦训、勤奋和以客户为先
[00:08:51 - 00:08:53] 他认为只要始终见识这些原则
[00:08:53 - 00:08:55] 就一定能够带来成功
[00:08:55 - 00:08:56] 这不仅塑造了他的职业生涯
[00:08:56 - 00:08:59] 也将成为他领导英特尔的核心准则
[00:08:59 - 00:09:00] 他表示
[00:09:00 - 00:09:02] 英特尔将回归工程驱动本质
[00:09:02 - 00:09:04] 致力于打造卓越的产品
[00:09:04 - 00:09:05] 倾听客户的需求
[00:09:05 - 00:09:07] 兑现承诺以赢得市场的信任
[00:09:07 - 00:09:10] 同时公司将定期审视进展
[00:09:10 - 00:09:11] 在优势领域加倍投入
[00:09:11 - 00:09:13] 在短板领域大胆突围
[00:09:13 - 00:09:15] 在关界环节加速突破
[00:09:15 - 00:09:17] 最重要的是要保持团结
[00:09:17 - 00:09:18] 作为曾经的一名运动员
[00:09:18 - 00:09:21] 他深知信任团队是赢得胜利的关界
[00:09:21 - 00:09:24] 因此英特尔要想重塑辉煌
[00:09:24 - 00:09:26] 同样需要这份信念与协作的精神
[00:09:26 - 00:09:30] 应该说陈立武的上任为英特尔带来了新的希望
[00:09:30 - 00:09:32] 但是也面临着严峻的挑战
[00:09:32 - 00:09:35] 他的成功与否不仅关乎着英特尔的未来
[00:09:35 - 00:09:37] 也关乎着整个半桃梯产业的格局
[00:09:37 - 00:09:38] 对于英特尔来说
[00:09:38 - 00:09:40] 陈立武可能是最后的机会
[00:09:40 - 00:09:41] 也是最大的变数
[00:09:41 - 00:09:44] 他能否带领这家蓝色巨人走出自然的时刻
[00:09:44 - 00:09:45] 重回巅峰
[00:09:45 - 00:09:47] 目前无人可知
[00:09:47 - 00:09:50] 但是从和工程天才到创头教父
[00:09:50 - 00:09:51] 再到英特尔的掌舵人
[00:09:51 - 00:09:55] 如今65岁的陈立武又站在了半导体行业的风口浪尖上
[00:09:55 - 00:09:58] 迎接他的将不仅是个人的第一局势列
[00:09:58 - 00:10:00] 更是蓝色巨人的生死大病局
[00:10:00 - 00:10:02] 好了今天的视频内容就到这里
[00:10:02 - 00:10:05] 大家对于陈立武执掌英特尔有什么看法呢
[00:10:05 - 00:10:06] 欢迎在评论区留言
[00:10:06 - 00:10:07] 感谢观看
[00:10:07 - 00:10:08] 我们下期再见
