BV号：BV1phQaYYErw
标题：BV1phQaYYErw
链接：https://www.bilibili.com/video/BV1phQaYYErw
识别语言：zh
语言置信度：1
分段数：333
生成时间：2026-08-30 10:59:03

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 最近有个事情不知道大家有没有关注
[00:00:05 - 00:00:07] 那就是CallWave要IPO了
[00:00:07 - 00:00:10] 他的估值超过了350亿美元
[00:00:10 - 00:00:12] 但是到目前为止还没有实现盈利
[00:00:12 - 00:00:15] 在如今这个算力为王的时代
[00:00:15 - 00:00:16] 谁掌握了强大的算力
[00:00:16 - 00:00:20] 谁就有可能在未来的科技竞争中占据主导地位
[00:00:20 - 00:00:23] 而CallWave作为AI算力领域的新进参与者
[00:00:23 - 00:00:26] 他的发展路径 技术实力 盈利模式
[00:00:26 - 00:00:28] 以及在市场中的竞争态时
[00:00:28 - 00:00:30] 都值得我们去深入的研究一下
[00:00:30 - 00:00:32] 这家公司究竟从何而来
[00:00:32 - 00:00:34] 它的技术有哪些独特之处
[00:00:34 - 00:00:36] 未来真的能够盈利吗?
[00:00:36 - 00:00:37] 最重要的是
[00:00:37 - 00:00:39] 在巨头临历的市场环境中
[00:00:39 - 00:00:42] 它能否生存下来并且取得长远的发展呢?
[00:00:42 - 00:00:43] 因此这个视频
[00:00:43 - 00:00:47] 我们将借着SEC发布的315页的IPO文件
[00:00:47 - 00:00:50] 来带大家全面的了解一下Coremail
[00:00:50 - 00:00:52] 时间回到2017年
[00:00:52 - 00:00:55] 当时的比特币和以太坊等等这些加密货币
[00:00:55 - 00:00:57] 在全球掀起了一阵热潮
[00:00:57 - 00:00:59] 吸引了無數人投身其中
[00:00:59 - 00:01:03] 麥克爾、英特拉托、布萊恩、文圖羅和布萊寧、麥克比
[00:01:03 - 00:01:06] 這三位創始人也被這股熱潮所吸引
[00:01:06 - 00:01:07] 加入了挖礦大軍
[00:01:07 - 00:01:09] 他們成立了一家名為
[00:01:09 - 00:01:11] Atlantic Crypto Corporation的公司
[00:01:11 - 00:01:13] 專注於以太坊挖礦
[00:01:13 - 00:01:15] 和那些只是買幾塊顯卡
[00:01:15 - 00:01:17] 小打小鬧挖礦的散戶不同
[00:01:17 - 00:01:19] 口外屋從一開始就展現出了
[00:01:19 - 00:01:21] 與眾不同的決心和實力
[00:01:21 - 00:01:25] 他們選擇了自建數據中心和大規模的部署GPU集群
[00:01:25 - 00:01:26] 要知道這放到現在
[00:01:26 - 00:01:28] 都不是一件简单的事情
[00:01:28 - 00:01:30] 不仅需要雄厚的资金支持
[00:01:30 - 00:01:32] 更是要考验团队的技术能力
[00:01:32 - 00:01:34] 面对着数据中心里
[00:01:34 - 00:01:36] 成千上万块高速运转的GPU
[00:01:36 - 00:01:37] 工程师们不得不考虑
[00:01:37 - 00:01:39] 如何管理和优化这些GPU
[00:01:39 - 00:01:42] 如何让他们发挥出最大的效能
[00:01:42 - 00:01:43] 同时还得解决散热
[00:01:43 - 00:01:45] 供电 网络等等难题
[00:01:45 - 00:01:48] 确保整个系统稳定的运行
[00:01:48 - 00:01:50] 然而加密货币的市场
[00:01:50 - 00:01:51] 也是变化莫测
[00:01:51 - 00:01:52] 2002年
[00:01:52 - 00:01:54] 以太坊做出了一个重大的转变
[00:01:54 - 00:01:55] 转向全益证明机制
[00:01:55 - 00:01:58] 这个改变宣告了GPU挖矿时代的终结
[00:01:58 - 00:02:01] 对于许多依赖于GPU挖矿的人来说
[00:02:01 - 00:02:02] 这无疑是一场灾难
[00:02:02 - 00:02:05] 但是CoreWave却在这场危机中看到了新的机遇
[00:02:05 - 00:02:08] 随着拆的GPT等等生成是AI应用的爆发
[00:02:08 - 00:02:12] 传统的GPU算力已经难以满足飞速增长的需求
[00:02:12 - 00:02:14] GPU算力成为了AI发展的刚需
[00:02:14 - 00:02:17] 而这恰恰是CoreWave的强项
[00:02:17 - 00:02:20] 凭借着在挖矿时期积累的技术和资源
[00:02:20 - 00:02:22] 它们果断的做出转型的决策
[00:02:22 - 00:02:24] 将原本用来挖矿的GPU集权
[00:02:24 - 00:02:27] 准备为服务于AI企业的运寄算平台
[00:02:27 - 00:02:28] 就这样
[00:02:28 - 00:02:30] Colweb完成了从矿工到AI时代
[00:02:30 - 00:02:32] 卖产人的华丽转身
[00:02:32 - 00:02:33] 在Colweb的招股书中
[00:02:33 - 00:02:35] 有一个数字格外的引人注步
[00:02:35 - 00:02:37] 那就是150亿亿美元
[00:02:37 - 00:02:39] 这个数字代表着Colweb的剩余
[00:02:39 - 00:02:40] 铝月亿物
[00:02:40 - 00:02:41] 简称RPO
[00:02:42 - 00:02:43] 可能有些朋友对这个专业的数语
[00:02:43 - 00:02:44] 不太理解
[00:02:44 - 00:02:45] 通俗来讲
[00:02:45 - 00:02:47] 这就是好比一家饭店
[00:02:47 - 00:02:49] 收到了顾客未来四年价值
[00:02:49 - 00:02:51] 150亿美元的预订单
[00:02:51 - 00:02:53] 顾客已经下了订单
[00:02:53 - 00:02:54] 还付了一部分的订金
[00:02:54 - 00:02:57] 但是飯店還沒有開始為顧客提供菜品
[00:02:57 - 00:02:58] 更為嚴謹地說
[00:02:58 - 00:03:01] 根據美國會計準則AISC606
[00:03:01 - 00:03:04] RPO是指企業已經簽訂合同
[00:03:04 - 00:03:07] 但是上沒有旅行的義務所對應的收入
[00:03:07 - 00:03:09] 這裡邊既包括已經開票
[00:03:09 - 00:03:10] 但是為確認的收入
[00:03:10 - 00:03:12] 也就是遞延收入
[00:03:12 - 00:03:14] 還包括未來合同義務對應的收入
