BV号：BV1pu9gBvEGM
标题：BV1pu9gBvEGM
链接：https://www.bilibili.com/video/BV1pu9gBvEGM
识别语言：zh
语言置信度：1
分段数：176
生成时间：2026-08-29 12:33:57

[00:00:00 - 00:00:02] AI 写代码程序员反而更累了
[00:00:02 - 00:00:03] 这不是段子
[00:00:03 - 00:00:05] 这是正在发生的残酷现实
[00:00:05 - 00:00:07] 你以为AI 是来帮你写代码的
[00:00:07 - 00:00:09] 其实它是来榨赶你的脑力的
[00:00:09 - 00:00:12] 很多用AI 写代码的程序员
[00:00:12 - 00:00:14] 最近都经历了突然断电的极度疲劳
[00:00:14 - 00:00:16] 明明代码是AI 写的
[00:00:16 - 00:00:17] 为什么人反而更累了
[00:00:17 - 00:00:19] 我是为什么叫QQ
[00:00:19 - 00:00:21] 今天我们来聊一个硬核话题
[00:00:21 - 00:00:23] 当软件工程卖向多A阵的时代
[00:00:23 - 00:00:25] 普通开发者到底面临什么
[00:00:25 - 00:00:26] 很多人觉得
[00:00:26 - 00:00:28] 有了Cloud Code或者Cursor
[00:00:28 - 00:00:30] 自己就能一个人干翻一个团队
[00:00:30 - 00:00:31] 只要动动嘴皮子
[00:00:31 - 00:00:33] 代码就能自动生成
[00:00:33 - 00:00:34] 但现实真的这么美好吗?
[00:00:34 - 00:00:36] 为什么有些资深工程师
[00:00:36 - 00:00:38] 在尝试了多Agent的协同后?
[00:00:38 - 00:00:40] 反而发出了危险的警告
[00:00:40 - 00:00:42] 说AI正在像吸血鬼一样杀死我们
[00:00:42 - 00:00:45] 这背后到底隐藏的什么代价?
[00:00:45 - 00:00:47] 要搞清楚这个问题
[00:00:47 - 00:00:48] 我们得先认识一个人
[00:00:48 - 00:00:49] Steve Yegg
[00:00:49 - 00:00:51] 他在科技圈摸爬滚打了40年
[00:00:51 - 00:00:53] 带过亚马逊谷歌
[00:00:53 - 00:00:55] 现在是Sosagraph的布道师
[00:00:55 - 00:00:58] 他最近提出了一个震撼行业的观点
[00:00:58 - 00:01:00] 他把现在的AI称为AI吸血鬼
[00:01:00 - 00:01:02] 就像每句吸血鬼生活
[00:01:02 - 00:01:05] 里的能量吸血鬼Colin Robinson一样
[00:01:05 - 00:01:07] 只要和AI待在一个房间里
[00:01:07 - 00:01:09] 他就会持续吸干你的能量
[00:01:09 - 00:01:11] Steve发现了一个可怕的现象
[00:01:11 - 00:01:13] 那些沉浸在AI辅助编程
[00:01:13 - 00:01:15] 也就是所谓Vibecoding中的程序员
[00:01:15 - 00:01:18] 经常会遭遇5岁攻击Nap attacks
