BV号：BV1q7wKekEXq
标题：BV1q7wKekEXq
链接：https://www.bilibili.com/video/BV1q7wKekEXq
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-08-30 19:16:58

[00:00:00 - 00:00:03] 你没看错,这真的是一个机器人,而且是一个人见人爱的机器人呢
[00:00:03 - 00:00:07] 在今年的CES社,有一只像小鸟一样毛绒绒的机器人
[00:00:07 - 00:00:09] 因为实在太忙,收获了一大波关注
[00:00:09 - 00:00:11] 它可以包在你的手臂或者包包上
[00:00:11 - 00:00:14] 当有陌生人靠近或者走过,它会害羞地转个头躲开
[00:00:14 - 00:00:17] 如果你停留在它身边,它又会悄悄探出头来看你
[00:00:17 - 00:00:20] 就像是刚出生的婴儿一样,对一切都充满好奇
[00:00:20 - 00:00:23] 它是日本出创公司UQAE Engineering最新推出的机器人MIRMI
[00:00:23 - 00:00:26] 这个公司还推出过猫尾巴枕头机器人
[00:00:26 - 00:00:28] 当有人抚摸他时,他还会摇尾巴
[00:00:28 - 00:00:30] 这两款机器人是为了部分想要宠物
[00:00:30 - 00:00:32] 但是不能养的人而设计的
[00:00:32 - 00:00:33] 还可以兼做一个治疗机器人
[00:00:33 - 00:00:35] 用于治疗抑郁和焦虑
[00:00:35 - 00:00:37] 就像MIRMI,他会根据你的动作一直盯着你
[00:00:37 - 00:00:40] 或者摇头,直到你成功获得片刻快乐
[00:00:40 - 00:00:42] 据介绍,MIRMI充电之后可以待机8小时
[00:00:42 - 00:00:44] 发售价格在70美元左右
[00:00:44 - 00:00:45] 你也想要一个吗?
