BV号：BV1q7wKekEct
标题：BV1q7wKekEct
链接：https://www.bilibili.com/video/BV1q7wKekEct
识别语言：zh
语言置信度：1
分段数：29
生成时间：2026-08-30 19:15:38

[00:00:00 - 00:00:03] 喊點CES 2025 十大離譜的電子產品
[00:00:03 - 00:00:06] 1. Armya 360 度身體掃描健康鏡
[00:00:06 - 00:00:09] 可掃描你的心臟 體重 代謝健康
[00:00:09 - 00:00:11] AI 助手 解碼指標 並提供個性化見解
[00:00:11 - 00:00:15] 2.完全由屏幕顯示器組成超級沉浸式體驗的房間
[00:00:15 - 00:00:18] 這森靈奇境般的感覺也太強了吧
[00:00:18 - 00:00:21] 3.電源勺 可以通過向舌頭發送微弱電流
[00:00:21 - 00:00:23] 讓用戶在不額外添加嚴分的情況下
[00:00:23 - 00:00:25] 感受到更鹹的味道
[00:00:25 - 00:00:27] 可將食物的鹹度提升1.5倍左右
[00:00:27 - 00:00:36] 4.Warsonsip,秀真三折叠头影衣,能放入口袋是世界上第一款和放入口袋的三折头影衣,底座带有磁性,方便固定
[00:00:36 - 00:00:41] 5.自动收缩键盘,在不使用时可以自动收缩,节省桌面空间
[00:00:41 - 00:00:46] 6.落片,可以通过三重摄像头,将任何纸张上的手写内容数字画
[00:00:46 - 00:00:50] 与其他数字比不同,它不需要特殊的笔记本,可以将任何表面变成画布
[00:00:50 - 00:00:55] 7.无处不在的三星透明显示屏,这要使用在手机,平板上确实还挺不
[00:00:55 - 00:00:58] 就是不知道黃頭盔效果做的怎樣
[00:00:58 - 00:01:00] 把Rubrox Saro C70
[00:01:00 - 00:01:02] 帶機械幣的智能掃地機器人
[00:01:02 - 00:01:04] 可以在清潔時清除小物體
[00:01:04 - 00:01:04] 抓局物品
[00:01:04 - 00:01:05] 打開抽屜
[00:01:05 - 00:01:07] 甚至還能幫你拿搖空氣
[00:01:07 - 00:01:09] 就三星可拉伸屏幕
[00:01:09 - 00:01:11] 讓屏幕能夠根據需要自由申訴
[00:01:11 - 00:01:12] 為未來多功能設備
[00:01:12 - 00:01:14] 和可折疊手機提供了無限可能
[00:01:14 - 00:01:17] 使適合輪椅用戶的可穿帶機器人
[00:01:17 - 00:01:19] 幫助他們站立行踪和上下樓梯
[00:01:19 - 00:01:22] 為行動不變的人群帶來新的希望
