BV号：BV1qCR7BEEFZ
标题：BV1qCR7BEEFZ
链接：https://www.bilibili.com/video/BV1qCR7BEEFZ
识别语言：zh
语言置信度：1
分段数：133
生成时间：2026-08-29 17:12:06

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 你以为你的微调效果差
[00:00:03 - 00:00:06] 是因为算力不够大 参数不够多
[00:00:06 - 00:00:08] 真相可能会让你有点挫败
[00:00:08 - 00:00:11] 从跑在单卡上的7B小模型
[00:00:11 - 00:00:13] 到千亿参数的超级巨兽
[00:00:13 - 00:00:15] 绝大多数人从一开始
[00:00:15 - 00:00:18] 就理解错了整个后训练的底层逻辑
[00:00:18 - 00:00:21] 2024年DeepSig的GRPU彻底火了
[00:00:21 - 00:00:22] 到了2025年
[00:00:22 - 00:00:23] OPD又成了星虫
[00:00:23 - 00:00:27] 直到最近海外技术圈的一条爆款推文
[00:00:27 - 00:00:28] 扯下了这块折修部
[00:00:28 - 00:00:30] 推文的核心问题非常刺耳
[00:00:30 - 00:00:33] 所有人都在到处找开源脚本问怎么微调
[00:00:33 - 00:00:35] 却没人停下来问一句
[00:00:35 - 00:00:36] 为什么要这么微调
[00:00:36 - 00:00:40] 为什么现在的标准管道都是先做SFT后做RL
[00:00:40 - 00:00:41] 有没有可能反过来
[00:00:41 - 00:00:43] 或者干脆跳过SFT
[00:00:43 - 00:00:44] 很多人会说
[00:00:44 - 00:00:46] 大厂都是这么干的
[00:00:46 - 00:00:47] 这是行业最佳实践
[00:00:47 - 00:00:48] 但这不叫答案
[00:00:48 - 00:00:49] 这叫盲从
[00:00:49 - 00:00:52] 真正的答案叫采样分布的复核性
[00:00:52 - 00:00:53] 要搞懂这个问题
[00:00:53 - 00:00:56] 我们先拆解一下两种路径的天花板
[00:00:56 - 00:00:58] SFT的天花板是什么
[00:00:58 - 00:00:59] 是你未给它的数据
[00:00:59 - 00:01:02] 早期你的模型是个纯粹的文盲
[00:01:02 - 00:01:05] 每一条SFT数据都是高信息量的
[00:01:05 - 00:01:07] 但越往后编辑收益越低
[00:01:07 - 00:01:09] 当模型逼近数据级的分布时
[00:01:09 - 00:01:12] 继续做SFT就变成了单纯的死机硬背
[00:01:12 - 00:01:15] 这在学术阶叫模仿偏差
[00:01:15 - 00:01:16] 而RL的天花板是什么
[00:01:16 - 00:01:18] 不是数据是你的验证器
[00:01:18 - 00:01:22] RL的本质是让模型自己采样出一条轨迹
[00:01:22 - 00:01:23] T度更新策略后
[00:01:23 - 00:01:26] 下一批数据从改进后的策略里继续采样
[00:01:26 - 00:01:29] 主意这种改进是会附和叠加的
[00:01:29 - 00:01:31] 所以在后训练的生命周期里
[00:01:31 - 00:01:33] 必然存在一个临界点
[00:01:33 - 00:01:34] 越过这个点之后
[00:01:34 - 00:01:37] 把极其昂贵的算力继续砸在SFT上
[00:01:37 - 00:01:39] 就是纯纯的浪费
[00:01:39 - 00:01:41] 切到2L才是数学上的最优点
[00:01:41 - 00:01:42] 听到这里
[00:01:42 - 00:01:44] 很多做垂直应用的朋友可能会问
[00:01:44 - 00:01:46] 这套高大商的理论
[00:01:46 - 00:01:49] 是不是只属于千亿参数的大模型
[00:01:49 - 00:01:51] 或者反过来是不是只有
[00:01:51 - 00:01:53] 小模型才需要玩这些花火
[00:01:53 - 00:01:55] 这是目前行业里最大的认知偏颇
[00:01:55 - 00:01:59] 真相是,这套数学规律是无视参数规模的
[00:01:59 - 00:02:01] 真正让大小模型分道扬镳的
[00:02:01 - 00:02:03] 是你的工程约束条件
[00:02:03 - 00:02:07] 后训练的宇宙里其实有两条截然不同的赛道
[00:02:07 - 00:02:08] 核心的考问只有一个
[00:02:08 - 00:02:10] 你头顶上还有没有老师
[00:02:10 - 00:02:11] 赛道1
[00:02:11 - 00:02:13] 没有老师的荒野求生
[00:02:13 - 00:02:15] 属于前沿大模型
[00:02:15 - 00:02:16] LLM
[00:02:16 - 00:02:18] 当你在训练GPT5级别
[00:02:18 - 00:02:22] 或者类似DeepSickV4这样的千亿巨兽时
[00:02:22 - 00:02:25] 残酷的现实是你已经是全村最聪明的了
[00:02:25 - 00:02:27] 世界上没有比你更强
[00:02:27 - 00:02:29] 且架构同源的老师可以操作业
[00:02:29 - 00:02:31] 这个时候捷径走不通了
[00:02:31 - 00:02:34] 你只能用极其硬核的纯2L
[00:02:34 - 00:02:36] 比如极致优化的GRPO
[00:02:36 - 00:02:38] 靠严苛的规则验症器
[00:02:38 - 00:02:41] 在没有标准答案的黑盒里左脚踩右脚
[00:02:41 - 00:02:42] 去探索位置的上线
[00:02:42 - 00:02:45] DeepSig侦汉世界的推理永先
[00:02:45 - 00:02:46] 就是这么干出来的
[00:02:46 - 00:02:47] 当然
[00:02:47 - 00:02:49] 代价是张量病型流水纤病型
[00:02:49 - 00:02:51] 和极致显存调度的工程地域
[00:02:51 - 00:02:54] 塞德尔站在巨人肩膀上标车
[00:02:54 - 00:02:57] 但如果我们搞的是7B 14B的小模型呢
[00:02:57 - 00:03:00] 你的头顶上有大把的开源声明
[00:03:00 - 00:03:01] 可以当同族老师
[00:03:01 - 00:03:04] 比如用Quin 3 72B 去交8B
[00:03:04 - 00:03:06] 这时候你绝对不该去硬钢传2L
[00:03:06 - 00:03:08] 而是应该走OPD
[00:03:08 - 00:03:09] 再线征流
[00:03:09 - 00:03:10] 这条高速公路
[00:03:10 - 00:03:13] 在OPD里小模型自己生成轨迹
[00:03:13 - 00:03:14] 避免了暴露偏差
[00:03:14 - 00:03:17] 而大老师只做前向的Prefile计算
[00:03:17 - 00:03:19] 给出Token级的散度平分
[00:03:19 - 00:03:21] 根本不用做耗时的文本生成
[00:03:21 - 00:03:24] 直接带来9-30倍的算力效率提升
[00:03:24 - 00:03:27] 理论极其宏大,但落地必须务实
[00:03:27 - 00:03:29] 我们来算一笔2026年的工程账
[00:03:29 - 00:03:32] 想跑通LLM的纯ORL链路
[00:03:32 - 00:03:36] 你需要成百上千张H800的集群去对算力
[00:03:36 - 00:03:38] 这注定是少数巨头的游戏
[00:03:38 - 00:03:42] 但如果你只是想跑通小模型的OPD或者JRPO链路
[00:03:42 - 00:03:45] 门槛其实被彻底打下来了
[00:03:45 - 00:03:47] 用一张4090跑Q-Lore
[00:03:47 - 00:03:50] 配合安斯拉斯级别的底层显存优化
[00:03:50 - 00:03:52] 几百上千块钱的投入
[00:03:52 - 00:03:55] 二到四个小时就能在本地跑完一次后训练迭代
