BV号：BV1qPwae7Eiz
标题：BV1qPwae7Eiz
链接：https://www.bilibili.com/video/BV1qPwae7Eiz
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-08-30 18:56:21

[00:00:00 - 00:00:01] 永遠是一段時間
[00:00:01 - 00:00:04] 我沒有任何長期的責任
[00:00:05 - 00:00:08] 我認為我們死亡
[00:00:08 - 00:00:10] 至少在某個時候
[00:00:10 - 00:00:11] 或…
[00:00:11 - 00:00:12] 至少在某個時候
[00:00:12 - 00:00:14] 我會說
[00:00:14 - 00:00:17] 我們可以活在某個時候
[00:00:17 - 00:00:19] 和長期的時間增加
[00:00:19 - 00:00:21] 我們身體健康
[00:00:22 - 00:00:24] 但如果我們活了太久
[00:00:24 - 00:00:26] 我認為這就是奧斯法社會
[00:00:27 - 00:00:29] 沒有改變的領導
[00:00:29 - 00:00:31] 因為領域永遠不死
[00:00:32 - 00:00:36] 很多人的意見不改
[00:00:36 - 00:00:37] 他們的心都死了
[00:00:37 - 00:00:40] 所以那些新的想法都會引起
[00:00:40 - 00:00:41] 那是真正的
[00:00:41 - 00:00:42] 我看見那些
[00:00:42 - 00:00:43] 現在的
[00:00:43 - 00:00:44] 我認為
[00:00:44 - 00:00:46] 如果有些最壞的人在世界
[00:00:46 - 00:00:47] 他們要怎麼處理
