BV号：BV1qV9bByEtZ
标题：BV1qV9bByEtZ
链接：https://www.bilibili.com/video/BV1qV9bByEtZ
识别语言：zh
语言置信度：1
分段数：263
生成时间：2026-08-29 17:06:18

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:03] 2026年第一季度
[00:00:03 - 00:00:06] 美国科技行业裁掉了55000人
[00:00:06 - 00:00:09] Mata裁员2万亚马逊裁员3万
[00:00:09 - 00:00:10] 扎克伯格甚至公开说
[00:00:10 - 00:00:12] 过去需要一个团队的项目
[00:00:12 - 00:00:14] 现在一个优秀的人配合AI就够了
[00:00:14 - 00:00:17] 听到这儿 你是不是觉得完了
[00:00:17 - 00:00:18] AI真的来抢饭晚了
[00:00:18 - 00:00:19] 但你不知道的是
[00:00:19 - 00:00:21] Lintin最新发布的数据显示
[00:00:21 - 00:00:22] 就在同一时期
[00:00:22 - 00:00:26] AI在全球创造了130万个新岗位
[00:00:26 - 00:00:28] 130万对5万AI创造的岗位
[00:00:28 - 00:00:30] 是他消灭的24倍
[00:00:30 - 00:00:31] 这就有意思了
[00:00:31 - 00:00:33] 为什么宏观数据一片大好
[00:00:33 - 00:00:36] 微观上那些每被财每天用着AI的工程师
[00:00:36 - 00:00:39] 反而觉得更忙更累更焦虑了
[00:00:39 - 00:00:41] 哈佛商业评论最近的一项研究
[00:00:41 - 00:00:43] 揭穿了这个残酷的真相
[00:00:43 - 00:00:45] 但这不是简单的裁员潮
[00:00:45 - 00:00:47] 这是一场伴随着巨额资本转移的
[00:00:47 - 00:00:48] 进攻性优化
[00:00:48 - 00:00:49] 科技剧头闷
[00:00:49 - 00:00:51] 动辄上千亿美元的资本支出
[00:00:51 - 00:00:53] 正在从传统人力
[00:00:53 - 00:00:55] 转移到AI数据中心和显卡采购上
[00:00:55 - 00:00:58] meta等公司一边裁撤大批普通员工
[00:00:59 - 00:01:03] 一边却在重金收购Manus这样的自主智能体出创团队
[00:01:03 - 00:01:07] 试图用少数顶尖人才配合AI完成一网整个团队的工作
[00:01:07 - 00:01:08] 这才是真相
[00:01:08 - 00:01:10] 今天我们就从工程师角
[00:01:10 - 00:01:12] 硬核拆解AI时代的组织严禁
[00:01:13 - 00:01:15] 看看作为工程师到底该怎么破局
[00:01:15 - 00:01:16] 你有没有发现一个悖论
[00:01:17 - 00:01:18] 我们每天都在用github co-pilot
[00:01:19 - 00:01:20] 用clob用拆的gpt
[00:01:20 - 00:01:22] 按理说写代码的速度快了
[00:01:22 - 00:01:23] 查bug的时间短了
[00:01:23 - 00:01:26] 我们应该有更多时间摸鱼才对
[00:01:26 - 00:01:28] 但现实是你的工作量不仅没减少
[00:01:28 - 00:01:29] 反而成倍增加
[00:01:29 - 00:01:31] 你一个人干着过去三个人的活
[00:01:31 - 00:01:34] 老板对你的产出期望也翻了三倍
[00:01:34 - 00:01:36] 更扎心的是很多人用了AI之后
[00:01:36 - 00:01:39] 反而陷入了一种前所未有的精神内耗
[00:01:39 - 00:01:41] 我把这种现象叫做AI脑榨
[00:01:41 - 00:01:44] 你的大脑需要不断在构思指令
[00:01:44 - 00:01:47] 评估输出和切换决策之间消耗资源
[00:01:47 - 00:01:49] 这种认知碎片化的疲劳
[00:01:49 - 00:01:52] 往往比从头自己写代码还要消耗精力
[00:01:52 - 00:01:54] 我在为什么?AI写代码你反而更累了
[00:01:54 - 00:01:56] 那期视频里
[00:01:56 - 00:01:59] 用Steve Yeager的理论深度拆解过这个现象
[00:01:59 - 00:02:02] 讲到了AI吸血鬼和美元处于小时的公式
[00:02:02 - 00:02:04] 有兴趣的可以去翻一下
[00:02:04 - 00:02:06] 有个数据特别扎心
[00:02:06 - 00:02:07] 严格的对照实验表明
[00:02:07 - 00:02:11] 在使用AI辅助编写自己熟悉的代码库时
[00:02:11 - 00:02:13] 程序员的速度实际上慢了19%
[00:02:13 - 00:02:15] AI虽然减少了打字的时间
[00:02:15 - 00:02:19] 但调是那些看起来差不多但一跑就崩了代码
[00:02:19 - 00:02:21] 往往比从头自己写还要消耗精力
[00:02:21 - 00:02:23] 这到底是怎么回事
[00:02:23 - 00:02:24] 是AI不够强
[00:02:24 - 00:02:26] 还是我们用错了姿势
[00:02:26 - 00:02:27] 更重要的是
[00:02:27 - 00:02:30] 当公司开始用AI重塑组织架构
[00:02:30 - 00:02:32] 甚至收购AI原生团队时
[00:02:32 - 00:02:33] 我们这些传统的工程师
[00:02:33 - 00:02:35] 到底该把自己摆在什么位置
[00:02:35 - 00:02:37] 要回答这个问题
[00:02:37 - 00:02:38] 我们得先看看现在的公司
[00:02:38 - 00:02:39] 都在干什么
[00:02:39 - 00:02:41] 绝大多数公司面对AI浪潮
[00:02:41 - 00:02:43] 第一反应是买工具
[00:02:43 - 00:02:44] 给销售PAKE写作助手
[00:02:44 - 00:02:46] 给HR弄个智能客服
[00:02:46 - 00:02:49] 给工程师全员开通AI编程工具
[00:02:49 - 00:02:51] 他们管着叫AI转型
[00:02:51 - 00:02:52] 但实际上这根本不叫转型
[00:02:52 - 00:02:54] 这顶多叫AI采纳
