BV号：BV1tXduY9EL8
标题：BV1tXduY9EL8
链接：https://www.bilibili.com/video/BV1tXduY9EL8
识别语言：zh
语言置信度：1
分段数：417
生成时间：2026-08-30 08:54:27

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:05] 这两年我们见证了AI技术的飞速发展
[00:00:05 - 00:00:09] 从GBT到Lama 再到Cloud 、Grogg、DeepSync
[00:00:09 - 00:00:11] 各种模型是层出不穷
[00:00:11 - 00:00:14] 但是相信不少朋友都有过这样的困惑
[00:00:14 - 00:00:16] 看着AI领域热闹非凡
[00:00:16 - 00:00:19] 可是自己却满心的焦虑陷入内耗
[00:00:19 - 00:00:20] 不知道该做些什么
[00:00:20 - 00:00:23] 又恐怕被时代的浪潮所淘汰
[00:00:23 - 00:00:25] 前两天 微软的CTO凯文斯克特
[00:00:25 - 00:00:27] 接受了20微信博客主持人
[00:00:27 - 00:00:29] 哈利斯特宾斯的一次采访
[00:00:29 - 00:00:32] 我想他的很多见解可能会给在
[00:00:32 - 00:00:33] AI时代感到焦虑的人
[00:00:33 - 00:00:35] 给予一些安定
[00:00:35 - 00:00:36] 并且指引未来的方向
[00:00:36 - 00:00:38] 今天大飞就来给大家分享一下
[00:00:38 - 00:00:39] 他的主要观点
[00:00:40 - 00:00:42] 首先我觉得凯文在这次访谈中
[00:00:42 - 00:00:44] 最重要也是最核心的一句话
[00:00:44 - 00:00:47] 那就是模型不是我们理解的产品
[00:00:47 - 00:00:49] 这句话可以说是直接戳中了
[00:00:49 - 00:00:52] 当下AI从业者中普遍存在的一个问题
[00:00:52 - 00:00:53] 那就是技术幻觉
[00:00:53 - 00:00:55] 我们常常会被新模型带来的
[00:00:55 - 00:00:57] 性能升级所震撼
[00:00:57 - 00:00:59] 但是如果冷静下来想一想
[00:00:59 - 00:01:02] 到底有沒有真正的站在用戶的角度去思考過呢
[00:01:02 - 00:01:04] 用戶真的需要這個嗎
[00:01:04 - 00:01:07] 我們做的到底是一項單純的技術
[00:01:07 - 00:01:10] 還是一個能夠切實解決用戶問題的產品呢
[00:01:10 - 00:01:11] 凱文認為
[00:01:11 - 00:01:12] 如今這個階段
[00:01:12 - 00:01:14] 其實就和早年互聯網剛出現
[00:01:14 - 00:01:16] 移動時代剛剛興起的時候一樣
[00:01:17 - 00:01:18] 充滿了混亂和模糊
[00:01:18 - 00:01:21] 大家都不清楚什麼才是最有價值的
[00:01:21 - 00:01:23] 但也正是在這樣看似混沌的時期
[00:01:23 - 00:01:25] 誕生了一批改變世界的產品
[00:01:25 - 00:01:26] 平台和公司
[00:01:27 - 00:01:29] 比如說互聯網時代的搜索引擎
[00:01:29 - 00:01:31] 电商平台和社交网络
[00:01:31 - 00:01:34] 以及移动时代的微信 抖音和支付宝
[00:01:34 - 00:01:35] 所以说
[00:01:35 - 00:01:37] 当下AI的这种混沌状态
[00:01:37 - 00:01:38] 其实并不可怕
[00:01:38 - 00:01:41] 关键是我们要在这一轮新的AI周期里
[00:01:41 - 00:01:43] 认情趋势找到属于自己的发展方向
[00:01:44 - 00:01:44] 于是
[00:01:44 - 00:01:46] 凯文从自己的实操经验中
[00:01:46 - 00:01:48] 总结出了几个行动的法则
[00:01:48 - 00:01:50] 我觉得值得大家来借借
[00:01:50 - 00:01:52] 他认为产品比模型更为重要
[00:01:53 - 00:01:53] 快速失措
[00:01:53 - 00:01:55] 比等待观望更有价值
[00:01:55 - 00:01:57] 构建一个有用的东西
[00:01:57 - 00:01:59] 比观看参数曲线更为关键
[00:02:00 - 00:02:02] 在下一个AI的黄金五年里
[00:02:02 - 00:02:03] 我们真正应该关注的
[00:02:03 - 00:02:05] 应该是这么几个关键词
[00:02:05 - 00:02:06] 分别是产品
[00:02:06 - 00:02:08] Agent推理和记忆
[00:02:08 - 00:02:09] 先说产品
[00:02:09 - 00:02:10] 我们必须要明白
[00:02:10 - 00:02:12] 模型固然重要
[00:02:12 - 00:02:13] 但是它绝不是终点
[00:02:13 - 00:02:15] 现在很多AI的创业项目
[00:02:15 - 00:02:17] 都存在着一个误区
[00:02:17 - 00:02:19] 特别喜欢强调自己的模型参数
[00:02:19 - 00:02:20] 达到了多高的水平
[00:02:20 - 00:02:22] 或者把训练成本
[00:02:22 - 00:02:23] 压缩到了原来的几分之一
[00:02:23 - 00:02:26] 又或者声称自己完全自言了
[00:02:26 - 00:02:27] 底座的模型
[00:02:27 - 00:02:29] 和GBT-O1就差一轮指令微调了
[00:02:30 - 00:02:32] 这些技术成果听起来确实很厉害
[00:02:32 - 00:02:34] 但是大家别忘了
[00:02:34 - 00:02:35] 技术层面的进步
[00:02:35 - 00:02:37] 并不等同于用户层面的价值
[00:02:38 - 00:02:40] 很多AI公司的产品体验差
[00:02:40 - 00:02:41] 用户流存低
[00:02:41 - 00:02:42] 根本的原因就在于
[00:02:42 - 00:02:44] 他们做的其实只是模型展示
[00:02:44 - 00:02:46] 而不是真正的产品建设
[00:02:47 - 00:02:49] 这在以技术团队为主导的公司里
[00:02:49 - 00:02:50] 尤其的常见
[00:02:50 - 00:02:51] 一旦技术上有了突破
[00:02:51 - 00:02:54] 这些团队很容易就被自己研发出来的
[00:02:54 - 00:02:56] 神奇模型所冲昏头脑
[00:02:56 - 00:02:58] 却忽略了用户真正想要解决的问题
