BV号：BV1tYrQYqEhD
标题：BV1tYrQYqEhD
链接：https://www.bilibili.com/video/BV1tYrQYqEhD
识别语言：zh
语言置信度：1
分段数：272
生成时间：2026-08-30 20:43:35

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:08] 谷歌的前CEO艾利克·斯密特总是喜欢给大家没事来一点惊人的言论
[00:00:08 - 00:00:11] 最近在华盛顿邮报的专访中
[00:00:11 - 00:00:13] 他又发表了一些针对于AI的见解
[00:00:13 - 00:00:17] 其中有一点就是AI即将要拥有永久的记忆了
[00:00:17 - 00:00:23] 而且他认为 AI绝对是我们有生之年所面临的最重要的技术突破
[00:00:23 - 00:00:27] 他所带来的变革堪称 一切无处不在 同时发生
[00:00:27 - 00:00:28] 史密特的原话是
[00:00:28 - 00:00:30] Everything everywhere all at once
[00:00:30 - 00:00:33] 而所有人对这场革命的重要性
[00:00:33 - 00:00:34] 认识还是远远不足的
[00:00:34 - 00:00:36] 今天我们就来聊一聊
[00:00:36 - 00:00:38] 在这场访谈中他究竟都说了什么
[00:00:38 - 00:00:41] 在我们之前做的斯坦福访谈的节目中
[00:00:41 - 00:00:43] 史密特就曾经说过
[00:00:43 - 00:00:46] 随着巨额资金的投入和顶尖人才的加入
[00:00:46 - 00:00:49] AI的发展正在进入一个关键的竞争阶段
[00:00:49 - 00:00:51] 这场竞争的重要性是不言而喻的
[00:00:51 - 00:00:53] 因为一个在我们控制之下的
[00:00:53 - 00:00:56] 具有如此强大力量的非人类智能的出现
[00:00:56 - 00:00:57] 是极其重要的
[00:00:57 - 00:00:59] 而且大家肉眼可見的是
[00:00:59 - 00:01:00] 在全球範圍內
[00:01:00 - 00:01:02] 這場競爭正在加速
[00:01:02 - 00:01:04] 所以在這次訪談中
[00:01:04 - 00:01:05] 詩米特先是提出了
[00:01:05 - 00:01:07] 2025年即將出現的
[00:01:07 - 00:01:09] 三大關鍵性技術突破
[00:01:09 - 00:01:12] 第一項便是無限的上下文窗口技術
[00:01:12 - 00:01:14] 如果我們把上下文窗口
[00:01:14 - 00:01:15] 理解為短期記憶的話
[00:01:15 - 00:01:18] 這就像是給AI賦予了永久記憶
[00:01:18 - 00:01:20] 當下的AI上下文窗口長度
[00:01:20 - 00:01:21] 還很有限
[00:01:21 - 00:01:23] 就拿我們讓AI閱讀20本書
