BV号：BV1tjT5zWETX
标题：BV1tjT5zWETX
链接：https://www.bilibili.com/video/BV1tjT5zWETX
识别语言：zh
语言置信度：1
分段数：600
生成时间：2026-08-30 03:16:45

[00:00:00 - 00:00:05] 大家好,我是為什麼叫QQ,最近人類簡史的作者尤爾-赫拉利
[00:00:05 - 00:00:11] 在油管的官方頻道上,更新了在東京慶英藝術大學所做的一場講座
[00:00:11 - 00:00:15] 主持人是慶英藝術大學的校長,伊藤公平
[00:00:15 - 00:00:18] 尤爾-赫拉利應該不需要我過多介紹了
[00:00:18 - 00:00:22] 他是一位以色列歷史學家,也是唱銷書,簡史三不取的作者
[00:00:22 - 00:00:27] 在六年前出版的今日簡史中,他指出了三大全球性的威脅
[00:00:27 - 00:00:28] 分别是核战
[00:00:28 - 00:00:30] 不受控制的生物技术发展
[00:00:30 - 00:00:31] 以及信息技术网络
[00:00:31 - 00:00:33] 与人工智能的失控
[00:00:33 - 00:00:34] 而在这场讲座中
[00:00:34 - 00:00:36] 他认为当年的三大威胁
[00:00:36 - 00:00:37] 和威胁和生物威胁
[00:00:37 - 00:00:39] 现在看来风险没有那么大
[00:00:39 - 00:00:41] 但是AI风险的优先级要高得多
[00:00:41 - 00:00:43] 如今在整个行业里
[00:00:43 - 00:00:45] 明显谈AI机遇的人更多
[00:00:45 - 00:00:46] 谈AI风险的人更少
[00:00:46 - 00:00:48] 之前我们听到最多的
[00:00:48 - 00:00:50] 应该就是心顿和本级奥了
[00:00:50 - 00:00:51] 所以
[00:00:51 - 00:00:52] 我今天再给大家分享一下
[00:00:52 - 00:00:54] 尤瓦尔的最新观点
[00:00:54 - 00:00:56] 伊藤公平在开场提出的问题是
[00:00:56 - 00:01:01] 为什么优娃尔在新书智人之上中将主要火力集中在了信息网络与AI之上
[00:01:01 - 00:01:04] 相较于生物技术和核战争威胁
[00:01:04 - 00:01:07] 这种优先级的调整是基于什么样的考量
[00:01:07 - 00:01:08] 优娃尔的回答非常清晰
[00:01:08 - 00:01:10] 他首先比较了AI与生物技术
[00:01:10 - 00:01:13] 虽然两者都能给世界带来巨大的改变
[00:01:13 - 00:01:16] 但是AI的发展速度现在远超生物技术
[00:01:16 - 00:01:18] 生物技术的变革周期漫长
[00:01:18 - 00:01:20] 因为生物学本身就慢得多
[00:01:20 - 00:01:23] 他举例说明对人类基因组进行修改
[00:01:23 - 00:01:24] 然后再观察他影响
[00:01:24 - 00:01:27] 再根据结果来进行更大的改变
[00:01:27 - 00:01:29] 这个过程可能需要持续二三十年
[00:01:29 - 00:01:30] 甚至四十年
[00:01:30 - 00:01:33] 才能够评估新的遗传物质对人类行为
[00:01:33 - 00:01:35] 智力、心理的具体作用
[00:01:35 - 00:01:36] 因此
[00:01:36 - 00:01:38] 生物技术领域
[00:01:38 - 00:01:40] 尤其是在涉及到人类的时候
[00:01:40 - 00:01:43] 它的待机周期大概会是二十到三十年
[00:01:43 - 00:01:44] 相比之下
[00:01:44 - 00:01:46] AI的迭代速度就快得惊人了
[00:01:46 - 00:01:48] 可能只需仅仅几天
[00:01:48 - 00:01:48] 它指出
[00:01:48 - 00:01:51] 数字进化比有机进化要快数百万倍
[00:01:51 - 00:01:52] 这就决定了
[00:01:52 - 00:01:54] 尽管生物技术的潜在危险
[00:01:54 - 00:01:55] 不容小去
[00:01:55 - 00:01:57] 但是AI因为其蓄猛的发展态势
[00:01:57 - 00:01:59] 而显得更为紧迫
[00:01:59 - 00:01:59] 接着
[00:01:59 - 00:02:02] 尤娃尔将AI与核威胁进行了对比
[00:02:02 - 00:02:03] 她认为
[00:02:03 - 00:02:05] 之所以更聚焦于AI
[00:02:05 - 00:02:06] 主要有两个原因
[00:02:06 - 00:02:07] 其一
[00:02:07 - 00:02:09] 核战没有任何积极的意义可言
[00:02:09 - 00:02:11] 因此也没有支持者
[00:02:11 - 00:02:13] 自从1945年以来
[00:02:13 - 00:02:14] 国际体系中最大的竞技
[00:02:14 - 00:02:18] 就是强国不能仅仅因为自身的强大就入侵
[00:02:18 - 00:02:20] 试图征服并且摧毁若国
[00:02:20 - 00:02:20] 如今
[00:02:20 - 00:02:22] 虽然这个竞技已经被打破
[00:02:22 - 00:02:25] 但是至少所有人都明白他的危险性
