BV号：BV1uBwTztEeJ
标题：BV1uBwTztEeJ
链接：https://www.bilibili.com/video/BV1uBwTztEeJ
识别语言：zh
语言置信度：1
分段数：210
生成时间：2026-08-29 20:14:08

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:05] 今天我们来聊一个听起来有点玄
[00:00:05 - 00:00:07] 但其实无处不在的概念
[00:00:07 - 00:00:07] 永县
[00:00:07 - 00:00:09] 你有没有想过
[00:00:09 - 00:00:10] 一只蚂蚁什么都不懂
[00:00:10 - 00:00:12] 但一群蚂蚁却能建造出
[00:00:12 - 00:00:14] 比摩天大楼还要精密的地下王国
[00:00:14 - 00:00:16] 一个神经员什么都不知道
[00:00:16 - 00:00:18] 但一千一个神经员放在一起
[00:00:18 - 00:00:20] 就产生了人类的意识
[00:00:20 - 00:00:23] 这种整体远大于部分之合的神奇现象
[00:00:23 - 00:00:26] 在科学上有一个专属名词叫做永县
[00:00:26 - 00:00:28] 今天这期内容来自英国物理学会
[00:00:28 - 00:00:29] IOP
[00:00:29 - 00:00:32] 非线性与复杂物理性去小组的播客
[00:00:32 - 00:00:35] 主题正是复杂系统中的永限法则
[00:00:35 - 00:00:37] 我把里面最核心的内容提炼出来
[00:00:37 - 00:00:39] 加上一些最新的案例
[00:00:39 - 00:00:40] 但你真正搞懂这个
[00:00:40 - 00:00:43] 改变了科学家世界观的概念
[00:00:43 - 00:00:45] 先从最直观的例子说起
[00:00:45 - 00:00:46] 蚂蚁密食
[00:00:46 - 00:00:47] 科学家发现
[00:00:47 - 00:00:48] 以群能自动找到
[00:00:48 - 00:00:51] 从巢学到食物的最短路径
[00:00:51 - 00:00:52] 但问题是
[00:00:52 - 00:00:54] 每只蚂蚁的大脑极其简单
[00:00:54 - 00:00:55] 根本不可能规划比自己
[00:00:55 - 00:00:57] 身长长几十倍的路径
[00:00:57 - 00:00:59] 那这个集体智慧是怎么来的
[00:00:59 - 00:01:02] 答案是蚂蚁找到食物会释放信息素
[00:01:02 - 00:01:04] 信息素吸引更多蚂蚁
[00:01:04 - 00:01:05] 同时信息素也会挥发
[00:01:05 - 00:01:07] 走得越短的路径
[00:01:07 - 00:01:08] 信息素积累越快
[00:01:08 - 00:01:10] 蚂蚁越多形成正反馈
[00:01:10 - 00:01:12] 就这么简单的三条规则
[00:01:12 - 00:01:12] 一个
[00:01:12 - 00:01:15] 无灵导者的最优路径规划系统
[00:01:15 - 00:01:16] 就自发出现了
[00:01:16 - 00:01:17] 没有指挥官
[00:01:17 - 00:01:18] 没有全局规划
[00:01:18 - 00:01:20] 没有任何一只蚂蚁
[00:01:20 - 00:01:21] 直到最终答案
[00:01:21 - 00:01:22] 但答案就这样涌现出来了
[00:01:22 - 00:01:24] 这就是涌现的核心定义
[00:01:24 - 00:01:26] 系统整体展现出的属性
[00:01:26 - 00:01:30] 不属于任何单个组成部分类似的例子还有很多
[00:01:30 - 00:01:33] 渔群遇到天敌时会瞬间变成一个超级大鱼的形状
[00:01:33 - 00:01:35] 让补食者产生错觉
[00:01:35 - 00:01:37] 没有任何一条鱼发出指令
[00:01:37 - 00:01:40] 这个集体防御行为就自发形成了
[00:01:40 - 00:01:41] 还有年均
[00:01:41 - 00:01:42] 一种单细胞生物
[00:01:42 - 00:01:46] 当时无愧法时数百万个单细胞会自发聚合
[00:01:46 - 00:01:50] 形成一个能移动能密实的多细胞超级个体
[00:01:50 - 00:01:52] 甚至会优化自己的密实路径
[00:01:52 - 00:01:55] 效率几乎媲美人类设计的交通网络
[00:01:55 - 00:01:56] 科学家发现
[00:01:56 - 00:01:57] 涌线并不是一种现象
[00:01:57 - 00:01:59] 而是一个家族
[00:01:59 - 00:02:00] 德国学者
[00:02:00 - 00:02:00] Johann Frum
[00:02:00 - 00:02:02] 把涌线分成了四种类型
[00:02:02 - 00:02:03] 我们来逐一认识
[00:02:03 - 00:02:04] 第一种
[00:02:04 - 00:02:05] 简单涌线
[00:02:05 - 00:02:07] 这是最基础的一种
[00:02:07 - 00:02:09] 比如对一组数据求平均值
[00:02:09 - 00:02:12] 得到一个单个数据没有的君子属性
[00:02:12 - 00:02:14] 这种涌线我们每天都在用
[00:02:14 - 00:02:15] 但它太普通了
[00:02:15 - 00:02:17] 不是我们今天关注的重点
[00:02:17 - 00:02:18] 第二种
[00:02:18 - 00:02:19] 若涌线
[00:02:19 - 00:02:20] 这里开始有意思了
[00:02:20 - 00:02:24] 若永县的特征是出现了自善而下的因果关系
[00:02:24 - 00:02:27] 还是以群的例子,整个以群要渡河
[00:02:27 - 00:02:30] 边缘的几只蚂蚁就会牺牲自己成为乔梁
[00:02:30 - 00:02:32] 这里不是某只蚂蚁主动选择牺牲
[00:02:32 - 00:02:36] 而是整体的生存需求反过来影响了个体的行为
[00:02:36 - 00:02:40] 宏观决定危管,这就是若永县的精髓
[00:02:40 - 00:02:42] 第三种,多重永县
[00:02:42 - 00:02:44] 康薇的生命游戏是最经典的案例
[00:02:44 - 00:02:46] 这是一个极简的计算机模拟
[00:02:46 - 00:02:49] 每个格子只有活或死两种状态
[00:02:49 - 00:02:51] 遵循三条简单规则
[00:02:51 - 00:02:52] 但就是这三条规则
[00:02:52 - 00:02:55] 产生了无数种复杂的宏观图案
[00:02:55 - 00:02:56] 有静止的
[00:02:56 - 00:02:57] 有震荡的
[00:02:57 - 00:02:58] 有会移动的花香机
[00:02:58 - 00:03:00] 甚至有人用这些图案
[00:03:00 - 00:03:02] 搭出了一台能运行的抽象计算机
[00:03:02 - 00:03:04] 同一套微观规则
[00:03:04 - 00:03:06] 涌现出了多种截然不同的宏观现象
[00:03:06 - 00:03:08] 这就是多重涌现
[00:03:08 - 00:03:09] 第四种
[00:03:09 - 00:03:10] 强涌现
[00:03:10 - 00:03:11] 这是最神秘
[00:03:11 - 00:03:12] 最令人着迷的一种
[00:03:12 - 00:03:15] 强涌现涉及三个以上的尺度微观
[00:03:15 - 00:03:16] 界观 宏观
[00:03:16 - 00:03:18] 而且界观层完全隔断了
[00:03:18 - 00:03:21] 微观和宏观之间的直接因果联系
[00:03:21 - 00:03:23] 最典型的例子就是意识
[00:03:23 - 00:03:27] 从单个神经源到神经回路再到人类意识
[00:03:27 - 00:03:30] 每一层的规律都无法从下一层直接推导出来
[00:03:30 - 00:03:33] 你无法用神经源的电信号来解释爱或痛苦
[00:03:33 - 00:03:35] 这就是强永先的本质
[00:03:35 - 00:03:38] 现在我们把目光转向当下最热门的领域
[00:03:38 - 00:03:39] 人工智能
[00:03:39 - 00:03:43] 过去几年大语言模型LLM的发展
[00:03:43 - 00:03:45] 让永县这个词重新火了起来
[00:03:45 - 00:03:46] 研究人员发现
[00:03:46 - 00:03:49] 当模型的参数规模超过某个邻界点时
[00:03:49 - 00:03:53] 它会突然解锁一些小模型完全不具备的能力
[00:03:53 - 00:03:54] 比如多不推理
[00:03:54 - 00:03:56] 少样本学习类比思考
