BV号：BV1uHfoYwEsy
标题：BV1uHfoYwEsy
链接：https://www.bilibili.com/video/BV1uHfoYwEsy
识别语言：zh
语言置信度：1
分段数：371
生成时间：2026-09-07 00:52:36

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:07] 前一段时间DeepSync V3的发布引起了全世界的关注
[00:00:07 - 00:00:10] 而背后的团队和领导者却非常低调
[00:00:10 - 00:00:11] 显有曝光
[00:00:11 - 00:00:14] 公司的创始人梁文峰在网上公开的采访
[00:00:14 - 00:00:15] 更是只有聊聊几篇
[00:00:16 - 00:00:18] 今天我们就来尝试输了一下梁文峰
[00:00:18 - 00:00:20] 和DeepSync的发展历史
[00:00:20 - 00:00:23] 看看它是如何从一家积极无名的小公司
[00:00:23 - 00:00:27] 变成让世界矚目的来自于东方的神秘力量
[00:00:27 - 00:00:29] 准确的说 梁文峰是幻方亮画
[00:00:29 - 00:00:31] 和深度求索這兩家公司的創始人
[00:00:32 - 00:00:33] 1985年
[00:00:33 - 00:00:34] 他出生於廣東戰江
[00:00:34 - 00:00:36] 父親是一名小學老師
[00:00:36 - 00:00:38] 而梁文峰則從小就展現出了
[00:00:38 - 00:00:40] 對於數學建模的濃厚興趣
[00:00:40 - 00:00:41] 2002年
[00:00:41 - 00:00:42] 年僅17歲的梁文峰
[00:00:42 - 00:00:45] 成功考入浙江大學電子信息工程專業
[00:00:45 - 00:00:47] 開啟了他的學術之旅
[00:00:47 - 00:00:48] 2007年
[00:00:48 - 00:00:52] 他繼續攻讀浙江大學信息與通信工程專業研究生
[00:00:52 - 00:00:55] 是從相至於專注於機器視覺研究
[00:00:55 - 00:00:56] 並且發表了論文
[00:00:56 - 00:00:59] 一種魯棒的PTA攝像機目標跟蹤算法
[00:00:59 - 00:01:02] 2008年全球金融危機爆發
[00:01:02 - 00:01:04] 大多數人都在為經濟的動盪而擔憂
[00:01:04 - 00:01:07] 而梁文峰卻看到了其中的機遇
[00:01:07 - 00:01:08] 他與同學一起組隊
[00:01:08 - 00:01:10] 開始積累市場行情數據
[00:01:10 - 00:01:12] 金融市場的相關數據
[00:01:12 - 00:01:13] 以及宏觀經濟等數據
[00:01:13 - 00:01:16] 並且率先使用機器學習等前沿技術
[00:01:16 - 00:01:18] 來探索全自動的量化交易
[00:01:18 - 00:01:21] 當時據說大疆的創始人汪濤
[00:01:21 - 00:01:22] 在大疆起步的時候
[00:01:22 - 00:01:24] 曾經邀請梁文峰一起創業
[00:01:24 - 00:01:26] 但是梁文峰堅信
[00:01:26 - 00:01:27] 人工智能將會改變世界
[00:01:27 - 00:01:31] 依然决然地选择了自己创业这条充满挑战的道路
[00:01:31 - 00:01:32] 2010年6月
[00:01:32 - 00:01:36] 梁文峰顺利从浙江大学信息与通信工程专业硕士毕业
[00:01:36 - 00:01:37] 2013年
[00:01:37 - 00:01:41] 28岁的梁文峰与同样来自于浙江大学的同学徐晋
[00:01:41 - 00:01:44] 携手创办了杭州亚克比投资管理有限公司
[00:01:44 - 00:01:47] 为他日后在金融领域的发展奠定了基础
[00:01:47 - 00:01:50] 2015年对于中国练化私墓行业来说
[00:01:50 - 00:01:52] 是一个重要的转折点
[00:01:52 - 00:01:54] 4月中正500股指期货上市
[00:01:54 - 00:01:57] 标志着中国量化私墓进入了二代零时代
[00:01:57 - 00:02:02] 量化基金拥有了更强大的工具和更丰富的对冲手段
[00:02:02 - 00:02:04] 市场格局也在发生着变化
[00:02:04 - 00:02:05] 在这一年的6月
[00:02:05 - 00:02:08] 30岁的梁文峰与徐晋抓住机遇
[00:02:08 - 00:02:10] 加入了阳光私墓大军
[00:02:10 - 00:02:13] 在浙江杭州创办了杭州换方科技有限公司
[00:02:13 - 00:02:16] 如今的浙江九章资产管理有限公司
[00:02:16 - 00:02:19] 依靠数学与人工智能进行量化投资
[00:02:19 - 00:02:21] 即便在当年国内发生了股灾的情况下
[00:02:21 - 00:02:24] 梁文峰的团队依然凭借着高频量化投资策略
[00:02:24 - 00:02:26] 取得了不错的成绩
[00:02:26 - 00:02:29] 当时公司只有10张GPU的显卡
[00:02:29 - 00:02:30] 在这一年的10月和12月
[00:02:30 - 00:02:33] 公司更是在一天内成立了实质产品
[00:02:33 - 00:02:35] 展现出了强大的募资能力
[00:02:35 - 00:02:36] 2016年2月
[00:02:36 - 00:02:38] 然而丰与徐静成立了
