BV号：BV1uYFUe1Eea
标题：BV1uYFUe1Eea
链接：https://www.bilibili.com/video/BV1uYFUe1Eea
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-08-30 17:46:32

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 今天是大年初二 所以还是要给大家拜个年
[00:00:06 - 00:00:10] 随着DeepSig一下子成为了全球AI行业的焦点
[00:00:10 - 00:00:13] 这两天很多媒体还是在围绕着他来讨论
[00:00:13 - 00:00:16] 甚至开始引发了新一轮激烈的争议和行动
[00:00:16 - 00:00:20] 这个视频 大飞就来给大家汇总一下相关的新闻
[00:00:20 - 00:00:23] 更重要的是 如果你对这些新闻都不感兴趣
[00:00:23 - 00:00:25] 也希望你能够看到最后
[00:00:25 - 00:00:28] 那里等待大家的将是对人类终极问题的思考
[00:00:28 - 00:00:32] Deepseig这家公司在AI行业中本来积极无名
[00:00:32 - 00:00:35] 但是这个月他用560万美元的投入
[00:00:35 - 00:00:38] 2048块应为达H800芯片
[00:00:38 - 00:00:41] 成功训练出了671b参数的威胁模型
[00:00:41 - 00:00:46] 紧接着又发布了推理模型R1和多摩泰模型Yanus Pro
[00:00:46 - 00:00:50] 这些成就让他一下子在竞争激烈的AI赛道上脱颖而出
[00:00:50 - 00:00:53] 但是也成为了后续一系列争议的导火所
[00:00:53 - 00:00:55] 从昨天开始
[00:00:55 - 00:00:59] 美国各方就频频地对Deepseg发出偷窃数据的指控
[00:00:59 - 00:01:02] 首先站出来发生的是特朗普的AI事务主管
[00:01:02 - 00:01:04] 大卫萨克斯
[00:01:04 - 00:01:06] 在接受福克斯新闻采访的时候
[00:01:06 - 00:01:08] 他声称掌握了确凿的证据
[00:01:08 - 00:01:10] 表明Deepseg利用了征留技术
[00:01:10 - 00:01:14] 从OPI模型的输出数据中来开发自身模型
[00:01:14 - 00:01:16] 但是到底都有哪些证据
[00:01:16 - 00:01:17] 他却直字未提
[00:01:17 - 00:01:20] 紧接着微软也有研究人员表示
[00:01:20 - 00:01:22] 由于Deepseg相关的个人
[00:01:22 - 00:01:26] 在去年秋天使用OPI的API大规模提取數據
[00:01:26 - 00:01:29] 作為OPI的技術合作夥伴和最大的投資者
[00:01:29 - 00:01:32] 微軟將這件事透露給OPI之後
[00:01:32 - 00:01:34] OPI隨即也發表了聲明
[00:01:34 - 00:01:35] 稱注意到中國的一些團隊
[00:01:36 - 00:01:37] 包括DeepSake
[00:01:37 - 00:01:40] 可能存在著不正當徵留OPI模型的跡象
[00:01:40 - 00:01:42] 並且正在對此展開審查
[00:01:42 - 00:01:43] OPI還強調
[00:01:43 - 00:01:46] 會採取一系列保護措施來維護知識產權
[00:01:46 - 00:01:49] 同時認為與美國政府展開密切的合作
[00:01:49 - 00:01:52] 對於保護美國先進的AI技術至關重要
[00:01:52 - 00:01:55] 其实在AI业界 征留技术并不罕见
[00:01:55 - 00:01:57] 它是一种常见的模型训练方法
[00:01:57 - 00:02:00] 在OPI的服务条款中明确规定了
[00:02:00 - 00:02:02] 用户不得复制其任何服务
[00:02:02 - 00:02:06] 也不能使用输出来开发与OPI存在竞争的模型
[00:02:06 - 00:02:08] 不过实际上 中美两国的AI实验室
[00:02:08 - 00:02:10] 在训练的过程中
[00:02:10 - 00:02:12] 普遍都会使用OPI模型的输出内容
[00:02:12 - 00:02:15] 因为毕竟OPI是句子
[00:02:15 - 00:02:17] 雇用了专业的人员来训练模型
[00:02:17 - 00:02:19] 这种人类对其训练的成本高昂
[00:02:19 - 00:02:21] 一般公司很难承受
[00:02:21 - 00:02:22] 利用OpenI的输出数据
[00:02:22 - 00:02:26] 就相当于免费获得了人类反馈这个训练的环节
[00:02:26 - 00:02:29] 这也反映出在实际的AI研发中
[00:02:29 - 00:02:30] 对于数据的使用界限
[00:02:30 - 00:02:32] 其实存在着一定的模糊地带
[00:02:32 - 00:02:34] 面对这些指控
[00:02:34 - 00:02:35] 最先站出来反对的
[00:02:35 - 00:02:38] 反而是美国AI领域内的一些专业人士
[00:02:38 - 00:02:41] 机器学习领域的大牛赛巴斯迪安·拉斯卡
[00:02:41 - 00:02:43] 就对这种手法进行了驳斥
[00:02:43 - 00:02:45] 他指出在大原模型的背景下
[00:02:45 - 00:02:47] 征流这个数据的使用相当宽泛
[00:02:47 - 00:02:50] 在DeepSig的R2模型训练中
[00:02:50 - 00:02:53] 所谓的争留只是意味着他们被监督微条创建
[00:02:53 - 00:02:54] 并且整理了一个数据集
[00:02:54 - 00:02:58] 用来训练基于通问签议和拉马的R1模型
[00:02:58 - 00:03:00] 而徒林奖得主杨立坤也转发了
[00:03:00 - 00:03:04] Purplexity CEO阿拉文德.斯利尼瓦斯的一篇推文
[00:03:04 - 00:03:07] 对Deep Sake.克隆OpenI成果的说法进行了澄清
[00:03:07 - 00:03:09] 斯利尼瓦斯在铁子中写道
[00:03:09 - 00:03:12] 很多人认为中国克隆了OpenI的成果
[00:03:12 - 00:03:14] 这是对模型训练方式的片面理解
[00:03:14 - 00:03:17] Deep Sake已经找到了强化学习微条的方法
[00:03:17 - 00:03:19] 在R1的论语中
[00:03:19 - 00:03:21] 他们并没有使用监督微调
[00:03:21 - 00:03:22] 而是结合了一些监督微调
[00:03:22 - 00:03:24] 并且通过良好的拒绝采样
[00:03:24 - 00:03:25] 来增加领域知识
[00:03:25 - 00:03:29] DeepSig R1之所以表现出色的主要原因
[00:03:29 - 00:03:31] 是他从零开始学习推理能力
[00:03:31 - 00:03:34] 而不是简单地模仿人类或者是其他的模型
