BV号：BV1ut5R6CEmn
标题：BV1ut5R6CEmn
链接：https://www.bilibili.com/video/BV1ut5R6CEmn
识别语言：zh
语言置信度：1
分段数：236
生成时间：2026-08-29 08:40:40

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 你有没有发现自从用了AI写代码
[00:00:04 - 00:00:07] 你的代码库正在以揉眼可见的速度
[00:00:07 - 00:00:09] 变成一坨难以维护的史山
[00:00:09 - 00:00:11] 大家都在吹捧所谓的vibecoding
[00:00:11 - 00:00:13] 也就是不经过深思熟虑
[00:00:13 - 00:00:16] 只凭直觉让AI生成代码的做法
[00:00:16 - 00:00:17] 仿佛只要动动嘴皮子
[00:00:17 - 00:00:19] AI就能帮你搞定一切
[00:00:19 - 00:00:22] 但现实是 AI生成的代码经常跑不通
[00:00:22 - 00:00:24] 甚至连你的需求都听不懂
[00:00:24 - 00:00:29] 今天我们要拆解一个在getup上狂揽8万多star的保障仓库
[00:00:29 - 00:00:31] 他的作者不仅是一位前Versail工程师
[00:00:31 - 00:00:33] 更是一位曾经的声乐教练
[00:00:33 - 00:00:36] 他用一套硬核的AI工作流告诉我们
[00:00:36 - 00:00:39] 在AI时代软件工程的基础不仅没有过时
[00:00:39 - 00:00:41] 反而比一往任何时候都更重要
[00:00:41 - 00:00:43] 不知道你们在用Cloud Code
[00:00:43 - 00:00:45] 或其他AI编程工具的时候
[00:00:45 - 00:00:47] 有没有遇到过这三个知名问题
[00:00:47 - 00:00:49] 第一 你以为AI懂了
[00:00:49 - 00:00:52] 结果他写出来的东西和你想要的南云北辙
[00:00:52 - 00:00:54] 第二 AI特别喜欢长篇大论
[00:00:54 - 00:00:57] 用一对废话来演示他对项目背景的无知
[00:00:57 - 00:00:59] 第三也是最可怕的
[00:00:59 - 00:01:01] AI写代码的速度太快了
[00:01:01 - 00:01:03] 导致代码库的商增急剧加速
[00:01:03 - 00:01:08] 原本清晰的架构很快就退化成了面目全非的史山
[00:01:08 - 00:01:10] 面对这些问题我们到底该怎么办
[00:01:10 - 00:01:13] 难道AI编程真的只是一场美丽的泡沫吗
[00:01:13 - 00:01:14] 要回答这个问题
[00:01:14 - 00:01:16] 我们得先认识一个人
[00:01:16 - 00:01:17] Matt Poccock
[00:01:17 - 00:01:18] 如果你写过TypeScript
[00:01:18 - 00:01:20] 大概率看过他的教程
[00:01:20 - 00:01:22] 他是Total TypeScript的课程的创作者
[00:01:22 - 00:01:25] 也是TypeScript社区最有影响力的教育者之一
[00:01:25 - 00:01:28] 他曾在Versel担任开发者、倡导者
[00:01:28 - 00:01:32] 也曾在State里XState背后的公司、工作
[00:01:32 - 00:01:34] 是XState的核心贡献者
[00:01:34 - 00:01:36] 但最让人意想不到的是
[00:01:36 - 00:01:38] 在成为顶尖工程师之前
[00:01:38 - 00:01:40] 他竟然是一名生液教练
[00:01:40 - 00:01:42] 这种跨界的背景
[00:01:42 - 00:01:45] 让他对沟通和表达有着极其敏锐的直觉
[00:01:45 - 00:01:49] 最近,MAT将自己日常使用的一组AIAgent Skills
[00:01:49 - 00:01:50] 整理并开源
[00:01:50 - 00:01:51] 这个名为Skills的仓库
[00:01:51 - 00:01:54] 副标题就是Skills for Real Engineers
[00:01:54 - 00:01:58] 强调的是真正的工程实践而不是vabcoding
[00:01:58 - 00:01:59] 它迅速在getup上爆火
[00:01:59 - 00:02:02] 目前已经获得了8万多个star
[00:02:02 - 00:02:03] mad在仓库的readme中
[00:02:03 - 00:02:06] 直言不会的批评了当前流行的gsd
[00:02:06 - 00:02:11] b,m,ad,speckit等试图接管整个开发流程的工具
[00:02:11 - 00:02:14] 他认为这些工具剥夺了开发者的控制权
[00:02:14 - 00:02:16] 使得调试变得一场困难
[00:02:16 - 00:02:18] 相反他设计的这套skills
[00:02:18 - 00:02:21] 主打小型意识配合组合
[00:02:21 - 00:02:23] 并且可以与任何大模型配合使用
[00:02:23 - 00:02:25] 我们先来看第一个通点
[00:02:25 - 00:02:27] AI为什么总是听不懂你的需求
[00:02:27 - 00:02:28] MAT认为
[00:02:28 - 00:02:31] 软件开发中最常见的失败模式就是对齐失败
[00:02:31 - 00:02:33] 你以为AI懂了
[00:02:33 - 00:02:34] 其实它根本没懂
[00:02:34 - 00:02:36] 为了解决这个问题
[00:02:36 - 00:02:38] MAT设计了一个叫做GrillMe的技能
[00:02:38 - 00:02:41] Grill在英文里有盘问考问的意思
[00:02:41 - 00:02:42] 当你使用这个技能时
[00:02:42 - 00:02:44] AI不再是那个指挥说好的
[00:02:44 - 00:02:46] 我马上写代码的顺从助手
[00:02:46 - 00:02:48] 而是变成了一个严厉的面试官
[00:02:48 - 00:02:51] 它会不断地向你提出尖锐的问题
[00:02:51 - 00:02:53] 逼着你把模糊的想法巨像化
[00:02:53 - 00:02:56] 直到决策出的每一个分支都被彻底理清
[00:02:56 - 00:02:58] 比如你让AI写一个登录页面
[00:02:58 - 00:03:02] 它不会马上开始写HTML和CSS
