BV号：BV1vDqaYUEND
标题：BV1vDqaYUEND
链接：https://www.bilibili.com/video/BV1vDqaYUEND
识别语言：zh
语言置信度：1
分段数：276
生成时间：2026-08-31 03:27:02

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:05] 在这个人工智能浪潮洶湧的时代
[00:00:05 - 00:00:08] 算力就如同战场上的军火
[00:00:08 - 00:00:11] 是各大科技巨头竞互争夺的战略资源
[00:00:11 - 00:00:13] 今天我们就来根据公开的数据
[00:00:13 - 00:00:17] 探讨一下全球五大巨头的GPU总量情况
[00:00:17 - 00:00:20] 看看这场算力军备竞赛究竟有多么激烈
[00:00:20 - 00:00:23] 而谁又可能在这场角逐中脱影而出
[00:00:23 - 00:00:26] 首先在这场AI巨头的芯片之争中
[00:00:26 - 00:00:29] 英伟达可以说是稳坐GPU霸主的宝座
[00:00:29 - 00:00:33] 数益中心收入在近年来实现了爆发式的增长
[00:00:33 - 00:00:38] 2024年仅数益中心的收入预计就将达到1100亿美元
[00:00:38 - 00:00:41] 比2023年的420亿美元增长了一倍还多
[00:00:41 - 00:00:45] 2025年更是有望突破1730亿美元
[00:00:45 - 00:00:49] 而这背后的收入主力就是其强大的GPU产品
[00:00:49 - 00:00:54] 根据估计2025年英伟来的销量为650万到700万块GPU
[00:00:54 - 00:00:57] 几乎全是最新的Hopper和Blackwell系列
[00:00:57 - 00:01:00] 根據生產比例和產量預期
[00:01:00 - 00:01:04] 其中大約包括200萬塊的Hopper 500萬塊的Blackware
[00:01:04 - 00:01:06] 這些先進的GPU產品
[00:01:06 - 00:01:09] 將為全球各大的科技公司提供強大的算力支持
[00:01:09 - 00:01:13] 也進一步鞏固了英偉達在GPU市場的主導地位
[00:01:13 - 00:01:16] 不過2024年英偉達的實際產量數據相對較少
[00:01:16 - 00:01:18] 而且存在著一些不確定性
[00:01:18 - 00:01:21] 有估算成2024年第四季度
[00:01:21 - 00:01:24] 將生產大約150萬塊Hopper GPU
[00:01:24 - 00:01:27] 但是其中包括一些性能較低的H20芯片
[00:01:27 - 00:01:29] 因此是一个上限值
[00:01:29 - 00:01:32] 根据季度间数据中心的收入比例推测
[00:01:32 - 00:01:36] 全年生产总量可能上限为400万块到500万块
[00:01:36 - 00:01:40] 虽然这个数据与年初估计的150万块到200万块
[00:01:40 - 00:01:42] H100的生产量存在着差异
[00:01:42 - 00:01:45] 但是英伟达在GPU生产方面的强大实力
[00:01:45 - 00:01:46] 勿用质疑
[00:01:46 - 00:01:49] 我们再来说一说英伟达的客户结构和销售模式
[00:01:49 - 00:01:53] 英伟达的客户分为直接客户和间接客户两种
[00:01:53 - 00:01:56] 其中46%的收入来自于直接客户
[00:01:56 - 00:02:00] 包括像SMC、HPE、Dare这样的系统集成商
[00:02:00 - 00:02:03] 这些系统集成商采购完GPU之后
[00:02:03 - 00:02:06] 会组装成服务器再提供给间接客户来使用
[00:02:06 - 00:02:09] 而间接客户覆盖范围得更加广泛
[00:02:09 - 00:02:11] 包括公有云的服务提供商
[00:02:11 - 00:02:13] 互联网消费类公司
[00:02:13 - 00:02:14] 企业用户
[00:02:14 - 00:02:16] 公共部门机构和创业公司等等
[00:02:16 - 00:02:20] 像微软、Meta、谷歌、严瓦逊、XEI这些巨头
[00:02:20 - 00:02:22] 都属于间接客户
[00:02:22 - 00:02:24] 因为达2024年的财年报告中披露
[00:02:24 - 00:02:26] 大约19%的总收入
[00:02:26 - 00:02:30] 来自于通过系统集生商和分销商采购产品的间接客户
[00:02:30 - 00:02:33] 接下来我们来看一下巨头们的算力布局
[00:02:33 - 00:02:35] 在这场算力大战中
[00:02:35 - 00:02:37] 微软无疑是一个强劲的竞争者
[00:02:37 - 00:02:40] 它不仅拥有全球最大的公伍云服务平台之一Aero
[00:02:40 - 00:02:43] 为微软提供了强大的计算资源基础
[00:02:43 - 00:02:46] 同时微软还是OpenI的主要算力供应商
[00:02:46 - 00:02:47] 与OpenI的紧密合作
[00:02:47 - 00:02:50] 让它在人工智能领域的布局更加深远
[00:02:50 - 00:02:51] 值得注意的是
[00:02:51 - 00:02:53] 微軟並沒有像谷歌和嚴瑪遜那樣
[00:02:53 - 00:02:56] 大規模的部署自己的定制芯片
[00:02:56 - 00:02:58] 而是選擇以英偉達進行深度的合作
[00:02:58 - 00:02:59] 事實上
[00:02:59 - 00:03:02] 微軟以英偉達建立了一種特殊的合作關係
[00:03:02 - 00:03:05] 它也是首個獲得Blackwell GPU的公司
[00:03:05 - 00:03:06] 早在今年10月份
[00:03:06 - 00:03:10] 微軟Aero就已經開始測試32個Gb200服務器的機架
[00:03:10 - 00:03:13] 這表明了微軟在追求先進算力方面的積極態度
[00:03:13 - 00:03:16] 根據一些估算和分析
[00:03:16 - 00:03:18] 微軟在英偉達銷售中的份額的
[00:03:18 - 00:03:21] 雖然在2024年較2023年有所降低
[00:03:21 - 00:03:23] 但是仍然占据着重要的地位
[00:03:23 - 00:03:26] 2024年微软的收入占比数据显示
[00:03:26 - 00:03:29] 其上半年在英伟达的收入占比为13%
[00:03:29 - 00:03:31] 第三季度则超过了10%
[00:03:31 - 00:03:33] 综合各种因素
