BV号：BV1vuoCBsEeb
标题：BV1vuoCBsEeb
链接：https://www.bilibili.com/video/BV1vuoCBsEeb
识别语言：zh
语言置信度：1
分段数：267
生成时间：2026-08-29 08:13:45

[00:00:00 - 00:00:02] 大家好 我是为什么叫QQ
[00:00:02 - 00:00:04] 上期视频我们解读了Deep Seek V4
[00:00:04 - 00:00:07] 在华为生腾等国产芯片上的表现
[00:00:07 - 00:00:08] 很多朋友在评论区说
[00:00:08 - 00:00:11] 终于看到了国产算力的真实水平
[00:00:11 - 00:00:13] 但我今天要说的可能会刷新你的认知
[00:00:13 - 00:00:17] 你们现在都以为AI全是英伟达的GPU在撑着对吧
[00:00:17 - 00:00:18] 其实根本不是这样
[00:00:18 - 00:00:21] 一场算力的大变革早就开始了
[00:00:21 - 00:00:22] 有些新的芯片架构
[00:00:22 - 00:00:24] 推理速度能比GPU快100倍
[00:00:24 - 00:00:28] 英伟达2026年预计销售额1万亿美元
[00:00:28 - 00:00:29] 听起来很无敌
[00:00:29 - 00:00:31] 但同时GroxRibber这些公司
[00:00:31 - 00:00:33] 还有咱们的华为生腾
[00:00:33 - 00:00:35] 都在用完全不同的思路
[00:00:35 - 00:00:37] 重新定义什么叫算力
[00:00:37 - 00:00:39] 那你可能会问既然GPU这么强
[00:00:39 - 00:00:42] 为什么还有这么多人在造芯片呢
[00:00:42 - 00:00:43] 说白了GPU虽然快
[00:00:43 - 00:00:45] 但它有个天生的问题
[00:00:45 - 00:00:47] 这个问题特别在推理的时候暴露出来
[00:00:47 - 00:00:48] 所有的大模型
[00:00:48 - 00:00:50] ChadGPT,Claw Gemini
[00:00:50 - 00:00:51] 它们都需要一样东西
[00:00:51 - 00:00:52] 算力
[00:00:52 - 00:00:54] 但这个算力
[00:00:54 - 00:00:55] 远比你想的复杂
[00:00:55 - 00:00:57] 今天咱们就来看看
[00:00:57 - 00:01:00] 到底有哪五种完全不同的芯片架构在支撑AI?
[00:01:00 - 00:01:03] 看完你就明白了为什么说算力的世界这么残酷
[00:01:03 - 00:01:06] AI计算的本质说穿了就是做数学题
[00:01:06 - 00:01:08] 特别是举证惩罚
[00:01:08 - 00:01:10] 一个1000亿参数的模型
[00:01:10 - 00:01:13] 一次推理要做几万亿次惩罚
[00:01:13 - 00:01:14] 为了搞定这个问题
[00:01:14 - 00:01:17] 人类想出了五种完全不同的芯片
[00:01:17 - 00:01:20] CPU、GPU、TPU、MPU
[00:01:20 - 00:01:22] 还有最新的LPU
[00:01:22 - 00:01:24] 这五种芯片看起来都能跑 AI
[00:01:24 - 00:01:26] 但设计思路完全不一样
[00:01:26 - 00:01:28] 每一种都在做一个艰难的选择
[00:01:28 - 00:01:30] 在灵活性性能功耗之间
[00:01:30 - 00:01:31] 他们都得做出取舍
[00:01:31 - 00:01:34] 想要灵活性性能就会下降
[00:01:34 - 00:01:36] 想要性能功耗就会爆炸
[00:01:36 - 00:01:38] 想要省电通用性就得牺牲
[00:01:38 - 00:01:39] 这就是芯片设计的死局
[00:01:39 - 00:01:40] 先说CPU吧
[00:01:40 - 00:01:42] 英特尔AMD的处理器
[00:01:42 - 00:01:43] 这玩儿什么都能干
[00:01:43 - 00:01:45] 逻辑判断系统
[00:01:45 - 00:01:47] 调度复杂的条件分支全搞得定
[00:01:47 - 00:01:49] 它有很深的缓存
[00:01:49 - 00:01:50] 还有外接的DRM
[00:01:50 - 00:01:53] 所以CPU能处理任何复杂的任务
[00:01:53 - 00:01:54] 但问题来了
[00:01:54 - 00:01:57] 你让一个学霸去做几百万道简单加法
[00:01:57 - 00:01:58] 这不是浪费吗
[00:01:58 - 00:01:59] 所以GPU出现了
[00:01:59 - 00:02:01] 英伟达的GPU完全是另一个思路
[00:02:01 - 00:02:04] 不走精英路线走的是人海战术
[00:02:04 - 00:02:07] 成千上万个小核心一起干活
[00:02:07 - 00:02:08] 这叫高度病型
[00:02:08 - 00:02:13] 一个H100GPU有16384个枯带核心
[00:02:13 - 00:02:16] 他们能同时处理16384个操作
[00:02:16 - 00:02:19] 这就是为什么GPU在AI训练上这么强
[00:02:19 - 00:02:21] 但GPU有个致命的问题
[00:02:21 - 00:02:23] 每次算完都得把数据存回内存
[00:02:23 - 00:02:24] 下次再取出来
[00:02:24 - 00:02:25] 就像你没写一个字
[00:02:25 - 00:02:27] 都要跑去图书馆插字店
[00:02:27 - 00:02:28] 太浪费时间了
[00:02:28 - 00:02:30] 这个问题在推理是特别严重
[00:02:30 - 00:02:32] 推理就是你问我一个问题
[00:02:32 - 00:02:33] 我给你答案
[00:02:33 - 00:02:35] 这个过程需要一个token一个token的生成
[00:02:35 - 00:02:38] 每生成一个token都要访问一次内存
[00:02:38 - 00:02:41] 所以推理的瓶颈根本不是计算速度
[00:02:41 - 00:02:42] 而是内存带宽
[00:02:42 - 00:02:44] 即使你有再强的GPU推理也快不了
[00:02:44 - 00:02:46] 这个问题激发了
[00:02:46 - 00:02:48] 芯片设计师们的想象力
[00:02:48 - 00:02:49] 他们开始想有没有办法
[00:02:49 - 00:02:51] 让数据理算力更近一点
[00:02:51 - 00:02:52] 谷歌搞出了tpu
[00:02:52 - 00:02:53] 思路很直接
[00:02:54 - 00:02:55] 既然我專門做AI
[00:02:55 - 00:02:57] 那我就把芯片徹底定質化
[00:02:57 - 00:03:00] TPU的核心是一個成家運算陣列
[00:03:00 - 00:03:04] 通常是256x256的MAC單元矩陣
[00:03:04 - 00:03:06] 數據像波浪一樣在裡面流動
[00:03:06 - 00:03:08] 全中從一邊近
[00:03:08 - 00:03:09] 激活值從另一邊近
[00:03:09 - 00:03:11] 結果直接傳給下一個單元
[00:03:11 - 00:03:12] 根本不需要跑回內存
[00:03:12 - 00:03:14] 這叫脈動陣列
[00:03:14 - 00:03:15] 這個設計有多強
[00:03:15 - 00:03:16] 谷歌用TPU
[00:03:16 - 00:03:18] 把模型訓練時間從幾個月
[00:03:18 - 00:03:19] 所短到了幾天
[00:03:19 - 00:03:21] 一個Transformer模型
[00:03:21 - 00:03:22] GPU上要三個月
[00:03:22 - 00:03:24] TPU上只需要一周
[00:03:24 - 00:03:25] 但这里有个问题
[00:03:25 - 00:03:27] TPU只能待在云端机房里
[00:03:27 - 00:03:29] 你的手机电脑怎么办
[00:03:29 - 00:03:31] 不能把一个数据中心搬到你口袋里吧
[00:03:31 - 00:03:33] 所以NPU出现了
[00:03:33 - 00:03:34] 就是Neuro Processing Unit
[00:03:34 - 00:03:35] 逻辑很简单
[00:03:35 - 00:03:38] 在极低的功耗下完成AI推理
[00:03:38 - 00:03:41] 苹果的M4芯片集成了一个强大的NPU
[00:03:41 - 00:03:42] 叫Neuro Engine
[00:03:42 - 00:03:43] 苹果说
[00:03:43 - 00:03:45] M4的NPU算力是38Tops
[00:03:45 - 00:03:48] TOPS就是万一次辅典运算
[00:03:48 - 00:03:52] 38Tops意味着每秒能做38万亿次运算
[00:03:52 - 00:03:54] 但高通的骁龙XR Plus更猛
[00:03:54 - 00:03:55] 标到了80Topes
[00:03:55 - 00:03:57] 功耗才急吧
[00:03:57 - 00:03:59] 这就是为什么现在买的轻薄本
[00:03:59 - 00:04:00] 也能跑大模型了
[00:04:00 - 00:04:02] 苹果MacBook Air能直接跑辣马2
