BV号：BV1wCQxB6Epd
标题：BV1wCQxB6Epd
链接：https://www.bilibili.com/video/BV1wCQxB6Epd
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-08-29 07:48:28

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:04] 大家有没有发现一个很离谱的现象
[00:00:04 - 00:00:06] 在2026年的今天
[00:00:06 - 00:00:08] 我们可以用AI生成极其震撼的风景
[00:00:08 - 00:00:10] 甚至能模拟宇宙大爆炸
[00:00:10 - 00:00:13] 但只要画面转到人 尤其是正在说话的人
[00:00:13 - 00:00:15] 那种撲面而来的塑料感
[00:00:15 - 00:00:17] 就会瞬间把人拉出戏
[00:00:17 - 00:00:19] 表情声硬 口形对不上
[00:00:19 - 00:00:20] 最诡异的是
[00:00:20 - 00:00:23] 当你盯着那个人的眼睛看 超过10秒
[00:00:23 - 00:00:25] 你会感到一种莫名的几倍发粮
[00:00:25 - 00:00:27] 这就是著名的恐怖股效应
[00:00:27 - 00:00:30] 过去两年我们见证了Sora Clean Runway的狂标
[00:00:30 - 00:00:33] 但他们其实都刻意毁避了一个硬骨头
[00:00:33 - 00:00:36] 如何让AI生成一个像活人一样有情感
[00:00:36 - 00:00:39] 有反应且能长时间互动的数字生命
[00:00:39 - 00:00:40] 直到这两天
[00:00:40 - 00:00:43] 米哈尤创始人蔡浩宇带领的Anewtokon团队
[00:00:43 - 00:00:44] 丢出了这份名为
[00:00:44 - 00:00:48] LPM1.0的170亿参数模型报告
[00:00:48 - 00:00:50] 它不卷风景也不卷特效
[00:00:50 - 00:00:51] 它只此刻一件事
[00:00:51 - 00:00:54] 彻底终结AI虚拟角色的恐怖古时代
[00:00:54 - 00:00:57] 今天我们就来深度拆解一下
[00:00:57 - 00:00:59] 这个主打表演而非视频的模型
[00:00:59 - 00:01:03] 到底凭什么敢说自己重塑了虚拟角色的灵魂
[00:01:03 - 00:01:05] 在进入正题前我们得先搞清楚
[00:01:05 - 00:01:09] 为什么之前的数字人项目看起来都像会说话的假人
[00:01:09 - 00:01:13] Anilokon团队在报告中揭示了一个行业共同面对的
[00:01:13 - 00:01:14] 表现三难困境
[00:01:14 - 00:01:16] 1.表现质量
[00:01:16 - 00:01:18] 角色能不能展现微表情
[00:01:18 - 00:01:20] 能不能在说话时有眼神犹疑
[00:01:20 - 00:01:22] 现有的模型往往口形对齐了
[00:01:22 - 00:01:24] 但脸部肌肉是死的
[00:01:24 - 00:01:26] 2.实实推理
[00:01:26 - 00:01:28] 想要支持直播或者游戏交互
[00:01:28 - 00:01:30] 模型必须能因果式生成
[00:01:30 - 00:01:33] 你不能让玩家等一分钟才看到NPC的反应
[00:01:33 - 00:01:35] 追求画质往往就慢
[00:01:35 - 00:01:37] 追求速度画质就崩
[00:01:37 - 00:01:39] 3.长期稳定性
[00:01:39 - 00:01:40] 这是最难的
[00:01:40 - 00:01:44] 现有的自回归模型就像金鱼生成到30秒后
[00:01:44 - 00:01:46] 它就忘了角色第一秒长什么样
[00:01:46 - 00:01:48] 脸部特征开始飘移
[00:01:48 - 00:01:50] 甚至解剖结构开始崩坏
[00:01:50 - 00:01:53] 如果你玩过现在的很多数字人产品
[00:01:53 - 00:01:56] 你会发现他们大多只做到了其中一点
[00:01:56 - 00:01:58] 要么是播报固定文本的纸片人
[00:01:58 - 00:02:01] 要么是延迟极高的离线视频
[00:02:01 - 00:02:06] 而LPM1.0的野心是用一个170亿参数的架构
[00:02:06 - 00:02:09] 强行把这三个顶点连成一个臂环
[00:02:09 - 00:02:12] 大家要注意 LPM的全称是 Large
[00:02:12 - 00:02:13] Performance Model
[00:02:13 - 00:02:14] 大规模表演模型
[00:02:14 - 00:02:17] 这跟Sora这种video model有本质区别
[00:02:17 - 00:02:20] 视频模型关心的是像素的排列组合
[00:02:20 - 00:02:23] 但表演模型关心的是意图和反馈
[00:02:23 - 00:02:25] 正如表演大师麦斯那所说
[00:02:25 - 00:02:27] 表演就是反应
[00:02:27 - 00:02:28] 为了实现这种反应
[00:02:28 - 00:02:32] lpm1.0在底层架构上做了一个非常大胆的选择
[00:02:32 - 00:02:35] 放弃自回归拥抱扩散Transformer
[00:02:35 - 00:02:37] 自回归模型的知名弱点
[00:02:37 - 00:02:39] 在于它每一帧都依赖前一帧
[00:02:39 - 00:02:41] 误差会像滚雪球一样累架
[00:02:41 - 00:02:45] 而扩散架构则是先构建一个全局的逻辑框架
[00:02:45 - 00:02:47] 再进行细节去造
[00:02:47 - 00:02:50] 这让LPM1.0具备了身份一致性的硬实力
[00:02:50 - 00:02:53] 无论你生成一分钟还是一个小时
[00:02:53 - 00:02:56] 角色的面部特征和骨骼结构始终高度统一
[00:02:56 - 00:02:58] 绝不会发生视觉飘移
[00:02:58 - 00:03:02] 第一 它是全球第一个真正学会倾听的AI
[00:03:02 - 00:03:06] 这是我研究完这份170亿参数模型后最震撼的一点
[00:03:06 - 00:03:09] 以前的AI只要听到音频就开始动嘴
[00:03:09 - 00:03:12] 但人在交流时不说话的那个人难道是死的吗
[00:03:12 - 00:03:15] LPM1.0引入了三态真极音频标签
[00:03:15 - 00:03:18] 说话、清听、空闲
[00:03:18 - 00:03:19] 当你在跟他说话时
[00:03:19 - 00:03:22] 他的AI模型会自动识别进入清听态
[00:03:22 - 00:03:25] 他会点头、会皱眉、会根据你的语气
[00:03:25 - 00:03:27] 产生情绪上的共鸣反应
[00:03:27 - 00:03:30] 这才是真正的数字生命该有的节奏感
[00:03:30 - 00:03:32] 第二双模型降为打击
[00:03:32 - 00:03:35] LPM1.0分成了两个版本
[00:03:35 - 00:03:37] BaseLPM负责理线的高精度表演
[00:03:37 - 00:03:39] 主达影视级画质
[00:03:39 - 00:03:42] OnlineLPM负责实时流逝输入
[00:03:42 - 00:03:44] 最理朴的是它的Online版
[00:03:44 - 00:03:46] 在保持极低延迟的同时
[00:03:46 - 00:03:48] 居然还能做到身份的高度一致
[00:03:48 - 00:03:50] 这意味着未来的游戏NPC
[00:03:50 - 00:03:52] 可以根据你的极性垃圾化
[00:03:52 - 00:03:54] 露出一个非常女人的鄙视表情
[00:03:54 - 00:03:56] 而且延迟极低
[00:03:56 - 00:03:58] 第三性能基准LPM
[00:03:58 - 00:03:59] Bench
[00:03:59 - 00:04:01] Anewtokon团队为了证明自己
[00:04:01 - 00:04:03] 直接拉出了业界大佬快手可临
[00:04:03 - 00:04:05] 和Amnihuman 1.5
[00:04:05 - 00:04:06] 进行了暴力对比
[00:04:06 - 00:04:08] 在身份一致性之一向上
[00:04:08 - 00:04:13] LPM 1.0对比可临有58.5%的绝对优先度
[00:04:13 - 00:04:15] 在文本可控性上更是压倒性优势
[00:04:15 - 00:04:18] 这意味着你可以用文字命令它
[00:04:18 - 00:04:20] 带着一丝七两杆转过头
[00:04:20 - 00:04:23] 它能精准复刻这种复杂的情绪逻辑
[00:04:23 - 00:04:25] 现在我们来聊聊大家最关心的
[00:04:25 - 00:04:28] 它跟黑战这种现有的数字人项目有什么不同
[00:04:28 - 00:04:29] 科官分析
[00:04:29 - 00:04:31] 这是两套完全不同的生存法则
[00:04:31 - 00:04:34] 黑战解决的是播报和工具化问题
[00:04:34 - 00:04:37] 黑战是目前全球最好的C段Size产品
[00:04:37 - 00:04:40] 它让你能快速克隆声音翻译视频
[00:04:40 - 00:04:42] 它的核心是口型同步技术
[00:04:42 - 00:04:44] 你给他一篇文章
[00:04:44 - 00:04:47] 他还你一个口型对得上的数字传生统
[00:04:47 - 00:04:49] 他的重点是完成任务是低门看
[00:04:49 - 00:04:52] 而LPM 1.0解决的是表演
[00:04:52 - 00:04:54] 和底层视觉隐情问题
[00:04:54 - 00:04:57] LPM 1.0根本不在意你怎么剪视频
[00:04:57 - 00:05:00] 他在乎的是当他作为一个NPC出现在
[00:05:00 - 00:05:02] 原神这类开放世界礼时
[00:05:02 - 00:05:04] 他能不能跟你对戏
[00:05:04 - 00:05:06] 他能实现全双弓的实实交互
[00:05:06 - 00:05:09] 全双弓意味着他在输出表演的同时
[00:05:09 - 00:05:11] 感官系统是一直开着的
[00:05:11 - 00:05:14] 如果黑战像是一个预设好台词的播音员
[00:05:14 - 00:05:17] 那么lpm1.0就更像是一个
[00:05:17 - 00:05:20] 随时准备临场发挥的真人演员
[00:05:20 - 00:05:22] 这就是为什么蔡浩宇要去做这件事
[00:05:22 - 00:05:24] 因为对于游戏和互动娱乐来说
[00:05:24 - 00:05:27] 像人比能说话要难以万倍
[00:05:27 - 00:05:30] 大家试想一下如果这套模型大规模铺开
[00:05:30 - 00:05:31] 行业会发生什么
[00:05:31 - 00:05:33] 传统的游戏或影视制作
[00:05:33 - 00:05:36] 想要让一个角色做出一套复杂的表演
[00:05:36 - 00:05:38] 得经过剑模骨骼绑定
[00:05:38 - 00:05:40] 动画师手条微表情
[00:05:40 - 00:05:42] 渲染这一套流程下来
[00:05:42 - 00:05:45] 几分钟的表演可能要烧掉几十万甚至上百万
[00:05:45 - 00:05:48] LPM 1.0带来的其实是驱工业化
[00:05:48 - 00:05:51] 当你只需要输入文字和一段音频
[00:05:51 - 00:05:55] 就能生成分钟级身份高度稳定的角色表演时
[00:05:55 - 00:05:57] 内容生产的重心将发生剧烈的偏移
[00:05:57 - 00:06:01] 人才的需求会从动画技工转向表演导演
