BV号：BV1wsoBY8EnC
标题：BV1wsoBY8EnC
链接：https://www.bilibili.com/video/BV1wsoBY8EnC
识别语言：zh
语言置信度：1
分段数：323
生成时间：2026-08-30 10:04:52

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 在人工智能 非素發展的今天
[00:00:05 - 00:00:07] 我們仿佛置身於一場科技盛宴之中
[00:00:07 - 00:00:10] 各種新的技術 新的應用是層出不窮
[00:00:10 - 00:00:12] 但是在這場繁華的背後
[00:00:12 - 00:00:15] AI究竟處於怎樣的發展階段
[00:00:15 - 00:00:16] 未來又該何去何從呢?
[00:00:16 - 00:00:18] 如今的大圓模型
[00:00:18 - 00:00:20] 真的可以帶領我們走向AGM嗎?
[00:00:20 - 00:00:22] 3月20號 圖靈養得主
[00:00:22 - 00:00:24] Mata公司的首席AI科學家楊麗昆
[00:00:24 - 00:00:27] 接受了亞利克斯-坎托羅維茨的專訪
[00:00:27 - 00:00:29] 一如既往的給如今的大圓模型
[00:00:29 - 00:00:30] 潑了點冷水
[00:00:30 - 00:00:32] 今天大費就來給大家分享一下
[00:00:32 - 00:00:35] 楊麗昆在這場對話中的主要觀點
[00:00:35 - 00:00:36] 在專訪中
[00:00:36 - 00:00:38] 楊麗昆首先毫不流行的
[00:00:38 - 00:00:39] 指出了當前大圓模型
[00:00:39 - 00:00:40] 存在的許多局限性
[00:00:41 - 00:00:43] 大圓模型也就是我們所熟知的
[00:00:43 - 00:00:44] CHATGPT中
[00:00:44 - 00:00:45] 內置的GPT模型
[00:00:45 - 00:00:47] 它在大量文本數據的訓練之下
[00:00:47 - 00:00:49] 確實展現出了強大的知識解鎖
[00:00:49 - 00:00:51] 和文本生成的能力
[00:00:51 - 00:00:53] 能與我們砍砍而談各種話題
[00:00:53 - 00:00:54] 看似無所不知
[00:00:55 - 00:00:56] 但是楊麗昆認為
[00:00:56 - 00:00:58] 他们仅仅是擅长检索知识
[00:00:58 - 00:01:01] 在创新方面却显得极为的法例
[00:01:01 - 00:01:02] 无法提出自己的科学发现
[00:01:02 - 00:01:04] 在科学研究中
[00:01:04 - 00:01:06] 最困难的事情实际上是提出正确的问题
[00:01:07 - 00:01:08] 那么什么是正确的问题呢
[00:01:09 - 00:01:11] 这不仅仅是找到要解决的问题
[00:01:11 - 00:01:14] 还在于能够以正确的方式来构建问题
[00:01:14 - 00:01:15] 举个例子来说
[00:01:15 - 00:01:17] 假如一个稍微聪明一点的人
[00:01:17 - 00:01:19] 他记住了大量的信息
[00:01:19 - 00:01:21] 他可能就会从这些信息中
[00:01:21 - 00:01:22] 发现一些新的关联
[00:01:22 - 00:01:23] 比如说他发现
[00:01:23 - 00:01:24] 因为某一件事情
[00:01:24 - 00:01:26] 导致了某個病的某個症狀
[00:01:26 - 00:01:30] 那麼它可能就會進而去探索潛在的醫療方法
[00:01:30 - 00:01:32] 但是大圓模型卻做不到這一點
[00:01:32 - 00:01:35] 它們就像是一個知識淵博的副毒機
[00:01:35 - 00:01:37] 雖然能夠準確的說出已有的知識
[00:01:37 - 00:01:39] 卻無法創造新的知識
[00:01:39 - 00:01:42] 這是因為大圓模型主要是基於文本數據進行訓練的
[00:01:42 - 00:01:47] 這就使得它們嚴重缺乏對物理世界的理解和推理能力
[00:01:47 - 00:01:49] 主持人提到了一個有趣的實驗
[00:01:49 - 00:01:50] 當我們問Chai的GVT
[00:01:50 - 00:01:53] 如果用雙手水平拿著一張紙
[00:01:53 - 00:01:55] 然后放开左手会发生什么的时候
[00:01:55 - 00:01:59] 早期他可能会给出一些令人提笑接费的答案
[00:01:59 - 00:02:00] 比如说物理将会发生
[00:02:00 - 00:02:02] 只会飘向你的左手
[00:02:02 - 00:02:04] 后来虽然他改进了回答
[00:02:04 - 00:02:07] 能够说出重力会导致指的左侧下落
[00:02:07 - 00:02:10] 右侧由于右手的支撑会产生支点效应
[00:02:10 - 00:02:11] 所以会让指张旋转
[00:02:11 - 00:02:13] 但是杨丽坤认为
[00:02:13 - 00:02:16] 这很可能是因为有人专门针对于这个问题
[00:02:16 - 00:02:17] 对他进行了微调
[00:02:17 - 00:02:20] 这也说明大原模型对于物理世界的理解
[00:02:20 - 00:02:21] 不是真正的认知
[00:02:21 - 00:02:23] 而是依賴大量文本數據的堆砌
[00:02:23 - 00:02:25] 與之形成鮮明對比的是
[00:02:25 - 00:02:27] 一個4歲的孩子
[00:02:27 - 00:02:29] 僅僅通過日常的觀察和體驗
[00:02:29 - 00:02:31] 在大約16000個小時的生活中
[00:02:31 - 00:02:34] 通過視覺和觸覺獲取的數據量
[00:02:34 - 00:02:35] 就和在30萬一個
[00:02:35 - 00:02:37] token上訓練的大模型相當
[00:02:37 - 00:02:38] 而在9個月大的時候
[00:02:38 - 00:02:40] 嬰兒就已經通過有限的數據
[00:02:40 - 00:02:42] 學會了像動量守恆
[00:02:42 - 00:02:44] 重力等等直覺上的物理學知識
[00:02:44 - 00:02:45] 這足以證明
[00:02:45 - 00:02:47] 單純的依靠文本訓練
[00:02:47 - 00:02:49] 無法讓AI達到人類智能的水平
[00:02:49 - 00:02:54] 另外 杨丽坤认为大原模型在推理机制上也存在着严重的缺陷
[00:02:54 - 00:02:56] 在经典AI和许多的领域中
[00:02:56 - 00:02:59] 推理意味着在潜在解决空间中进行搜索
[00:02:59 - 00:03:01] 比如说面对一个数学问题
[00:03:01 - 00:03:03] 我们会尝试不同的解体思路
[00:03:03 - 00:03:05] 直到找到正确的答案为止
[00:03:05 - 00:03:08] 但是大原模型中根本就没有这种搜索机制
[00:03:08 - 00:03:11] 现在人们为了让大原看起来能够推理
[00:03:11 - 00:03:13] 采用了一些方法 比如说撕贼链
[00:03:13 - 00:03:15] 通过让它生成更多的token
[00:03:15 - 00:03:19] 希望在这个过程中投入更多的计算来回答问题
[00:03:19 - 00:03:21] 但是这种方式只是表面的功夫
[00:03:21 - 00:03:24] 模型还是没有真正的去实现推理
[00:03:24 - 00:03:27] 就好比让一个人随机去写程序
[00:03:27 - 00:03:29] 然后检查哪个程序能运行一样
[00:03:29 - 00:03:32] 这并不是生成正确代码的有效方式
[00:03:32 - 00:03:34] 而人类和动物在推理的时候
[00:03:34 - 00:03:38] 是基于对情况的心理模型在大脑内部进行的
[00:03:38 - 00:03:41] 比如说想像一个立方体悬浮在面前
[00:03:41 - 00:03:43] 沿着垂直轴旋转90度
[00:03:43 - 00:03:47] 我们能够轻易的在脑海中呈现出这种旋转后的画面
[00:03:47 - 00:03:50] 这是因为我们对立方体有着心理模型
[00:03:50 - 00:03:53] 这种在抽象连续空间中的推理能力
[00:03:53 - 00:03:55] 是大圆模型目前无法起极的
[00:03:55 - 00:03:57] 不仅如此 杨丽坤还指出
[00:03:57 - 00:04:01] 大圆模型也不是用抽象的精神表征进行思考的
[00:04:01 - 00:04:03] 由于它不具备心理模型
[00:04:03 - 00:04:05] 所以无法在内部进行推理和规划
[00:04:05 - 00:04:07] 当我们计划通过一系列的行动
[00:04:07 - 00:04:09] 来建造一张桌子的时候
[00:04:09 - 00:04:12] 会在大脑中先构思整个过程
[00:04:12 - 00:04:15] 考虑每个步骤的先后顺序和可能遇到的问题
[00:04:15 - 00:04:17] 但是大圆模型無法做到這一點
[00:04:17 - 00:04:19] 它只能根據已有的文本數據
[00:04:19 - 00:04:21] 聲稱看似合理的回答
[00:04:21 - 00:04:24] 卻無法真正的理解這些行動的意義和後果
[00:04:24 - 00:04:26] 那隨著AI的發展
[00:04:26 - 00:04:29] 大圆模型也逐漸暴露出了自身的平靜
[00:04:29 - 00:04:30] 楊立坤提到
[00:04:30 - 00:04:31] 大圆模型已經耗盡了
[00:04:31 - 00:04:33] 可以用來訓練的自然文本數據
[00:04:33 - 00:04:35] 目前他們已經被訓練了
[00:04:35 - 00:04:38] 大約10的13字方到10的14字方的token
[00:04:38 - 00:04:40] 這幾乎涵蓋了整個互聯網上
[00:04:40 - 00:04:42] 所有公開可用的內容
[00:04:42 - 00:04:44] 一些公司為了尋求突破
[00:04:44 - 00:04:46] 开始购买非公开内容的许可
[00:04:46 - 00:04:48] 甚至在讨论生成人工数据
[00:04:48 - 00:04:50] 以及雇用大量的人员
[00:04:50 - 00:04:51] 来生成更多的数据
[00:04:51 - 00:04:52] 但是这种方法
[00:04:52 - 00:04:54] 不仅让成本急剧的上升
[00:04:54 - 00:04:56] 而且收益正在地界
[00:04:56 - 00:04:57] 这就好比在一条
[00:04:57 - 00:04:58] 已经走到尽头的路上
[00:04:58 - 00:04:59] 继续的前行
[00:04:59 - 00:05:01] 即使付出再多的努力
[00:05:01 - 00:05:03] 也难以获得更大的回报
[00:05:03 - 00:05:04] 因此杨丽昆认为
[00:05:04 - 00:05:07] 迫切需要一种新型的系统架构
[00:05:07 - 00:05:09] 需要具备寻找有效解决方案
[00:05:09 - 00:05:10] 评估方案质量
[00:05:10 - 00:05:11] 以及规划一系列行动
[00:05:11 - 00:05:13] 来实现特定目标的能力
[00:05:13 - 00:05:16] 它与当前的大原模型有着本质的区别
[00:05:16 - 00:05:19] 不再仅仅依赖于文本数据和简单的知识检索
[00:05:19 - 00:05:22] 而是能够真正的理解问题解决新的问题
[00:05:22 - 00:05:24] 就像是一个聪明的工匠
[00:05:24 - 00:05:26] 面对各种材料和任务要求
[00:05:26 - 00:05:28] 能够灵活的制定计划
[00:05:28 - 00:05:29] 选择合适的工具和方法
[00:05:29 - 00:05:31] 最终完成高质量的作品一样
[00:05:31 - 00:05:34] 而不是像现在的大原模型
[00:05:34 - 00:05:37] 只能够按照固定的模式重复已有的知识
[00:05:37 - 00:05:39] 为了解决当前AI面临的问题
[00:05:39 - 00:05:42] 杨丽坤也再次提到了自己的研究方向
[00:05:42 - 00:05:44] 视频联合嵌入预测架构VJIPA
[00:05:44 - 00:05:46] 以及用于图像的AdJIPA
[00:05:46 - 00:05:49] 他认为 传统的AI成功很大程度上
