BV号：BV1xKcmeMEY8
标题：BV1xKcmeMEY8
链接：https://www.bilibili.com/video/BV1xKcmeMEY8
识别语言：zh
语言置信度：1
分段数：294
生成时间：2026-08-30 20:12:40

[00:00:00 - 00:00:03] 大家好,这里是最佳拍档,我是大飞
[00:00:03 - 00:00:07] 对人工智能感兴趣的朋友,可能经常会听到RHF
[00:00:07 - 00:00:09] 也就是基于人类反馈的强化学习
[00:00:09 - 00:00:13] 可是RHF中真的有强化学习RL吗?
[00:00:13 - 00:00:16] 会不会就像老婆饼里没有老婆
[00:00:16 - 00:00:18] 夫妻肺片里没有夫妻一样呢?
[00:00:18 - 00:00:21] 德克薩斯大学奥斯汀分校的助理教授阿特勒斯王
[00:00:21 - 00:00:24] 在最近的一篇博客中就分享了这样一个观点
[00:00:24 - 00:00:28] 他指出RHF和其他类似的方法
[00:00:28 - 00:00:30] 並沒有為大圓模型帶來真正的強化學習
[00:00:30 - 00:00:33] 因為他們缺乏IOR的核心特徵
[00:00:33 - 00:00:36] 也就是持續的環境交互和長期目標的追求
[00:00:36 - 00:00:37] 除此以外
[00:00:37 - 00:00:39] 文章還討論了幾個有趣的問題
[00:00:39 - 00:00:43] 比如說RHF與經典的IOR有什麼不同
[00:00:43 - 00:00:47] 為什麼RHF無法帶給大圓模型真實的目標或者意圖
[00:00:47 - 00:00:50] 為什麼沒有人大規模的進行真正的IOR
[00:00:50 - 00:00:53] 當前最有可能帶給大圓模型目標的方法是什麼
[00:00:53 - 00:00:57] 以及沒有目標驅動的大圓模型會帶來什麼後果
[00:00:57 - 00:00:58] 通过了解这些差异
[00:00:58 - 00:01:01] 我们可以清楚的知道大原模型能做什么
[00:01:01 - 00:01:01] 不能做什么
[00:01:01 - 00:01:02] 以及为什么
[00:01:02 - 00:01:05] 今天大飞就来给大家分享一下
[00:01:05 - 00:01:08] 首先我们来看什么是经典的强化学习
[00:01:08 - 00:01:09] 在经典的强化学习中
[00:01:09 - 00:01:12] 通常会有一个在环境中会采取行动的Agent
[00:01:12 - 00:01:14] 或者说智能体
[00:01:14 - 00:01:17] 然后环境会根据智能体的行动来改变状态
[00:01:17 - 00:01:18] 随时而来的是
[00:01:18 - 00:01:21] 智能体的行动会受到奖励或者惩罚
[00:01:21 - 00:01:25] 目的是在多个步骤中累积长期奖励的最大化
[00:01:25 - 00:01:27] 經典強化學習的主要特徵是
[00:01:27 - 00:01:31] 智能體會通過持續或者偶發的交互來探索多種狀態
[00:01:31 - 00:01:33] 做出決策觀察獎勵
[00:01:33 - 00:01:36] 然後在一個連續的循環中來調整策略
[00:01:36 - 00:01:38] 而RLHF是一種使用
[00:01:38 - 00:01:41] 根據人類偏好數據訓練的獎勵模型
[00:01:41 - 00:01:43] 來完善模型輸出的工作流程
[00:01:43 - 00:01:45] 常見的流程包括
[00:01:45 - 00:01:47] 1 監督微調SFT
