BV号：BV1xhhZzKEH5
标题：BV1xhhZzKEH5
链接：https://www.bilibili.com/video/BV1xhhZzKEH5
识别语言：zh
语言置信度：1
分段数：317
生成时间：2026-08-29 23:57:51

[00:00:00 - 00:00:03] 大家好,我是为什么叫QQ。
[00:00:03 - 00:00:05] 今天咱们要聊的话题,
[00:00:05 - 00:00:08] 可能和每一位使用Cloud的朋友都息息相关。
[00:00:08 - 00:00:10] 如果你最近打开过Cloud,
[00:00:10 - 00:00:13] 无论是免费版、专业版还是Max版,
[00:00:13 - 00:00:15] 应该都能看到一个弹窗。
[00:00:15 - 00:00:17] 这个弹窗背后,
[00:00:17 - 00:00:21] 是Anthropic这家公司对用户隐私承诺的彻底反转。
[00:00:21 - 00:00:24] 曾经,Anthropic在Cloud刚上线的时候,
[00:00:24 - 00:00:28] 明确说过,绝不使用用户数据来训练模型,
[00:00:28 - 00:00:31] 这也是很多用户选择Cloud的重要原因
[00:00:31 - 00:00:32] 但是现在
[00:00:32 - 00:00:34] 他们不仅要让用户选择
[00:00:34 - 00:00:36] 是否同意将数据用于训练
[00:00:36 - 00:00:38] 还设置了一个月的最后通牒
[00:00:38 - 00:00:41] 甚至把同意数据训练后的保留期
[00:00:41 - 00:00:42] 延长到了五年
[00:00:43 - 00:00:45] 这件事在国外科技圈已经炸了锅
[00:00:45 - 00:00:49] 网友们不仅怒斥Anthropic被辞用户
[00:00:49 - 00:00:52] 还翻出了这家公司过往一系列让用户寒心的操作
[00:00:52 - 00:00:55] 今天咱们就借着这件事
[00:00:55 - 00:00:57] 聊聊这次条款更新的细节
[00:00:58 - 00:00:59] 用户的真实反馈
[00:00:59 - 00:01:02] 以及整个AI行业的隐私困境
[00:01:02 - 00:01:04] 首先,咱们得先弄清楚
[00:01:04 - 00:01:07] 这次Anthropic到底更新了什么政策
[00:01:07 - 00:01:09] 又给用户挖了哪些坑
[00:01:09 - 00:01:12] 根据Anthropic在2025年8月30日
[00:01:12 - 00:01:16] 通过官方博客发布的消费者条款更新通知
[00:01:16 - 00:01:18] 这次调整的核心是
[00:01:18 - 00:01:21] 用户数据是否用于模型训练的选择权
[00:01:21 - 00:01:23] 但是这个所谓的选择权
[00:01:23 - 00:01:25] 其实充满了各种限制
[00:01:25 - 00:01:28] 对于已经在使用Cloud的现有用户来说
[00:01:28 - 00:01:32] Anthropic给出的期限是到2025年9月28日
[00:01:32 - 00:01:34] 在这之前,如果你选择接受
[00:01:34 - 00:01:37] 数据用于训练,那么从你点击接受的那一刻起
[00:01:38 - 00:01:41] 所有新的或者重新开始的聊天会话
[00:01:41 - 00:01:42] 编程会话
[00:01:42 - 00:01:44] 包括使用Cloud Code的操作
[00:01:45 - 00:01:46] 都会被纳入训练数据
[00:01:47 - 00:01:49] 如果到了9月28日之后
[00:01:49 - 00:01:50] 你还没做选择
[00:01:50 - 00:01:51] 那不好意思
[00:01:51 - 00:01:53] 你必须先去模型训练设置里选好
[00:01:53 - 00:01:55] 否则就用不了claw的了
[00:01:55 - 00:01:57] 而新注册的用户则更为直接
[00:01:57 - 00:02:00] 注册流程里就会强制让你先做这个选择
[00:02:00 - 00:02:02] 不选就没法用
[00:02:02 - 00:02:04] 除了选择机制以外
[00:02:04 - 00:02:06] 数据保留期的变化也很关键
[00:02:06 - 00:02:08] 如果用户同意数据用于训练
[00:02:08 - 00:02:12] 那么这些数据会被anthropic保留五年
[00:02:12 - 00:02:15] 只有当你主动删除某段对话的时候
[00:02:15 - 00:02:18] 这段对话才不会被用于未来的训练
[00:02:18 - 00:02:20] 但是如果用户不同意
[00:02:20 - 00:02:21] 那么anthropic
[00:02:21 - 00:02:24] 就会继续执行之前的政策
[00:02:24 - 00:02:26] 也就是数据保留期30天
[00:02:26 - 00:02:28] 这里有个细节需要注意
[00:02:28 - 00:02:30] Anthropic明确说了
[00:02:30 - 00:02:32] 这次调整只针对消费级用户
[00:02:32 - 00:02:34] 也就是使用Cloud的免费版
[00:02:34 - 00:02:36] 专业版、Max版
[00:02:36 - 00:02:38] 包括Cloud Code的个人用户
[00:02:38 - 00:02:42] 而那些使用政府版、企业版、教育版
[00:02:42 - 00:02:44] 或者通过API接入的商业客户
[00:02:44 - 00:02:46] 是不受这次政策影响的
[00:02:46 - 00:02:47] 换句话说
[00:02:47 - 00:02:51] Anthropic把个人用户和商业客户的隐私待遇
[00:02:51 - 00:02:53] 做了一个明确的区分
[00:02:53 - 00:02:56] 商业客户的隐私似乎更加受重视
[00:02:56 - 00:02:59] 而个人用户则成了数据训练的潜在贡献者
[00:02:59 - 00:03:01] 可能有朋友会问
[00:03:01 - 00:03:03] Anthropec为什么要这么做呢?
[00:03:03 - 00:03:05] 他们在博客里给出的理由
[00:03:05 - 00:03:07] 听起来似乎很冠冕堂皇
[00:03:07 - 00:03:09] 说如果用户同意数据用于训练
[00:03:09 - 00:03:12] 能够帮助提升模型的安全性
[00:03:12 - 00:03:15] 让检测有害内容的系统更加准确
[00:03:15 - 00:03:18] 减少把无害对话误判为违规的情况
[00:03:18 - 00:03:22] 还说这能提升未来Cloud的编码、分析和推理能力
