BV号：BV1y4QaYKE2S
标题：BV1y4QaYKE2S
链接：https://www.bilibili.com/video/BV1y4QaYKE2S
识别语言：zh
语言置信度：1
分段数：419
生成时间：2026-08-30 11:10:04

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:04] 今天我们来聊聊斗指
[00:00:04 - 00:00:07] 这个由马斯克一手地造的特殊帝国
[00:00:07 - 00:00:10] 以及那些围绕在这个帝国周围的神秘人物
[00:00:10 - 00:00:12] 在特朗普第二次党选之后
[00:00:12 - 00:00:14] 马斯克成立了政府效力部
[00:00:14 - 00:00:16] department of government efficiency
[00:00:16 - 00:00:18] 简称斗指的负责人
[00:00:18 - 00:00:21] 这个新身份赋予了马斯克极高的权利
[00:00:21 - 00:00:23] 他能够访问各个机构的计算机系统
[00:00:23 - 00:00:26] 尤其是与美国联邦雇员人力资源相关的系统
[00:00:26 - 00:00:29] 斗指成立的宗旨就是要经减荣渔的机构
[00:00:29 - 00:00:30] 削减联邦开支
[00:00:31 - 00:00:32] 部门成立仅仅两周
[00:00:32 - 00:00:34] 就将改革的第一刀
[00:00:34 - 00:00:35] 砍向了有着60多年历史的
[00:00:35 - 00:00:37] 美国国际开发署
[00:00:37 - 00:00:38] USAID
[00:00:38 - 00:00:41] 直接要求USAID的大约600名员工
[00:00:41 - 00:00:43] 不得进入华盛顿特区的总部大楼
[00:00:43 - 00:00:45] 马斯克更是直言
[00:00:45 - 00:00:47] USAID已经烂到无法修复了
[00:00:47 - 00:00:48] 除此之外
[00:00:48 - 00:00:50] 斗志还宣布取消多元化
[00:00:50 - 00:00:52] 公平和包容性合同
[00:00:52 - 00:00:53] 根据报道
[00:00:53 - 00:00:54] 仅这一项就为政府
[00:00:54 - 00:00:55] 结省了10多亿美元
[00:00:56 - 00:00:57] 不过斗志的这些行为
[00:00:57 - 00:00:59] 也引发了巨大的争议
[00:00:59 - 00:01:03] 民主黨議員和消費者權益倡導者們對於鬥志憂心衝衝
[00:01:03 - 00:01:07] 認為鬥志所訪問的系統存儲了大多數美國人的個人數據
[00:01:07 - 00:01:11] 一旦鬥志獲得財政部支付系統的訪問權限 後果不堪設想
[00:01:11 - 00:01:16] 從1月20日以來 鬥志更是因為各種問題引發了多起的訴訟
[00:01:16 - 00:01:19] 不過 儘管很多政府僱員對此事紛紛不平
[00:01:19 - 00:01:21] 但是總統特朗普卻特別滿意
[00:01:21 - 00:01:24] 稱讚馬斯克帶領的鬥志部門
[00:01:24 - 00:01:27] 在削減聯邦政府規模方面做得很棒
[00:01:27 - 00:01:29] 還希望看到他們更加積極主動
[00:01:29 - 00:01:31] 為了進一步提高政府的效率
[00:01:31 - 00:01:34] 馬斯克還在社交媒體平台X上發文表示
[00:01:34 - 00:01:35] 根據總統的指示
[00:01:35 - 00:01:37] 所有聯邦僱員都要匯報上週工作
[00:01:37 - 00:01:40] 如果不回復 將視為自動辭職
[00:01:40 - 00:01:42] 隨後數萬名聯邦僱員受到了要求
