BV号：BV1yyrYYjEQi
标题：BV1yyrYYjEQi
链接：https://www.bilibili.com/video/BV1yyrYYjEQi
识别语言：zh
语言置信度：1
分段数：288
生成时间：2026-08-30 20:38:46

[00:00:00 - 00:00:02] 大家好 這裡是最佳拍檔 我是大飛
[00:00:02 - 00:00:05] 最近在第六屆國際分布式人工智能會議
[00:00:05 - 00:00:07] DAI 2024上
[00:00:07 - 00:00:09] 現代強化學習的電競人瑞士.撒頓教授
[00:00:09 - 00:00:13] 發表了題為《去中心化神經網路》的主題演講
[00:00:13 - 00:00:15] 直擊當前人工智能發展的平靜
[00:00:15 - 00:00:17] 那就是深度學習的局限性
[00:00:17 - 00:00:20] 他認為這種局限性所帶來的問題
[00:00:20 - 00:00:23] 包括災難性遺忘 可塑性喪失
[00:00:23 - 00:00:24] 以及模型坍塌等等現象
[00:00:24 - 00:00:27] 已經嚴重影響了人工智能的持續學習能力
[00:00:27 - 00:00:28] 成為了深度學習
[00:00:28 - 00:00:30] 邁向更高階段的巨大障礙
[00:00:30 - 00:00:32] 我們之前也做過一期視頻
[00:00:32 - 00:00:34] 塞頓也提到了深度學習的問題
[00:00:34 - 00:00:37] 認為未來的發展方向是持續學習
[00:00:37 - 00:00:39] 為了應對這些極守的問題
[00:00:39 - 00:00:40] 這次演講中
[00:00:40 - 00:00:41] 塞頓教授提出了
[00:00:41 - 00:00:43] 去中心化神經網路的全新概念
[00:00:43 - 00:00:45] 他的核心思想
[00:00:45 - 00:00:47] 是賦予每個神經員獨立的目標
[00:00:47 - 00:00:48] 比如說像其他神經員
[00:00:48 - 00:00:49] 傳遞有效信息
[00:00:49 - 00:00:51] 保持自身活躍等等
[00:00:51 - 00:00:53] 通過在保持骨幹神經員
[00:00:53 - 00:00:54] 穩定性的同時
[00:00:54 - 00:00:55] 鼓勵邊緣神經員
[00:00:55 - 00:00:56] 進行積極的探索
[00:00:56 - 00:00:59] 從而增強整個網路的適應性和持續學習的能力
[00:00:59 - 00:01:01] 最終實現一種動態平衡
[00:01:01 - 00:01:03] 三段教授還分享了他的創新算法
[00:01:03 - 00:01:05] 持續返向傳播
[00:01:05 - 00:01:06] 在每輪返向傳播過程中
[00:01:06 - 00:01:09] 這個算法會依據神經元的活躍度
[00:01:09 - 00:01:11] 選擇性的重新出示化部分的神經元
[00:01:11 - 00:01:14] 從而有效提升模型的靈活性和學習效果
[00:01:14 - 00:01:15] 實驗數據表明
[00:01:15 - 00:01:17] 在多個持續學習任務中
[00:01:17 - 00:01:19] 持續返向傳播算法的表現
[00:01:19 - 00:01:21] 由於傳統返向傳播算法
[00:01:21 - 00:01:23] 為持續學習領域開闢了一條新的路徑
[00:01:23 - 00:01:26] 接下來今天大飛就來給大家分享一下
[00:01:26 - 00:01:27] 这次演讲的核心内容
[00:01:27 - 00:01:28] 我们先来了解一下
[00:01:28 - 00:01:30] 当前深度学习和人工实际网络
[00:01:30 - 00:01:32] 所面临的具体问题
[00:01:32 - 00:01:33] 通常情况下
[00:01:33 - 00:01:35] 我们在深度学习中进行训练的时候
[00:01:35 - 00:01:37] 往往只是训练一段时间之后
[00:01:37 - 00:01:39] 就会停止并且冻结系统
[00:01:39 - 00:01:40] 所以可能不会遇到一些
[00:01:40 - 00:01:42] 与延长训练相关的问题
[00:01:42 - 00:01:44] 但是如果我们的目标是打造一个
[00:01:44 - 00:01:46] 能够持续学习
