BV号：BV1z5w6ekEW3
标题：BV1z5w6ekEW3
链接：https://www.bilibili.com/video/BV1z5w6ekEW3
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-08-30 19:05:23

[00:00:00 - 00:00:02] 有 something i want to say about a comment on what you said
[00:00:02 - 00:00:06] um about having AI system trying to take fake videos
[00:00:07 - 00:00:09] I used to think that was a good idea
[00:00:09 - 00:00:12] and now I think it's kind of hopeless because
[00:00:12 - 00:00:14] of this arms race between the
[00:00:15 - 00:00:17] detector and the generator
[00:00:17 - 00:00:20] that's called generative adversarial networks
[00:00:20 - 00:00:21] and that was the way they made
[00:00:22 - 00:00:24] good image generators for their diffusion models
[00:00:24 - 00:00:25] um
[00:00:25 - 00:00:28] I think people have switched now to saying
[00:00:28 - 00:00:31] 它基本上是希望能够拒绝对误伤的
[00:00:31 - 00:00:34] 需要拒绝的视频是没有误伤的
[00:00:34 - 00:00:39] 所以需要有办法查查证的误伤
[00:00:39 - 00:00:41] 例如政治视频
[00:00:41 - 00:00:47] 需要从视频到网站上的网站
[00:00:47 - 00:00:50] 如果有网站上的网站
[00:00:50 - 00:00:53] 你确定网站上的网站
[00:00:53 - 00:00:54] 当然网站是有网站的
[00:00:54 - 00:00:56] 所以不太确定
[00:00:56 - 00:00:58] 然后你能相信它
[00:00:58 - 00:00:59] 如果你没有相信它
[00:00:59 - 00:01:00] 你不可以相信它
[00:01:00 - 00:01:01] 你的网络可以做到
[00:01:01 - 00:01:02] 差不多所有的网络
[00:01:02 - 00:01:04] 所以你的网络
[00:01:04 - 00:01:05] 只要现在你发现了
[00:01:05 - 00:01:06] 如果你发现了
[00:01:06 - 00:01:07] 有一个好网络
[00:01:07 - 00:01:09] 它说你这可能是网络
[00:01:09 - 00:01:10] 你应该可以发现
[00:01:10 - 00:01:11] 网络说
[00:01:11 - 00:01:13] 这将会是
[00:01:13 - 00:01:15] 网络的网络
[00:01:15 - 00:01:17] 但不可能
[00:01:17 - 00:01:19] 因为它能查看网络
[00:01:19 - 00:01:21] 看不出它有没有正确的网络
[00:01:21 - 00:01:23] 我觉得我们会更好
[00:01:23 - 00:01:25] 更加好知道
[00:01:25 - 00:01:29] 其實是因為問題而發生的
[00:01:29 - 00:01:31] 新聞也很喜歡這個想法
[00:01:31 - 00:01:32] 《紐約時代》也很喜歡
[00:01:32 - 00:01:36] 但只有你能相信《紐約時代》
