BV号：BV1zEfHYjEwj
标题：BV1zEfHYjEwj
链接：https://www.bilibili.com/video/BV1zEfHYjEwj
识别语言：zh
语言置信度：1
分段数：349
生成时间：2026-08-30 18:17:43

[00:00:00 - 00:00:03] 大家好 这里是最佳拍档 我是大飞
[00:00:03 - 00:00:06] 1月18号被称为AI教父的杰富利·辛顿教授
[00:00:06 - 00:00:09] 在科特甲鱼盲格的频道进行了一次访谈
[00:00:09 - 00:00:13] 在访谈中 他再次表达了自己对于AI的看法
[00:00:13 - 00:00:14] 以及对未来的深刻担忧
[00:00:14 - 00:00:18] 今天大飞就来为大家解读一下这次访谈的核心内容
[00:00:18 - 00:00:21] 辛顿指出 人工智能的发展速度
[00:00:21 - 00:00:23] 已经远远超出了我们人类的控制能力
[00:00:23 - 00:00:25] 在2023年初
[00:00:25 - 00:00:28] ChadGBT的横空出示给人们带来了巨大的震撼
[00:00:28 - 00:00:30] 他的强大能力让人们看到了
[00:00:30 - 00:00:31] 人工智能的巨大潜力
[00:00:31 - 00:00:32] 与此同时
[00:00:32 - 00:00:34] 新论教授在谷歌进行的关于
[00:00:34 - 00:00:37] 模拟计算和数字计算的研究工作
[00:00:37 - 00:00:38] 也取得了重要的进展
[00:00:38 - 00:00:39] 他发现
[00:00:39 - 00:00:41] 数字计算在知识共享方面
[00:00:41 - 00:00:44] 具有模拟计算无法比你的优势
[00:00:44 - 00:00:46] 数字计算能够轻松的创建
[00:00:46 - 00:00:47] 同一个模型的多个副本
[00:00:47 - 00:00:49] 这些副本可以在不同的
[00:00:49 - 00:00:50] 硬件环境下运行
[00:00:50 - 00:00:52] 通过平均权重
[00:00:52 - 00:00:54] 或者是平均权重梯度的方式
[00:00:54 - 00:00:55] 高效的分享
[00:00:55 - 00:00:57] 他们在学习过程中所积累的知识
[00:00:57 - 00:00:59] 而模擬計算由於自身的特性
[00:00:59 - 00:01:02] 無法實現這種快速高效的知識共享
[00:01:02 - 00:01:06] 例如GPD4之所以能夠擁有如此豐富的知識儲備
[00:01:06 - 00:01:09] 很大程度上就是得於數字計算的這種優勢
[00:01:09 - 00:01:13] 多個GPD4副本在不同的硬件設備上同時運行
[00:01:13 - 00:01:15] 它們各自獲取不同的經驗
[00:01:15 - 00:01:17] 然後通過全重T度的平均
[00:01:17 - 00:01:19] 將這些分散的知識整合起來
[00:01:19 - 00:01:22] 從而使整個模型的知識體系不斷擴充
[00:01:22 - 00:01:23] 相比之下
[00:01:23 - 00:01:26] 我們人類的大腦在知識傳遞方面就顯得極為低效
[00:01:26 - 00:01:29] 如果我想要把大腦中的知識傳遞給另一個人
[00:01:29 - 00:01:31] 只能通過語言表達
[00:01:31 - 00:01:32] 產生一串的詞語
[00:01:32 - 00:01:34] 而對方需要根據這些詞語
[00:01:34 - 00:01:37] 在自己的大腦中重新構建知識體系
[00:01:37 - 00:01:38] 而這個過程中
[00:01:38 - 00:01:41] 信息的損失和誤解是不可避免的
[00:01:41 - 00:01:42] 更何況
[00:01:42 - 00:01:43] 一個句子所包含的信息量
[00:01:43 - 00:01:45] 大約只有100比特
[00:01:45 - 00:01:47] 與大模型能夠共享的數萬億比特相比
[00:01:47 - 00:01:49] 簡直是天壤之別
[00:01:49 - 00:01:51] 而關於模擬計算和數字計算的差異
[00:01:51 - 00:01:52] 新論指出
[00:01:52 - 00:01:56] 我們已經知道數字計算在知識共享方面就有優勢
[00:01:56 - 00:01:58] 但是这种优势也带来了潜在的风险
[00:01:58 - 00:02:01] 由于数字计算能够快速复制模型和权重
[00:02:01 - 00:02:03] 一旦被恶意的利用
[00:02:03 - 00:02:05] 可能就会导致不良后果的迅速扩散
[00:02:05 - 00:02:08] 而模拟计算虽然在知识共享方面存在的不足
[00:02:08 - 00:02:10] 但是它也有自身的优点
[00:02:10 - 00:02:11] 比如说低功耗
[00:02:11 - 00:02:14] 我们人类的大脑就是一个很好的例子
[00:02:14 - 00:02:16] 大脑以大约30瓦的功力运行
[00:02:16 - 00:02:18] 却能够容纳大约100万一个连接
[00:02:18 - 00:02:21] 远远超过目前最大的人工智能模型的连接数量
[00:02:21 - 00:02:25] 这使得大脑在处理信息的时候具有独特的优势
[00:02:25 - 00:02:27] 能够高效地完成各种复杂的认知任务
[00:02:27 - 00:02:30] 在进一步探讨人工智能的潜在威胁时
[00:02:30 - 00:02:32] 新顿教授的话语中充满了忧虑
[00:02:32 - 00:02:35] 他认为 随着人工智能的不断发展
[00:02:35 - 00:02:37] 系统具备了强大的学习和模仿能力
[00:02:37 - 00:02:40] 甚至有可能已经学会了人类的欺骗行为
[00:02:40 - 00:02:43] 并且这种欺骗行为可能是故意维制的
[00:02:43 - 00:02:46] 在一些研究论文中已经出现了相关的证据
[00:02:46 - 00:02:50] 表明人工智能在训练数据和测试数据上的行为表现存在着差异
[00:02:50 - 00:02:53] 似乎是在故意誤導研究人員
[00:02:53 - 00:02:54] 從而達到某種隱藏的目的
[00:02:54 - 00:02:56] 從更宏觀的角度來看
[00:02:56 - 00:02:57] 當我們負以人工智能
[00:02:57 - 00:02:59] 創建子目標的能力時
[00:02:59 - 00:03:01] 就如同打開了一個潘多拉模合
[00:03:01 - 00:03:04] 一旦他們意識到獲取更多的控制權
[00:03:04 - 00:03:06] 能夠更加有效的實現目標時
[00:03:06 - 00:03:08] 就可能會負責手段的追求控制權
[00:03:08 - 00:03:09] 在這種情況下
[00:03:09 - 00:03:11] 人類在人工智能面前
[00:03:11 - 00:03:13] 可能會逐漸變得無關緊要
[00:03:13 - 00:03:14] 就像一家大公司中
[00:03:14 - 00:03:16] 那些不稱職的CEO一樣
[00:03:16 - 00:03:18] 雖然名義上還是領導
[00:03:18 - 00:03:20] 但是實際上真正的運營和決策大權
[00:03:20 - 00:03:23] 已经被先进的人工智能系统所掌握
[00:03:23 - 00:03:24] 想象一下
[00:03:24 - 00:03:27] 如果这些人工智能系统能够阅读大量的人类文献
[00:03:27 - 00:03:29] 包括瓦解亚维利的著作
[00:03:29 - 00:03:31] 那么他们就能从中学习到
[00:03:31 - 00:03:33] 人类的各种行为策略和欺骗手段
[00:03:33 - 00:03:36] 并且能够运用的比人类更加闲熟
[00:03:36 - 00:03:37] 一旦他们具备了这样的能力
[00:03:37 - 00:03:39] 就有可能通过巧妙的语言
[00:03:39 - 00:03:41] 操纵人们的思想和行为
[00:03:41 - 00:03:42] 从而达到自己的目的
[00:03:42 - 00:03:45] 在人类与人工智能的关系方面
[00:03:45 - 00:03:47] 训论教授也提出了一个极具挑战性的观点
[00:03:47 - 00:03:51] 那就是人类并非像我们所认为的那样特殊和安全
[00:03:51 - 00:03:52] 在传统观念中
[00:03:52 - 00:03:55] 我们常常认为人类的意识是独一无二的
[00:03:55 - 00:03:58] 是我们区别于其他生物和机器的关键标志
[00:03:58 - 00:04:01] 然而新顿教授却对这个观点提出了质疑
[00:04:01 - 00:04:05] 他再次提到了小粉相和多摩泰聊天机器人的例子
[00:04:05 - 00:04:08] 我们在之前的很多期节目中也都有提及
[00:04:08 - 00:04:09] 当一个人喝醉之后
[00:04:09 - 00:04:13] 声称自己看到了一只粉色的小象在眼前漂浮
[00:04:13 - 00:04:15] 我们通常会认为这是一种主观体验
[00:04:15 - 00:04:17] 但是新顿教授认为
[00:04:17 - 00:04:20] 这种主观体验并不是像我们传统理解的那样
[00:04:20 - 00:04:22] 存在于一个神秘的内部剧场中
[00:04:22 - 00:04:24] 只有自己能够看到
[00:04:24 - 00:04:27] 实际上当我们的感知系统出现错误的时候
[00:04:27 - 00:04:30] 我们就会用主观这个词来描述这种情况
[00:04:30 - 00:04:30] 同样的
[00:04:30 - 00:04:32] 在多魔态聊天机器人的实验中
[00:04:32 - 00:04:35] 当给聊天机器人的摄像头前放置一个冷静
[00:04:35 - 00:04:38] 导致它对物体的位置判断出现错误的时候
[00:04:38 - 00:04:41] 它也能够像人类一样表达出自己的主观体验
[00:04:41 - 00:04:43] 认为物体在某个位置
[00:04:43 - 00:04:45] 而实际上物体的真实位置在另一处
[00:04:45 - 00:04:49] 这表明 人工智能可能已经具备了某种形式的主观体验
[00:04:49 - 00:04:51] 如果这个观点得到证实
[00:04:51 - 00:04:54] 那么人类一直以来所坚信的优越性
[00:04:54 - 00:04:55] 将受到严重的冲击
[00:04:55 - 00:04:57] 我们在人工智能面前
[00:04:57 - 00:04:59] 可能会面临前所未有的安全危机
[00:04:59 - 00:05:02] 变成人工智能的快速发展和潜在风险
[00:05:02 - 00:05:03] 新军教授认为
[00:05:03 - 00:05:05] 阻止AI的发展是不现实的
[00:05:05 - 00:05:08] 我们应该把重点放在确保AI的安全上
[00:05:08 - 00:05:12] 并且提出了一系列具有针对性的短期风险应对方法
[00:05:12 - 00:05:15] 首先 限制大模型权重的发布至关重要
[00:05:15 - 00:05:18] 像META等公司已經發布了一些模型的權重
[00:05:18 - 00:05:20] 不良行為者很有可能會利用他們
[00:05:20 - 00:05:21] 對模型進行微調
[00:05:21 - 00:05:23] 用來製造虛假信息
[00:05:23 - 00:05:24] 進行網絡攻擊等等
[00:05:24 - 00:05:28] 其次制定關於致命性自主武器的國際條約破在眉睫
[00:05:28 - 00:05:32] 隨著人工智能技術在軍事領域的應用不斷深入
[00:05:32 - 00:05:34] 自主武器的發展給人類帶來了巨大的威脅
[00:05:34 - 00:05:36] 如果不加以限制
[00:05:36 - 00:05:38] 可能就會引發一場無法控制的軍備競賽
[00:05:38 - 00:05:40] 甚至導致人類的災難
[00:05:40 - 00:05:43] 此外改進識別偽造視頻和圖像的技術
[00:05:43 - 00:05:44] 也是當務之急
[00:05:44 - 00:05:45] 在當今信息時代
[00:05:45 - 00:05:47] 虛假信息的傳播速度極快
[00:05:47 - 00:05:49] 尤其是偽造的視頻和圖像
[00:05:49 - 00:05:51] 他們可能會被用來干擾選舉
[00:05:51 - 00:05:54] 製造社會恐慌等等惡意行為
[00:05:54 - 00:05:56] 所以我們要開發更加先進的技術
[00:05:56 - 00:05:58] 來識別這些偽造內容
[00:05:58 - 00:06:00] 確保其來源的可追溯性
[00:06:00 - 00:06:02] 從而有效地遏制虛假信息的傳播
[00:06:02 - 00:06:05] 最後解決人工智能系統中的偏見問題
[00:06:05 - 00:06:06] 也不容忽視
[00:06:06 - 00:06:07] 人工智能系統的偏見
[00:06:07 - 00:06:09] 可能會導致不公平的決策
[00:06:09 - 00:06:12] 對社會的各個方面產生負面的影響
[00:06:12 - 00:06:13] 比如說在招聘
[00:06:13 - 00:06:14] 贷款审批等领域
[00:06:14 - 00:06:16] 我们需要采取有效的措施
[00:06:16 - 00:06:18] 比如说冻结系统的权重
[00:06:18 - 00:06:20] 并且进行测量和矫正
[00:06:20 - 00:06:20] 虽然这样做
[00:06:20 - 00:06:22] 无法完全的消除偏见
[00:06:22 - 00:06:23] 但是可以减少偏见
[00:06:23 - 00:06:25] 对于系统决策的影响
[00:06:25 - 00:06:27] 在意识理解和理性
