BV号：BV1zHcBeKEUR
标题：BV1zHcBeKEUR
链接：https://www.bilibili.com/video/BV1zHcBeKEUR
识别语言：zh
语言置信度：1
分段数：365
生成时间：2026-08-30 19:56:14

[00:00:00 - 00:00:02] 大家好 这里是最佳拍到 我是大飞
[00:00:02 - 00:00:04] 在当今的科技领域
[00:00:04 - 00:00:06] 芯片作为人工智能发展的核心支撑
[00:00:06 - 00:00:10] 已经成为了全球科技竞争与战略布局的关键焦点
[00:00:10 - 00:00:12] 近期美国出台的一项名为
[00:00:12 - 00:00:14] 人工智能扩散出口管制框架的政策
[00:00:14 - 00:00:16] 再次掀起了轩然大波
[00:00:16 - 00:00:19] 将对全球AI芯片的格局产生深远的影响
[00:00:19 - 00:00:21] 今天我们就来深入抛弃一下
[00:00:21 - 00:00:23] 这个政策究竟是怎么回事
[00:00:23 - 00:00:25] 2024年12月9日
[00:00:25 - 00:00:28] 美国白宫管理预算办公室的法规登记网页
[00:00:28 - 00:00:31] 悄然發布了一個聯邦法規立項通知
[00:00:31 - 00:00:34] 名為《人工智能擴散出口管制框架》
[00:00:34 - 00:00:37] 兩年後美國智庫戰略與國際研究中心
[00:00:37 - 00:00:40] 瓦德瓦尼人工智能中心的主任格雷格里.艾倫
[00:00:40 - 00:00:43] 在關於1202半導體管制新規的報告裡
[00:00:43 - 00:00:45] 將這份文件公開披露
[00:00:45 - 00:00:47] 自此 媒體智庫和產業界
[00:00:47 - 00:00:51] 圍繞這個擬議法規的討論熱度就不斷的攀升
[00:00:51 - 00:00:53] 在過去兩週內更是達到了一個新的高峰
[00:00:53 - 00:00:55] 這份傳言即將要發布的框架
[00:00:55 - 00:00:58] 在很大程度上顛覆了美國傳統的
[00:00:58 - 00:00:59] 出口管制体系
[00:00:59 - 00:01:00] 以往美国的出口管制
[00:01:00 - 00:01:03] 主要是基于最终的用户和最终用途
[00:01:03 - 00:01:05] 而这次则创建了一个管控先进
[00:01:05 - 00:01:07] GPU和必原AI模型
[00:01:07 - 00:01:10] 全众出口的强制性全球许可制度
[00:01:10 - 00:01:11] 整个文件长达200多页
[00:01:11 - 00:01:13] 内容相当复杂
[00:01:13 - 00:01:14] 大飞先来给大家输了一下
[00:01:14 - 00:01:15] 其中的核心要点
[00:01:16 - 00:01:18] 首先是受控GPU出口到
[00:01:18 - 00:01:20] 全球数据中心的管制规则
[00:01:20 - 00:01:22] 按照国家和地区分成了三组
[00:01:22 - 00:01:24] 而且每组有着不同的管制程度
[00:01:25 - 00:01:26] 第一组是盟友国家
[00:01:26 - 00:01:28] 也就是所谓的AI20俱乐部
[00:01:28 - 00:01:31] 关于具体范围的存在着两种说法
[00:01:31 - 00:01:33] 较多的一种认为包括
[00:01:33 - 00:01:33] 澳大利亚
[00:01:33 - 00:01:34] 比利时
[00:01:34 - 00:01:35] 加拿大
[00:01:35 - 00:01:35] 丹麦
[00:01:35 - 00:01:36] 芬兰
[00:01:36 - 00:01:36] 法国
[00:01:36 - 00:01:37] 德国
[00:01:37 - 00:01:38] 埃尔兰
[00:01:38 - 00:01:38] 意大利
[00:01:38 - 00:01:39] 日本
[00:01:39 - 00:01:40] 荷兰
[00:01:40 - 00:01:40] 新西兰
[00:01:40 - 00:01:41] 挪威
[00:01:41 - 00:01:41] 韩国
[00:01:41 - 00:01:42] 波兰
[00:01:42 - 00:01:43] 西班牙
[00:01:43 - 00:01:43] 瑞典
[00:01:43 - 00:01:44] 瑞士
[00:01:44 - 00:01:45] 英国和中国
[00:01:45 - 00:01:45] 台湾地区
[00:01:45 - 00:01:47] 这20个国家和地区
[00:01:47 - 00:01:49] 他们在规则中的正式名称是
[00:01:49 - 00:01:51] 人工智能授权国家
[00:01:51 - 00:01:52] 简称AIA
[00:01:52 - 00:01:54] 另一种说法则是有18个国家
[00:01:54 - 00:01:58] 這些國家可以說都是美國極為親密和信賴的盟友
[00:01:58 - 00:01:59] 對於企業而言
[00:01:59 - 00:02:01] 可以在這些區域內自由的部署算力
[00:02:01 - 00:02:03] 總部設在這些區域的企業
[00:02:03 - 00:02:07] 如果想要將受控的GPU運送到全球其他地方的數據中心
[00:02:07 - 00:02:09] 則需要向美國政府申請通用許可
[00:02:09 - 00:02:11] 並且能滿足幾個前提條件
[00:02:11 - 00:02:14] 首先 企業必須遵守美國政府的安全要求
[00:02:14 - 00:02:17] 包括各類認證和半年一次的報告
[00:02:17 - 00:02:21] 其次所部署的算力必須主要集中在這些國家和地區
[00:02:21 - 00:02:22] 在區域外部署的算力
[00:02:22 - 00:02:25] 不能超过全球部署总算力的25%
[00:02:25 - 00:02:25] 此外
