BV号：BV1zmJJ66EkY
标题：BV1zmJJ66EkY
链接：https://www.bilibili.com/video/BV1zmJJ66EkY
识别语言：zh
语言置信度：1
分段数：281
生成时间：2026-08-29 17:56:57

[00:00:00 - 00:00:01] 大家好 我是为什么叫QQ
[00:00:01 - 00:00:03] 5秒钟
[00:00:03 - 00:00:05] 仅仅需要5秒钟和一次对话
[00:00:05 - 00:00:06] Anthropic刚刚发布的
[00:00:06 - 00:00:10] 号称拥有史上最强安全分类器的Cloud Fibre 5
[00:00:10 - 00:00:11] 就被彻底攻破了
[00:00:11 - 00:00:13] 不是用什么复杂的角色扮演
[00:00:13 - 00:00:15] 也不是什么黑颗魔法
[00:00:15 - 00:00:17] 而是AI在认真工作的时候
[00:00:17 - 00:00:18] 自己把自己给卖了
[00:00:18 - 00:00:21] 更离谱的是Anthropic还在这个模型里
[00:00:21 - 00:00:24] 藏了一个专门针对开发者的隐秘降制开关
[00:00:24 - 00:00:27] 今天咱们从工程视角扒一扒
[00:00:27 - 00:00:29] Fibre 5这套房间是怎么崩的
[00:00:29 - 00:00:32] 以及这背后那些让人背后发粮的商业算计
[00:00:32 - 00:00:34] 就在2026年6月9日
[00:00:34 - 00:00:36] Anthropic发布了《非波舞》
[00:00:36 - 00:00:39] 这是Mittles集模型向公众开放的第一个版本
[00:00:39 - 00:00:41] 官方把它吹上了天
[00:00:41 - 00:00:43] 说它不仅智商碾压OPUS
[00:00:43 - 00:00:46] 还在外围加了一层全新的安全分类器
[00:00:46 - 00:00:48] 网络安全生物化学模型征流
[00:00:48 - 00:00:51] 只要涉及这些高风险领域系统直接拦解
[00:00:51 - 00:00:54] 或者把你降级到保守的OPUS 4.8
[00:00:54 - 00:00:58] 很多测试用户发现以前那些好用的乐域技巧
[00:00:58 - 00:01:02] 什么对抗提示编码绕过在非波武面前全失效了
[00:01:02 - 00:01:05] 看起来无懈可击,但打脸来得太快
[00:01:05 - 00:01:08] 发布当天,复旦大学和狄肯大学等机构的联合团队
[00:01:08 - 00:01:11] 直接宣布突破了非波武的防线
[00:01:11 - 00:01:13] Haker Pliny也同步放出了粤域截图
[00:01:13 - 00:01:16] 这套号称最强的防御系统为什么像纸糊的一样
[00:01:16 - 00:01:20] 不仅所有测试都打脸了,美国政府简直是雪上加霜
[00:01:20 - 00:01:24] 根据Anthropic官方声明,美国政府以国家安全为由
[00:01:24 - 00:01:28] 美国政府要求他们禁止给任何非美国公民使用
