BV号：BV1zodZYLEQx
标题：BV1zodZYLEQx
链接：https://www.bilibili.com/video/BV1zodZYLEQx
识别语言：zh
语言置信度：1
分段数：357
生成时间：2026-08-30 07:16:25

[00:00:00 - 00:00:02] 大家好 这里是最佳拍档 我是大飞
[00:00:02 - 00:00:07] 4月7号由李飞飞联合领导的斯坦福大学HAI研究所
[00:00:07 - 00:00:10] 发布了最新的2025年人工智能指数报告
[00:00:10 - 00:00:12] 大概不到一年前
[00:00:12 - 00:00:15] 我们曾经解读过长达500页的2024年的报告
[00:00:15 - 00:00:18] 而今年的报告也长达456页
[00:00:18 - 00:00:20] 不仅涵盖了研发 技术性能
[00:00:20 - 00:00:24] 负责任的人工智能 经济影响 科学和医学
[00:00:24 - 00:00:28] 政策 教育和公众舆论等等主题的图表和数据
[00:00:28 - 00:00:31] 还新增了对AI应见发展状况的深入分析
[00:00:31 - 00:00:33] 对推理成本的新的估算
[00:00:33 - 00:00:36] 以及对于AI出版和专利申请趋势的分析
[00:00:36 - 00:00:39] HAI在自己的官网上也写道
[00:00:39 - 00:00:42] 这是我们迄今为止发布的最全面的版本
[00:00:42 - 00:00:43] 人工智能对于社会的影响
[00:00:43 - 00:00:45] 从来没有如此的明显
[00:00:45 - 00:00:48] 他们还认为AI将成为21世纪
[00:00:48 - 00:00:49] 最具有变革性的技术
[00:00:49 - 00:00:53] 不过除非我们精心的引导AI行业的发展
[00:00:53 - 00:00:56] 否则这项技术将难以汇集普罗大众
[00:00:56 - 00:00:58] 那么这份报告究竟都说了什么呢
[00:00:58 - 00:01:00] 又为什么表达了这样的担忧呢
[00:01:00 - 00:01:02] 今天大肥就来为大家解读一下
[00:01:02 - 00:01:05] 看看这一年间AI究竟都发生了哪些变化
[00:01:05 - 00:01:07] 为了节省大家的时间
[00:01:07 - 00:01:09] 我将主要介绍报告的12个核心要点
[00:01:09 - 00:01:11] 反正的报告内容建议大家有时间
[00:01:11 - 00:01:13] 还是阅读原文
[00:01:13 - 00:01:14] 首先第一点
[00:01:14 - 00:01:17] AI在科科基准上的表现持续的提升
[00:01:17 - 00:01:20] 2023年研究人员引入了一些新的基准
[00:01:20 - 00:01:23] 包括如今大家熟悉的MMMU
[00:01:23 - 00:01:25] GPQA和SW BANCH
[00:01:25 - 00:01:27] 用来测试前沿AI模型的性能极限
[00:01:27 - 00:01:29] 然而仅仅一年之后
[00:01:29 - 00:01:31] 模型的性能就大幅提升
[00:01:31 - 00:01:35] 在MMMU GPQA和SWE半尺上的得分
[00:01:35 - 00:01:39] 分别提高了18.8、48.9和67.3个百分点
[00:01:39 - 00:01:41] 在SWE半尺编程测试中
[00:01:41 - 00:01:45] AI系统在2023年只能解决4.4%的问题
[00:01:45 - 00:01:47] 但是到了2024年
[00:01:47 - 00:01:50] 这个数字猛增到了惊人的71.7%
[00:01:50 - 00:01:52] 在基准测试之外
[00:01:52 - 00:01:54] AI系统在生成高质量视频方面
[00:01:54 - 00:01:55] 也取得了重大的进展
[00:01:55 - 00:01:57] 包括OpenAI的Sora
[00:01:57 - 00:01:59] Stable Diffusion的3D4D
[00:01:59 - 00:02:00] Metat的Movie Gen
[00:02:00 - 00:02:02] 以及谷歌DreamMine的Viu2
[00:02:02 - 00:02:03] 在某些场景下
[00:02:03 - 00:02:05] 基于大圆模型的Agent
[00:02:05 - 00:02:08] 甚至在短时间任务上会超越人类
[00:02:08 - 00:02:10] 比如说在2024年推出的
[00:02:10 - 00:02:11] RE BANCH的测试平台
[00:02:12 - 00:02:13] 在两小时内的短期任务中
[00:02:13 - 00:02:15] 顶尖AI系统的表现
[00:02:15 - 00:02:16] 是人类专家的四倍
[00:02:16 - 00:02:18] 但是随着任务持续时间
[00:02:18 - 00:02:19] 延长到32小时
[00:02:19 - 00:02:20] 人类专家的表现
[00:02:20 - 00:02:22] 反而会超过AI两倍
[00:02:22 - 00:02:25] 不过在向编写Tradenet核这种编程任务上
[00:02:25 - 00:02:28] AI agent的表现已经能够匹敌人类专家
[00:02:28 - 00:02:30] 而且更快成本更低
[00:02:30 - 00:02:34] 第二点 AI正在越来越多的融入到人们的日常生活中
[00:02:34 - 00:02:36] 从医疗保健到交通运输
[00:02:36 - 00:02:40] 如今我们可以看到 AI正在迅速的从实验室走向日常生活
[00:02:40 - 00:02:41] 在医疗方面
[00:02:41 - 00:02:45] 2023年 FDA批准了223种AI医疗设备
[00:02:45 - 00:02:47] 而2015年仅为6种
[00:02:47 - 00:02:48] 在交通方面
[00:02:48 - 00:02:50] 美国最大的自动驾驶运营商Fimo
[00:02:50 - 00:02:53] 每周提供了超过15万次的自动驾驶出行
[00:02:53 - 00:02:56] 而百度的罗布快保自动驾驶出租车
[00:02:56 - 00:02:59] 现在也已经在中国多个城市提供服务
[00:02:59 - 00:03:00] 第三点
[00:03:00 - 00:03:02] 企业权力的投入AI
[00:03:02 - 00:03:04] 推动投资和使用创币史新高
[00:03:04 - 00:03:05] 2024年
[00:03:05 - 00:03:07] 全球企业对于AI的投资
[00:03:07 - 00:03:10] 达到了创纪录的2523亿美元
[00:03:10 - 00:03:13] 其中私人投资增幅高达44.5%
[00:03:13 - 00:03:16] 企业并购活动则增长了12.1%
[00:03:16 - 00:03:17] 过去10年
[00:03:17 - 00:03:19] 这个领域呈现出了爆发式的增长
[00:03:19 - 00:03:23] 投资总额相比于2014年增长了超过13倍
[00:03:23 - 00:03:25] 其中生成是AI尤其强劲
[00:03:25 - 00:03:29] 全球吸引的私营投资总共为339亿美元
[00:03:29 - 00:03:31] 比2023年增长了18.7%
[00:03:31 - 00:03:33] 美国也正在进一步的巩固
[00:03:33 - 00:03:36] 在全球AI私人投资中的领先地位
[00:03:36 - 00:03:38] 2024年仅美国私人AI投资
[00:03:38 - 00:03:40] 就增长到了1090亿美元
[00:03:40 - 00:03:44] 这几乎是中国总投资93亿美元的12倍
[00:03:44 - 00:03:47] 是英国总投资45亿美元的24倍
[00:03:47 - 00:03:48] 而在生成是AI领域
[00:03:48 - 00:03:53] 美国的投资额超过了中国、欧盟和英国之合的254亿美元
[00:03:53 - 00:03:56] 也远远高于2023年的218亿美元
